Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.36244,200,1000,0.146360811,A
A1,2,23.83579288,200,1000,0.146817568,A
A1,3,24.306592208,200,1000,0.147397822,A
A1,4,24.783538976,200,1000,0.147224961,A
A1,5,25.252635936,200,1000,0.147628281,A
A1,6,25.729866432,200,1000,0.147771738,A
A1,7,26.201989824,200,1000,0.147964424,A
A1,8,26.672789152,200,1000,0.148170391,A
A1,9,27.141980688,200,1000,0.148546211,A
A1,10,27.620440672,200,1000,0.148635596,A
A1,11,28.088970176,200,1000,0.148969443,A
A1,12,28.564214576,200,1000,0.149053516,A
A1,13,29.034351872,200,1000,0.149490557,A
A1,14,29.512055248,200,1000,0.149833359,A
A1,15,29.982854576,200,1000,0.15049665,A
A1,16,30.45232984,200,1000,0.150814814,A
A1,17,30.927857968,200,1000,0.151298584,A
A1,18,31.396860352,200,1000,0.151554609,A
A1,19,31.877306432,200,1000,0.151981797,A
A1,20,32.345646784,200,1000,0.15258374,A
A1,21,32.819661696,200,1000,0.153098438,A
A1,22,33.2905556,200,1000,0.154096426,A
A1,23,33.77005592,200,1000,0.154412852,A
A1,24,34.236221024,200,1000,0.155236318,A
A1,25,34.713167792,200,1000,0.155879268,A
A1,26,35.185764064,200,1000,0.156705156,A
A1,27,35.651361712,200,1000,0.1575004,A
A1,28,36.127930176,200,1000,0.158272568,A
A1,29,36.60355288,200,1000,0.159146748,A
A1,30,37.073501024,200,1000,0.159759121,A
A1,31,37.54836712,200,1000,0.160834492,A
A1,32,38.02313864,200,1000,0.16161416,A
A1,33,38.494978304,200,1000,0.162768906,A
A1,34,38.966250512,200,1000,0.163794209,A
A1,35,39.439792544,200,1000,0.165075488,A
A1,36,39.912577968,200,1000,0.166514902,A
A1,37,40.385457968,200,1000,0.167925137,A
A1,38,40.85852712,200,1000,0.169286836,A
A1,39,41.332542032,200,1000,0.171165273,A
A1,40,41.805516608,200,1000,0.173006387,A
A1,41,42.27764,200,1000,0.174840762,A
A1,42,42.748250176,200,1000,0.177024121,A
A1,43,43.223589152,200,1000,0.179107988,A
A1,44,43.69486136,200,1000,0.181615176,A
A1,45,44.168592544,200,1000,0.184237129,A
A1,46,44.642418304,200,1000,0.187130098,A
A1,47,45.115487456,200,1000,0.190484258,A
A1,48,45.58969152,200,1000,0.194261836,A
A1,49,46.059450512,200,1000,0.198490176,A
A1,50,46.535073216,200,1000,0.203226387,A
A1,51,47.007574912,200,1000,0.208351016,A
A1,52,47.478941696,200,1000,0.214713105,A
A1,53,47.951916272,200,1000,0.22117459,A
A1,54,48.424890848,200,1000,0.22901502,A
A1,55,48.894933568,200,1000,0.23780416,A
A1,56,49.371691184,200,1000,0.247639609,A
A1,57,49.844760336,200,1000,0.258735938,A
A1,58,50.317262032,200,1000,0.272055996,A
A1,59,50.78664272,200,1000,0.286706328,A
A1,60,51.261792544,200,1000,0.302623398,A
A1,61,51.735902032,200,1000,0.32113582,A
A1,62,52.20622848,200,1000,0.341263555,A
A1,63,52.67910848,200,1000,0.364443789,A
A1,64,53.15340712,200,1000,0.39036168,A
A1,65,53.627138304,200,1000,0.418240312,A
A1,66,54.099923728,200,1000,0.449201289,A
A1,67,54.571006784,200,1000,0.483945352,A
A1,68,55.043413904,200,1000,0.519920312,A
A1,69,55.520360672,200,1000,0.558653125,A
A1,70,55.992011184,200,1000,0.600223906,A
A1,71,56.463188816,200,1000,0.643372109,A
A1,72,56.939000672,200,1000,0.687049453,A
A1,73,57.410934912,200,1000,0.731126328,A
A1,74,57.88173424,200,1000,0.7759175,A
A1,75,58.35461424,200,1000,0.823454453,A
A1,76,58.827872544,200,1000,0.868358516,A
A1,77,59.300563392,200,1000,0.910223203,A
A1,78,59.773159664,200,1000,0.949458672,A
A1,79,60.246701696,200,1000,0.984316719,A
A1,80,60.718635936,200,1000,1.019650156,A
A1,81,61.193596608,200,1000,1.050781094,A
A1,82,61.665530848,200,1000,1.080448125,A
A1,83,62.138032544,200,1000,1.107807812,A
A1,84,62.610250512,200,1000,1.133211484,A
A1,85,63.084643728,200,1000,1.155132031,A
A1,86,63.556388816,200,1000,1.175727812,A
A1,87,64.029552544,200,1000,1.191847266,A
A1,88,64.502243392,200,1000,1.207448516,A
A1,89,64.97256984,200,1000,1.221013203,A
A1,90,65.448476272,200,1000,1.23351875,A
A1,91,65.922396608,200,1000,1.242651953,A
A1,92,66.393952544,200,1000,1.250930547,A
A1,93,66.866643392,200,1000,1.259794922,A
A1,94,67.342455248,200,1000,1.264620156,A
A1,95,67.814294912,200,1000,1.269282188,A
A1,96,68.28651288,200,1000,1.273000625,A
A1,97,68.758352544,200,1000,1.277288828,A
A1,98,69.232462032,200,1000,1.278439766,A
A1,99,69.70420712,200,1000,1.281152188,A
A1,100,70.177843728,200,1000,1.282550156,A
A1,101,70.650061696,200,1000,1.282921484,A
A1,102,71.122563392,200,1000,1.284851797,A
A1,103,71.595065088,200,1000,1.284387188,A
A1,104,72.06860712,200,1000,1.283756953,A
A1,105,72.542054576,200,1000,1.282521719,A
A1,106,73.014272544,200,1000,1.281938984,A
A1,107,73.48819288,200,1000,1.281661016,A
A1,108,73.96012712,200,1000,1.281474062,A
A1,109,74.432912544,200,1000,1.279600625,A
A1,110,74.905792544,200,1000,1.278609531,A
A1,111,75.37829424,200,1000,1.276290234,A
A1,112,75.852403728,200,1000,1.272291328,A
A1,113,76.325283728,200,1000,1.271103594,A
A1,114,76.796650512,200,1000,1.268813516,A
A1,115,77.271516608,200,1000,1.267305781,A
A1,116,77.74458576,200,1000,1.265799922,A
A1,117,78.216709152,200,1000,1.262820469,A
A1,118,78.688832544,200,1000,1.261445156,A
A1,119,79.160293904,200,1000,1.25781125,A
A1,120,79.634970848,200,1000,1.25606375,A
A1,121,80.106526784,200,1000,1.25389375,A
A2,1,23.36244,200,800,0.18418541,A
A2,2,23.83579288,200,800,0.185464316,A
