Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.362534576,200,1000,0.747367812,D
A1,2,23.824160032,200,1000,0.748290703,D
A1,3,24.30299832,200,1000,0.749837422,D
A1,4,24.778148144,200,1000,0.751389922,D
A1,5,25.251879328,200,1000,0.751509922,D
A1,6,25.722489504,200,1000,0.753175703,D
A1,7,26.206056592,200,1000,0.753445625,D
A1,8,26.674396944,200,1000,0.753355625,D
A1,9,27.145385424,200,1000,0.754713672,D
A1,10,27.621008128,200,1000,0.754969062,D
A1,11,28.088781024,200,1000,0.755332969,D
A1,12,28.565727792,200,1000,0.756184922,D
A1,13,29.037567456,200,1000,0.757314609,D
A1,14,29.511487792,200,1000,0.758033438,D
A1,15,29.982854576,200,1000,0.758348438,D
A1,16,30.45469424,200,1000,0.759262266,D
A1,17,30.929371184,200,1000,0.760906719,D
A1,18,31.406034224,200,1000,0.7624425,D
A1,19,31.876076944,200,1000,0.764785312,D
A1,20,32.349335248,200,1000,0.767563281,D
A1,21,32.81720272,200,1000,0.769065859,D
A1,22,33.286488832,200,1000,0.771175312,D
A1,23,33.767880672,200,1000,0.773844609,D
A1,24,34.233856624,200,1000,0.776590625,D
A1,25,34.71108712,200,1000,0.779715156,D
A1,26,35.186426096,200,1000,0.783691641,D
A1,27,35.658171184,200,1000,0.787562266,D
A1,28,36.12925424,200,1000,0.792614766,D
A1,29,36.60308,200,1000,0.798042969,D
A1,30,37.075676272,200,1000,0.803755859,D
A1,31,37.54836712,200,1000,0.810207969,D
A1,32,38.02219288,200,1000,0.818081406,D
A1,33,38.492141024,200,1000,0.825692266,D
A1,34,38.96748,200,1000,0.835338203,D
A1,35,39.441022032,200,1000,0.844541328,D
A1,36,39.913902032,200,1000,0.855352812,D
A1,37,40.384890512,200,1000,0.868606719,D
A1,38,40.857675936,200,1000,0.880454609,D
A1,39,41.331217968,200,1000,0.896308281,D
A1,40,41.80476,200,1000,0.911620156,D
A1,41,42.27669424,200,1000,0.929307266,D
A1,42,42.75099288,200,1000,0.947369844,D
A1,43,43.223305424,200,1000,0.967774531,D
A1,44,43.697604064,200,1000,0.988489297,D
A1,45,44.171146096,200,1000,1.010431172,D
A1,46,44.64345864,200,1000,1.032996953,D
A1,47,45.114352544,200,1000,1.058534375,D
A1,48,45.587516272,200,1000,1.083760859,D
A1,49,46.062004064,200,1000,1.108952578,D
A1,50,46.532897968,200,1000,1.135550781,D
A1,51,47.008426096,200,1000,1.161751641,D
A1,52,47.479414576,200,1000,1.188783594,D
A1,53,47.951159664,200,1000,1.214528516,D
A1,54,48.42602576,200,1000,1.240829688,D
A1,55,48.897676272,200,1000,1.266409219,D
A1,56,49.370177968,200,1000,1.29216,D
A1,57,49.843436272,200,1000,1.315812969,D
A1,58,50.31707288,200,1000,1.340988438,D
A1,59,50.78995288,200,1000,1.364624844,D
A1,60,51.261319664,200,1000,1.385819688,D
A1,61,51.735902032,200,1000,1.406564688,D
A1,62,52.207363392,200,1000,1.422641562,D
A1,63,52.681662032,200,1000,1.440642031,D
A1,64,53.154636608,200,1000,1.459237656,D
A1,65,53.627989488,200,1000,1.473747188,D
A1,66,54.098410512,200,1000,1.487688281,D
A1,67,54.571952544,200,1000,1.501544531,D
A1,68,55.04587288,200,1000,1.515720781,D
A1,69,55.51828,200,1000,1.527578906,D
A1,70,55.990403392,200,1000,1.539548438,D
A1,71,56.46545864,200,1000,1.549838906,D
A1,72,56.936825424,200,1000,1.558123281,D
A1,73,57.410178304,200,1000,1.563158594,D
A1,74,57.883058304,200,1000,1.570796406,D
A1,75,58.35556,200,1000,1.578000312,D
A1,76,58.82985864,200,1000,1.581507031,D
A1,77,59.29942848,200,1000,1.572266406,D
A1,78,59.775713216,200,1000,1.573495938,D
A1,79,60.246985424,200,1000,1.572316875,D
A1,80,60.719676272,200,1000,1.570305312,D
A1,81,61.193029152,200,1000,1.572473125,D
A1,82,61.66572,200,1000,1.572526875,D
A1,83,62.136803056,200,1000,1.573211406,D
A1,84,62.611385424,200,1000,1.574709062,D
A1,85,63.081238992,200,1000,1.575420312,D
A1,86,63.557996608,200,1000,1.575619219,D
A1,87,64.030025424,200,1000,1.575637188,D
A1,88,64.502432544,200,1000,1.57709,D
A1,89,64.974366784,200,1000,1.575924844,D
A1,90,65.44734136,200,1000,1.576159219,D
A1,91,65.920977968,200,1000,1.577103906,D
