Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.360264752,200,1000,0.219398711,H
A1,2,23.836833216,200,1000,0.223226895,H
A1,3,24.309996944,200,1000,0.226724375,H
A1,4,24.778904752,200,1000,0.23017873,H
A1,5,25.2515956,200,1000,0.234281992,H
A1,6,25.724381024,200,1000,0.2387375,H
A1,7,26.200003728,200,1000,0.24425041,H
A1,8,26.672978304,200,1000,0.249551523,H
A1,9,27.14689864,200,1000,0.256259316,H
A1,10,27.617035936,200,1000,0.264057852,H
A1,11,28.09076712,200,1000,0.272052305,H
A1,12,28.562039328,200,1000,0.28172873,H
A1,13,29.040499312,200,1000,0.292797891,H
A1,14,29.507704752,200,1000,0.305049277,H
A1,15,29.982097968,200,1000,0.318649258,H
A1,16,30.459233888,200,1000,0.334259531,H
A1,17,30.924547808,200,1000,0.351554805,H
A1,18,31.396103744,200,1000,0.37214125,H
A1,19,31.86765968,200,1000,0.394780664,H
A1,20,32.349146096,200,1000,0.420591328,H
A1,21,32.81720272,200,1000,0.449067891,H
A1,22,33.28771832,200,1000,0.479697695,H
A1,23,33.765232544,200,1000,0.515412188,H
A1,24,34.238963728,200,1000,0.553383672,H
A1,25,34.710330512,200,1000,0.595984883,H
A1,26,35.185764064,200,1000,0.644447617,H
A1,27,35.657225424,200,1000,0.694584375,H
A1,28,36.127646448,200,1000,0.752515703,H
A1,29,36.604120336,200,1000,0.816161875,H
A1,30,37.076149152,200,1000,0.883150156,H
A1,31,37.547232208,200,1000,0.957504531,H
A1,32,38.020206784,200,1000,1.035988984,H
A1,33,38.494978304,200,1000,1.118824844,H
A1,34,38.96748,200,1000,1.206069766,H
A1,35,39.442156944,200,1000,1.300189453,H
A1,36,39.914280336,200,1000,1.397594219,H
A1,37,40.385836272,200,1000,1.502201094,H
A1,38,40.859189152,200,1000,1.608530781,H
A1,39,41.331596272,200,1000,1.718560625,H
A1,40,41.805138304,200,1000,1.831491875,H
A1,41,42.275086448,200,1000,1.945970312,H
A1,42,42.749763392,200,1000,2.065937969,H
A1,43,43.22434576,200,1000,2.181892656,H
A1,44,43.697414912,200,1000,2.297825781,H
A1,45,44.168970848,200,1000,2.414803438,H
A1,46,44.643174912,200,1000,2.528823906,H
A1,47,45.115109152,200,1000,2.644485,H
A1,48,45.586948816,200,1000,2.755512188,H
A1,49,46.058221024,200,1000,2.855796875,H
A1,50,46.531290176,200,1000,2.961134375,H
A1,51,47.005588816,200,1000,3.055544375,H
A1,52,47.480076608,200,1000,3.145394688,H
A1,53,47.95267288,200,1000,3.225587812,H
A1,54,48.423472208,200,1000,3.297955,H
A1,55,48.896730512,200,1000,3.361989688,H
A1,56,49.368664752,200,1000,3.422765312,H
A1,57,49.843909152,200,1000,3.471171562,H
A1,58,50.315748816,200,1000,3.521950938,H
A1,59,50.790331184,200,1000,3.558810312,H
A1,60,51.263211184,200,1000,3.591252188,H
A1,61,51.735145424,200,1000,3.616745625,H
A1,62,52.208687456,200,1000,3.638289375,H
A1,63,52.680905424,200,1000,3.652135938,H
A1,64,53.151799328,200,1000,3.66287125,H
A1,65,53.626570848,200,1000,3.670787188,H
A1,66,54.09916712,200,1000,3.673671875,H
A1,67,54.572614576,200,1000,3.681361562,H
A1,68,55.044075936,200,1000,3.68406875,H
A1,69,55.517901696,200,1000,3.681883125,H
A1,70,55.992862368,200,1000,3.67826125,H
A1,71,56.462999664,200,1000,3.673700312,H
A1,72,56.934744752,200,1000,3.665645625,H
A1,73,57.410556608,200,1000,3.653685,H
A1,74,57.880031872,200,1000,3.649312812,H
A1,75,58.355181696,200,1000,3.6389625,H
A1,76,58.827777968,200,1000,3.632202812,H
A1,77,59.298671872,200,1000,3.617625938,H
A1,78,59.774956608,200,1000,3.605626562,H
A1,79,60.247742032,200,1000,3.592396875,H
A1,80,60.719392544,200,1000,3.580659062,H
A1,81,61.192272544,200,1000,3.537604062,H
A1,82,61.665057968,200,1000,3.50582375,H
A1,83,62.13812712,200,1000,3.483587188,H
A1,84,62.610439664,200,1000,3.465495,H
A1,85,63.085116608,200,1000,3.442671875,H
A1,86,63.55724,200,1000,3.42371,H
A1,87,64.029741696,200,1000,3.4065625,H
A1,88,64.50205424,200,1000,3.385365938,H
A1,89,64.977582368,200,1000,3.3688375,H
A1,90,65.449800336,200,1000,3.35420875,H
A1,91,65.921923728,200,1000,3.332786875,H
