Well,Reading,Temperature,A,B,Emission,Helix
E1,1,23.360264752,200,1000,0.109291885,I
E1,2,23.836833216,200,1000,0.108362041,I
E1,3,24.309996944,200,1000,0.108149072,I
E1,4,24.778904752,200,1000,0.107426094,I
E1,5,25.2515956,200,1000,0.107027578,I
E1,6,25.724381024,200,1000,0.106702822,I
E1,7,26.200003728,200,1000,0.10639125,I
E1,8,26.672978304,200,1000,0.106333623,I
E1,9,27.14689864,200,1000,0.10607082,I
E1,10,27.617035936,200,1000,0.105827305,I
E1,11,28.09076712,200,1000,0.105580879,I
E1,12,28.562039328,200,1000,0.1052725,I
E1,13,29.040499312,200,1000,0.105133867,I
E1,14,29.507704752,200,1000,0.104696982,I
E1,15,29.982097968,200,1000,0.104288516,I
E1,16,30.459233888,200,1000,0.103927598,I
E1,17,30.924547808,200,1000,0.103851123,I
E1,18,31.396103744,200,1000,0.103755176,I
E1,19,31.86765968,200,1000,0.103584785,I
E1,20,32.349146096,200,1000,0.103495127,I
E1,21,32.81720272,200,1000,0.103296943,I
E1,22,33.28771832,200,1000,0.103514795,I
E1,23,33.765232544,200,1000,0.103244805,I
E1,24,34.238963728,200,1000,0.1032129,I
E1,25,34.710330512,200,1000,0.103441592,I
E1,26,35.185764064,200,1000,0.103116562,I
E1,27,35.657225424,200,1000,0.103149834,I
E1,28,36.127646448,200,1000,0.103243408,I
E1,29,36.604120336,200,1000,0.103144502,I
E1,30,37.076149152,200,1000,0.103082666,I
E1,31,37.547232208,200,1000,0.103218691,I
E1,32,38.020206784,200,1000,0.103254697,I
E1,33,38.494978304,200,1000,0.103533408,I
E1,34,38.96748,200,1000,0.103343906,I
E1,35,39.442156944,200,1000,0.103827285,I
E1,36,39.914280336,200,1000,0.104070781,I
E1,37,40.385836272,200,1000,0.10444583,I
E1,38,40.859189152,200,1000,0.105027217,I
E1,39,41.331596272,200,1000,0.105406641,I
E1,40,41.805138304,200,1000,0.106323555,I
E1,41,42.275086448,200,1000,0.106621045,I
E1,42,42.749763392,200,1000,0.107679248,I
E1,43,43.22434576,200,1000,0.108684277,I
E1,44,43.697414912,200,1000,0.109447139,I
E1,45,44.168970848,200,1000,0.110519297,I
E1,46,44.643174912,200,1000,0.111453545,I
E1,47,45.115109152,200,1000,0.112540146,I
E1,48,45.586948816,200,1000,0.113796562,I
E1,49,46.058221024,200,1000,0.114710068,I
E1,50,46.531290176,200,1000,0.116396084,I
E1,51,47.005588816,200,1000,0.117434463,I
E1,52,47.480076608,200,1000,0.119105928,I
E1,53,47.95267288,200,1000,0.120215967,I
E1,54,48.423472208,200,1000,0.121606777,I
E1,55,48.896730512,200,1000,0.123335088,I
E1,56,49.368664752,200,1000,0.124958877,I
E1,57,49.843909152,200,1000,0.126446875,I
E1,58,50.315748816,200,1000,0.127953301,I
E1,59,50.790331184,200,1000,0.129504785,I
E1,60,51.263211184,200,1000,0.131994756,I
E1,61,51.735145424,200,1000,0.133505146,I
E1,62,52.208687456,200,1000,0.135406055,I
E1,63,52.680905424,200,1000,0.137447012,I
E1,64,53.151799328,200,1000,0.139423428,I
E1,65,53.626570848,200,1000,0.14134166,I
E1,66,54.09916712,200,1000,0.143512344,I
E1,67,54.572614576,200,1000,0.145921406,I
E1,68,55.044075936,200,1000,0.148736602,I
E1,69,55.517901696,200,1000,0.151536953,I
E1,70,55.992862368,200,1000,0.154497607,I
E1,71,56.462999664,200,1000,0.158011152,I
E1,72,56.934744752,200,1000,0.161277471,I
E1,73,57.410556608,200,1000,0.164888145,I
E1,74,57.880031872,200,1000,0.16912168,I
E1,75,58.355181696,200,1000,0.173465469,I
E1,76,58.827777968,200,1000,0.178488848,I
E1,77,59.298671872,200,1000,0.183979668,I
E1,78,59.774956608,200,1000,0.189073672,I
E1,79,60.247742032,200,1000,0.195151816,I
E1,80,60.719392544,200,1000,0.202309258,I
E1,81,61.192272544,200,1000,0.209810391,I
E1,82,61.665057968,200,1000,0.218316016,I
E1,83,62.13812712,200,1000,0.226533262,I
E1,84,62.610439664,200,1000,0.235613242,I
E1,85,63.085116608,200,1000,0.247658516,I
E1,86,63.55724,200,1000,0.258711191,I
E1,87,64.029741696,200,1000,0.270744141,I
E1,88,64.50205424,200,1000,0.283455566,I
E1,89,64.977582368,200,1000,0.299963965,I
E1,90,65.449800336,200,1000,0.318960703,I
E1,91,65.921923728,200,1000,0.340030938,I
E1,92,66.396506096,200,1000,0.362754961,I
E1,93,66.867683728,200,1000,0.386792734,I
E1,94,67.33980712,200,1000,0.415775156,I
E1,95,67.815335248,200,1000,0.447648711,I
E1,96,68.28604,200,1000,0.479753555,I
E1,97,68.758257968,200,1000,0.515364492,I
E1,98,69.23038136,200,1000,0.552646211,I
E1,99,69.704869152,200,1000,0.591869648,I
E1,100,70.17803288,200,1000,0.631801836,I
E1,101,70.650629152,200,1000,0.672682734,I
E1,102,71.121144752,200,1000,0.713016562,I
E1,103,71.596483728,200,1000,0.752887109,I
E1,104,72.070214912,200,1000,0.790299453,I
E1,105,72.54101424,200,1000,0.828048594,I
E1,106,73.01531288,200,1000,0.862793672,I
E1,107,73.488760336,200,1000,0.894481016,I
E1,108,73.96012712,200,1000,0.927093125,I
E1,109,74.432345088,200,1000,0.955295703,I
E1,110,74.90446848,200,1000,0.978875547,I
E1,111,75.379807456,200,1000,1.000234766,I
E1,112,75.851741696,200,1000,1.022638516,I
E1,113,76.32547288,200,1000,1.039130078,I
E1,114,76.796745088,200,1000,1.051818672,I
E1,115,77.269625088,200,1000,1.061131328,I
E1,116,77.74269424,200,1000,1.076233359,I
E1,117,78.21699288,200,1000,1.082495625,I
E1,118,78.689683728,200,1000,1.089657344,I
E1,119,79.16038848,200,1000,1.088610234,I
E1,120,79.633930512,200,1000,1.114579844,I
E1,121,80.109080336,200,1000,1.108867891,I
E2,1,23.360264752,200,800,0.118543877,I
E2,2,23.836833216,200,800,0.11841709,I
E2,3,24.309996944,200,800,0.117938252,I
E2,4,24.778904752,200,800,0.117959521,I
E2,5,25.2515956,200,800,0.117278428,I
E2,6,25.724381024,200,800,0.117146104,I
E2,7,26.200003728,200,800,0.117048789,I
E2,8,26.672978304,200,800,0.116560322,I
E2,9,27.14689864,200,800,0.116899102,I
E2,10,27.617035936,200,800,0.116928496,I
E2,11,28.09076712,200,800,0.116553154,I
E2,12,28.562039328,200,800,0.116006533,I
E2,13,29.040499312,200,800,0.116122705,I
E2,14,29.507704752,200,800,0.115411582,I
E2,15,29.982097968,200,800,0.115773389,I
E2,16,30.459233888,200,800,0.115344912,I
E2,17,30.924547808,200,800,0.11444459,I
E2,18,31.396103744,200,800,0.115015957,I
E2,19,31.86765968,200,800,0.114605059,I
E2,20,32.349146096,200,800,0.114288574,I
E2,21,32.81720272,200,800,0.114200879,I
E2,22,33.28771832,200,800,0.114069805,I
E2,23,33.765232544,200,800,0.114034824,I
E2,24,34.238963728,200,800,0.113938066,I
E2,25,34.710330512,200,800,0.11381415,I
E2,26,35.185764064,200,800,0.114069238,I
E2,27,35.657225424,200,800,0.113921797,I
E2,28,36.127646448,200,800,0.11439457,I
E2,29,36.604120336,200,800,0.114388271,I
E2,30,37.076149152,200,800,0.114384199,I
E2,31,37.547232208,200,800,0.114476416,I
E2,32,38.020206784,200,800,0.114796748,I
E2,33,38.494978304,200,800,0.114689434,I
E2,34,38.96748,200,800,0.115339951,I
E2,35,39.442156944,200,800,0.115607012,I
E2,36,39.914280336,200,800,0.116272773,I
E2,37,40.385836272,200,800,0.117211436,I
E2,38,40.859189152,200,800,0.117908691,I
