Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.361872544,200,1000,0.114221299,J
A1,2,23.83437424,200,1000,0.114232559,J
A1,3,24.30063392,200,1000,0.114369297,J
A1,4,24.781647456,200,1000,0.11446707,J
A1,5,25.246110192,200,1000,0.114826973,J
A1,6,25.725705088,200,1000,0.114777754,J
A1,7,26.196126112,200,1000,0.115235273,J
A1,8,26.674396944,200,1000,0.115285439,J
A1,9,27.14169696,200,1000,0.115537285,J
A1,10,27.620629824,200,1000,0.115721963,J
A1,11,28.0936044,200,1000,0.11622876,J
A1,12,28.564971184,200,1000,0.116446611,J
A1,13,29.036621696,200,1000,0.116960693,J
A1,14,29.508650512,200,1000,0.117644873,J
A1,15,29.98370576,200,1000,0.118112012,J
A1,16,30.456964064,200,1000,0.118695859,J
A1,17,30.935424048,200,1000,0.119352041,J
A1,18,31.3990356,200,1000,0.119977285,J
A1,19,31.879197952,200,1000,0.121007295,J
A1,20,32.350186432,200,1000,0.12199127,J
A1,21,32.815973232,200,1000,0.123123496,J
A1,22,33.295378976,200,1000,0.124701055,J
A1,23,33.76721864,200,1000,0.125924004,J
A1,24,34.240476944,200,1000,0.127730996,J
A1,25,34.710708816,200,1000,0.129571299,J
A1,26,35.19058744,200,1000,0.131495557,J
A1,27,35.65779288,200,1000,0.133886377,J
A1,28,36.131240336,200,1000,0.136219785,J
A1,29,36.60355288,200,1000,0.139298193,J
A1,30,37.077284064,200,1000,0.142291562,J
A1,31,37.547515936,200,1000,0.146065693,J
A1,32,38.021814576,200,1000,0.150126221,J
A1,33,38.495451184,200,1000,0.154419551,J
A1,34,38.967669152,200,1000,0.159287305,J
A1,35,39.43894136,200,1000,0.164633516,J
A1,36,39.913050848,200,1000,0.170846621,J
A1,37,40.385363392,200,1000,0.177856523,J
A1,38,40.859378304,200,1000,0.185553633,J
A1,39,41.332069152,200,1000,0.193995625,J
A1,40,41.804192544,200,1000,0.203773672,J
A1,41,42.276032208,200,1000,0.214722793,J
A1,42,42.752127792,200,1000,0.22671584,J
A1,43,43.224062032,200,1000,0.24078582,J
A1,44,43.695050512,200,1000,0.255778457,J
A1,45,44.170294912,200,1000,0.273234609,J
A1,46,44.64204,200,1000,0.292267617,J
A1,47,45.113595936,200,1000,0.314705098,J
A1,48,45.587421696,200,1000,0.3392275,J
A1,49,46.059923392,200,1000,0.366282773,J
A1,50,46.532992544,200,1000,0.396896055,J
A1,51,47.006818304,200,1000,0.431092148,J
A1,52,47.477333904,200,1000,0.467178281,J
A1,53,47.952956608,200,1000,0.505773125,J
A1,54,48.42460712,200,1000,0.548450469,J
A1,55,48.898527456,200,1000,0.594284023,J
A1,56,49.371596608,200,1000,0.641784062,J
A1,57,49.84372,200,1000,0.691923359,J
A1,58,50.315748816,200,1000,0.746707422,J
A1,59,50.788250512,200,1000,0.799936797,J
A1,60,51.261697968,200,1000,0.855021875,J
A1,61,51.732970176,200,1000,0.909473438,J
A1,62,52.20906576,200,1000,0.962008359,J
A1,63,52.680621696,200,1000,1.016988516,J
A1,64,53.15198848,200,1000,1.068201016,J
A1,65,53.626381696,200,1000,1.116698281,J
A1,66,54.09869424,200,1000,1.163967422,J
A1,67,54.571763392,200,1000,1.208671875,J
A1,68,55.045021696,200,1000,1.24948625,J
A1,69,55.517239664,200,1000,1.288184609,J
A1,70,55.989930512,200,1000,1.324123438,J
A1,71,56.46545864,200,1000,1.356364219,J
A1,72,56.9392844,200,1000,1.384032188,J
A1,73,57.410651184,200,1000,1.410115,J
A1,74,57.88268,200,1000,1.434569062,J
A1,75,58.35366848,200,1000,1.455876719,J
A1,76,58.828818304,200,1000,1.473548906,J
A1,77,59.299523056,200,1000,1.489600625,J
A1,78,59.772403056,200,1000,1.502930312,J
A1,79,60.246985424,200,1000,1.517155312,J
A1,80,60.721756944,200,1000,1.525468438,J
A1,81,61.192650848,200,1000,1.536902969,J
A1,82,61.663923056,200,1000,1.546251094,J
A1,83,62.137937968,200,1000,1.55244125,J
A1,84,62.60958848,200,1000,1.547964844,J
A1,85,63.083603392,200,1000,1.552204844,J
A1,86,63.557334576,200,1000,1.554330156,J
A1,87,64.030025424,200,1000,1.556588281,J
A1,88,64.503378304,200,1000,1.556292969,J
A1,89,64.975123392,200,1000,1.560223125,J
A1,90,65.449894912,200,1000,1.559780625,J
A1,91,65.921261696,200,1000,1.561668906,J
A1,92,66.39262848,200,1000,1.561436094,J
A1,93,66.867305424,200,1000,1.561124531,J
A1,94,67.34075288,200,1000,1.557201562,J
A1,95,67.811552208,200,1000,1.556089844,J
A1,96,68.285472544,200,1000,1.556445625,J
A1,97,68.75939288,200,1000,1.554288594,J
A1,98,69.230286784,200,1000,1.555890938,J
A1,99,69.705342032,200,1000,1.553477969,J
A1,100,70.176708816,200,1000,1.552273125,J
A1,101,70.651669488,200,1000,1.552419062,J
A1,102,71.12284712,200,1000,1.551329688,J
A1,103,71.596010848,200,1000,1.549150938,J
A1,104,72.070309488,200,1000,1.547629375,J
A1,105,72.542054576,200,1000,1.547098125,J
A1,106,73.015123728,200,1000,1.544210625,J
A1,107,73.486585088,200,1000,1.543069844,J
A1,108,73.960694576,200,1000,1.541605469,J
A1,109,74.432912544,200,1000,1.540147812,J
A1,110,74.905130512,200,1000,1.537397344,J
A1,111,75.379807456,200,1000,1.53472375,J
A1,112,75.85117424,200,1000,1.532126875,J
A1,113,76.325094576,200,1000,1.529006875,J
A1,114,76.797690848,200,1000,1.5257625,J
A1,115,77.270476272,200,1000,1.522973281,J
A1,116,77.742977968,200,1000,1.518246875,J
A1,117,78.21652,200,1000,1.517866094,J
A1,118,78.689021696,200,1000,1.512560469,J
A1,119,79.162185424,200,1000,1.511390312,J
A1,120,79.635349152,200,1000,1.507641875,J
A1,121,80.10662136,200,1000,1.502621094,J
A2,1,23.361872544,200,800,0.144010635,J
A2,2,23.83437424,200,800,0.144290566,J
A2,3,24.30063392,200,800,0.144545967,J
A2,4,24.781647456,200,800,0.144763184,J
A2,5,25.246110192,200,800,0.145179004,J
A2,6,25.725705088,200,800,0.145534648,J
A2,7,26.196126112,200,800,0.145734092,J
A2,8,26.674396944,200,800,0.146004482,J
A2,9,27.14169696,200,800,0.146127539,J
A2,10,27.620629824,200,800,0.146396797,J
A2,11,28.0936044,200,800,0.146811973,J
A2,12,28.564971184,200,800,0.14733415,J
A2,13,29.036621696,200,800,0.14798085,J
A2,14,29.508650512,200,800,0.148468857,J
A2,15,29.98370576,200,800,0.149204473,J
A2,16,30.456964064,200,800,0.150091914,J
A2,17,30.935424048,200,800,0.150824092,J
A2,18,31.3990356,200,800,0.151893438,J
A2,19,31.879197952,200,800,0.153211924,J
A2,20,32.350186432,200,800,0.154526484,J
A2,21,32.815973232,200,800,0.156019717,J
A2,22,33.295378976,200,800,0.157649609,J
A2,23,33.76721864,200,800,0.159653955,J
A2,24,34.240476944,200,800,0.161696406,J
A2,25,34.710708816,200,800,0.163901426,J
A2,26,35.19058744,200,800,0.166600078,J
A2,27,35.65779288,200,800,0.169402637,J
A2,28,36.131240336,200,800,0.172587344,J
A2,29,36.60355288,200,800,0.176253359,J
A2,30,37.077284064,200,800,0.180377344,J
A2,31,37.547515936,200,800,0.184855391,J
A2,32,38.021814576,200,800,0.189881875,J
