"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.361683392,200,1000,0.246171055
"A1","2",23.83106408,200,1000,0.248412344
"A1","3",24.305551872,200,1000,0.250384648
"A1","4",24.780323392,200,1000,0.251600801
"A1","5",25.25348712,200,1000,0.253607461
"A1","6",25.724570176,200,1000,0.257148047
"A1","7",26.200003728,200,1000,0.260045605
"A1","8",26.670330176,200,1000,0.26314707
"A1","9",27.149830496,200,1000,0.266967441
"A1","10",27.617508816,200,1000,0.271347246
"A1","11",28.093320672,200,1000,0.275914023
"A1","12",28.55844544,200,1000,0.281468184
"A1","13",29.036621696,200,1000,0.28714793
"A1","14",29.509596272,200,1000,0.292984609
"A1","15",29.9803956,200,1000,0.300077207
"A1","16",30.456869488,200,1000,0.307202852
"A1","17",30.9308844,200,1000,0.316176738
"A1","18",31.403669824,200,1000,0.325481758
"A1","19",31.87333424,200,1000,0.336452773
"A1","20",32.35236168,200,1000,0.3481375
"A1","21",32.817108144,200,1000,0.361184844
"A1","22",33.3023776,200,1000,0.376373008
"A1","23",33.7681644,200,1000,0.392033828
"A1","24",34.233194592,200,1000,0.410854023
"A1","25",34.709573904,200,1000,0.430637812
"A1","26",35.184061696,200,1000,0.452939375
"A1","27",35.656563392,200,1000,0.476712539
"A1","28",36.13067288,200,1000,0.504602031
"A1","29",36.604214912,200,1000,0.535622031
"A1","30",37.075676272,200,1000,0.567576562
"A1","31",37.549880336,200,1000,0.606310977
"A1","32",38.024462704,200,1000,0.646710156
"A1","33",38.49318136,200,1000,0.691262109
"A1","34",38.965777632,200,1000,0.738488984
"A1","35",39.440549152,200,1000,0.790216406
"A1","36",39.91182136,200,1000,0.8464675
"A1","37",40.38706576,200,1000,0.909074531
"A1","38",40.85947288,200,1000,0.974422656
"A1","39",41.331974576,200,1000,1.043506406
"A1","40",41.805800336,200,1000,1.116071719
"A1","41",42.276410512,200,1000,1.193754922
"A1","42",42.750803728,200,1000,1.273293984
"A1","43",43.223494576,200,1000,1.361373906
"A1","44",43.696090848,200,1000,1.446825938
"A1","45",44.167646784,200,1000,1.537283438
"A1","46",44.641756272,200,1000,1.629084844
"A1","47",45.113785088,200,1000,1.724444219
"A1","48",45.589502368,200,1000,1.818351094
"A1","49",46.059072208,200,1000,1.916977656
"A1","50",46.53403288,200,1000,2.014172656
"A1","51",47.006061696,200,1000,2.113445781
"A1","52",47.478941696,200,1000,2.210401719
"A1","53",47.95361864,200,1000,2.306130156
"A1","54",48.424512544,200,1000,2.403494531
"A1","55",48.896730512,200,1000,2.495209531
"A1","56",49.370272544,200,1000,2.588539531
"A1","57",49.843909152,200,1000,2.673178438
"A1","58",50.31518136,200,1000,2.76261875
"A1","59",50.787493904,200,1000,2.842519062
"A1","60",51.263873216,200,1000,2.923289062
"A1","61",51.733726784,200,1000,2.9908675
"A1","62",52.206795936,200,1000,3.059487188
"A1","63",52.680716272,200,1000,3.120746562
"A1","64",53.151893904,200,1000,3.177625312
"A1","65",53.626949152,200,1000,3.223111875
"A1","66",54.099545424,200,1000,3.27250875
"A1","67",54.571006784,200,1000,3.312077188
"A1","68",55.046440336,200,1000,3.350134688
"A1","69",55.515821024,200,1000,3.38042
"A1","70",55.991727456,200,1000,3.4052725
"A1","71",56.46451288,200,1000,3.43125375
"A1","72",56.935217632,200,1000,3.441357188
"A1","73",57.410367456,200,1000,3.4641375
"A1","74",57.882017968,200,1000,3.471372812
"A1","75",58.353573904,200,1000,3.47701875
"A1","76",58.827399664,200,1000,3.482540938
"A1","77",59.30179288,200,1000,3.485863125
"A1","78",59.773443392,200,1000,3.4851175
"A1","79",60.24660712,200,1000,3.490757188
"A1","80",60.719676272,200,1000,3.488005
"A1","81",61.19236712,200,1000,3.484424375
"A1","82",61.667233216,200,1000,3.475562188
"A1","83",62.138978304,200,1000,3.470153125
"A1","84",62.610439664,200,1000,3.461440625
"A1","85",63.084265424,200,1000,3.451974375
"A1","86",63.55771288,200,1000,3.443723125
"A1","87",64.030309152,200,1000,3.433755625
"A1","88",64.503283728,200,1000,3.414310938
"A1","89",64.975217968,200,1000,3.38763625
"A1","90",65.449516608,200,1000,3.367375312
"A1","91",65.92353152,200,1000,3.338507188
"A1","92",66.395087456,200,1000,3.3198625
"A1","93",66.868251184,200,1000,3.308388125
"A1","94",67.339050512,200,1000,3.290124688
"A1","95",67.814673216,200,1000,3.2759575
"A1","96",68.284999664,200,1000,3.258429688
"A1","97",68.758636272,200,1000,3.242238125
"A1","98",69.230570512,200,1000,3.2218425
"A1","99",69.704774576,200,1000,3.205344062
"A1","100",70.1799244,200,1000,3.189444688
"A1","101",70.650250848,200,1000,3.177029688
"A1","102",71.124171184,200,1000,3.162728125
"A1","103",71.594497632,200,1000,3.14115125
"A1","104",72.069742032,200,1000,3.126817188
"A1","105",72.541676272,200,1000,3.110530625
"A1","106",73.01436712,200,1000,3.093131562
"A1","107",73.486585088,200,1000,3.073528125
"A1","108",73.957857296,200,1000,3.059024062
"A1","109",74.43395288,200,1000,3.04550375
"A1","110",74.905981696,200,1000,3.027054688
"A1","111",75.379145424,200,1000,3.00448
"A1","112",75.850795936,200,1000,2.991426562
"A1","113",76.324432544,200,1000,2.970035625
"A1","114",76.797596272,200,1000,2.960626875
"A1","115",77.271327456,200,1000,2.939203125
"A1","116",77.742505088,200,1000,2.921285312
"A1","117",78.215857968,200,1000,2.905605625
"A1","118",78.690251184,200,1000,2.891534062
"A1","119",79.161428816,200,1000,2.869882812
"A1","120",79.634025088,200,1000,2.858094688
"A1","121",80.109553216,200,1000,2.840687812
"A2","1",23.361683392,200,800,0.289239082
"A2","2",23.83106408,200,800,0.292033535
"A2","3",24.305551872,200,800,0.294676738
"A2","4",24.780323392,200,800,0.297616758
"A2","5",25.25348712,200,800,0.300491875
"A2","6",25.724570176,200,800,0.303881465
"A2","7",26.200003728,200,800,0.307855098
"A2","8",26.670330176,200,800,0.31190709
"A2","9",27.149830496,200,800,0.316858828
"A2","10",27.617508816,200,800,0.322233535
"A2","11",28.093320672,200,800,0.32835293
"A2","12",28.55844544,200,800,0.334857656
"A2","13",29.036621696,200,800,0.34239832
"A2","14",29.509596272,200,800,0.350159062
"A2","15",29.9803956,200,800,0.359050234
"A2","16",30.456869488,200,800,0.368864375
"A2","17",30.9308844,200,800,0.38
"A2","18",31.403669824,200,800,0.392100195
"A2","19",31.87333424,200,800,0.405958828
"A2","20",32.35236168,200,800,0.421082461
"A2","21",32.817108144,200,800,0.437852812
"A2","22",33.3023776,200,800,0.456045039
"A2","23",33.7681644,200,800,0.476204688
"A2","24",34.233194592,200,800,0.499044805
"A2","25",34.709573904,200,800,0.52349
"A2","26",35.184061696,200,800,0.551077383
"A2","27",35.656563392,200,800,0.580561484
"A2","28",36.13067288,200,800,0.613406797
"A2","29",36.604214912,200,800,0.650473359
"A2","30",37.075676272,200,800,0.688648516
"A2","31",37.549880336,200,800,0.730953672
"A2","32",38.024462704,200,800,0.777882266
"A2","33",38.49318136,200,800,0.827949062
"A2","34",38.965777632,200,800,0.880864531
"A2","35",39.440549152,200,800,0.938713984
"A2","36",39.91182136,200,800,1.000526328
"A2","37",40.38706576,200,800,1.067254766
"A2","38",40.85947288,200,800,1.135082578
"A2","39",41.331974576,200,800,1.206911719
"A2","40",41.805800336,200,800,1.281153438
"A2","41",42.276410512,200,800,1.360215156
"A2","42",42.750803728,200,800,1.443810469
"A2","43",43.223494576,200,800,1.531573281
"A2","44",43.696090848,200,800,1.620251719
"A2","45",44.167646784,200,800,1.713970625
"A2","46",44.641756272,200,800,1.809022812
"A2","47",45.113785088,200,800,1.907032188
"A2","48",45.589502368,200,800,2.008754375
"A2","49",46.059072208,200,800,2.107480781
"A2","50",46.53403288,200,800,2.208619219
"A2","51",47.006061696,200,800,2.312824531
"A2","52",47.478941696,200,800,2.413218281
"A2","53",47.95361864,200,800,2.510528594
"A2","54",48.424512544,200,800,2.608952812
"A2","55",48.896730512,200,800,2.702378438
"A2","56",49.370272544,200,800,2.795004375
"A2","57",49.843909152,200,800,2.887557812
"A2","58",50.31518136,200,800,2.975012188
"A2","59",50.787493904,200,800,3.056954375
"A2","60",51.263873216,200,800,3.129995312
"A2","61",51.733726784,200,800,3.19947875
"A2","62",52.206795936,200,800,3.26597875
"A2","63",52.680716272,200,800,3.321384062
"A2","64",53.151893904,200,800,3.375894375
"A2","65",53.626949152,200,800,3.42622
"A2","66",54.099545424,200,800,3.469984062
"A2","67",54.571006784,200,800,3.509113438
"A2","68",55.046440336,200,800,3.541870625
"A2","69",55.515821024,200,800,3.572804688
"A2","70",55.991727456,200,800,3.597797188
"A2","71",56.46451288,200,800,3.620039062
"A2","72",56.935217632,200,800,3.634811875
"A2","73",57.410367456,200,800,3.647635312
"A2","74",57.882017968,200,800,3.65983875
"A2","75",58.353573904,200,800,3.665599375
"A2","76",58.827399664,200,800,3.6705225
"A2","77",59.30179288,200,800,3.671896875
"A2","78",59.773443392,200,800,3.670931875
"A2","79",60.24660712,200,800,3.674661875
"A2","80",60.719676272,200,800,3.668592812
"A2","81",61.19236712,200,800,3.6631925
"A2","82",61.667233216,200,800,3.651958438
"A2","83",62.138978304,200,800,3.635591875
"A2","84",62.610439664,200,800,3.612895625
"A2","85",63.084265424,200,800,3.59480875
"A2","86",63.55771288,200,800,3.57875625
"A2","87",64.030309152,200,800,3.561885938
"A2","88",64.503283728,200,800,3.546300938
"A2","89",64.975217968,200,800,3.528239375
"A2","90",65.449516608,200,800,3.5162025
"A2","91",65.92353152,200,800,3.499459375
"A2","92",66.395087456,200,800,3.48374125
"A2","93",66.868251184,200,800,3.471353125
"A2","94",67.339050512,200,800,3.45749625
"A2","95",67.814673216,200,800,3.443803438
"A2","96",68.284999664,200,800,3.424746562
"A2","97",68.758636272,200,800,3.407527188
"A2","98",69.230570512,200,800,3.390134062
"A2","99",69.704774576,200,800,3.374910938
"A2","100",70.1799244,200,800,3.357494688
"A2","101",70.650250848,200,800,3.345001875
"A2","102",71.124171184,200,800,3.3267325
"A2","103",71.594497632,200,800,3.305949688
"A2","104",72.069742032,200,800,3.2923025
"A2","105",72.541676272,200,800,3.272455625
"A2","106",73.01436712,200,800,3.257104062
"A2","107",73.486585088,200,800,3.239022812
"A2","108",73.957857296,200,800,3.220138438
"A2","109",74.43395288,200,800,3.206189062
"A2","110",74.905981696,200,800,3.188330625
"A2","111",75.379145424,200,800,3.170032812
"A2","112",75.850795936,200,800,3.154450625
"A2","113",76.324432544,200,800,3.13597375
"A2","114",76.797596272,200,800,3.121105938
"A2","115",77.271327456,200,800,3.103932812
"A2","116",77.742505088,200,800,3.086085312
"A2","117",78.215857968,200,800,3.066800312
"A2","118",78.690251184,200,800,3.054145938
"A2","119",79.161428816,200,800,3.03486625
"A2","120",79.634025088,200,800,3.017722188
"A2","121",80.109553216,200,800,2.999997812
"A3","1",23.357522048,200,600,0.284364277
"A3","2",23.835887456,200,600,0.287746582
"A3","3",24.311321008,200,600,0.291288223
"A3","4",24.780985424,200,600,0.296112754
"A3","5",25.25537864,200,600,0.301130137
"A3","6",25.724191872,200,600,0.306497305
"A3","7",26.19782848,200,600,0.312631777
"A3","8",26.675248128,200,600,0.318824258
"A3","9",27.14737152,200,600,0.325895332
"A3","10",27.623277952,200,600,0.333829961
"A3","11",28.088970176,200,600,0.342615586
"A3","12",28.565633216,200,600,0.352073789
"A3","13",29.041539648,200,600,0.362572578
"A3","14",29.509123392,200,600,0.373755898
"A3","15",29.988150832,200,600,0.386170859
"A3","16",30.462165744,200,600,0.399938945
"A3","17",30.923223744,200,600,0.414794219
"A3","18",31.404521008,200,600,0.431591602
"A3","19",31.867470528,200,600,0.449115938
"A3","20",32.346025088,200,600,0.469005117
"A3","21",32.820796608,200,600,0.490057539
"A3","22",33.294622368,200,600,0.513649766
"A3","23",33.771758288,200,600,0.539306367
"A3","24",34.237923392,200,600,0.566737969
"A3","25",34.710803392,200,600,0.598005508
"A3","26",35.18396712,200,600,0.631881328
"A3","27",35.655333904,200,600,0.666656328
"A3","28",36.130767456,200,600,0.705877344
"A3","29",36.603458304,200,600,0.748447891
"A3","30",37.076811184,200,600,0.793352344
"A3","31",37.54600272,200,600,0.842585703
"A3","32",38.022098304,200,600,0.894807422
"A3","33",38.493465088,200,600,0.949925312
"A3","34",38.966155936,200,600,1.0098025
"A3","35",39.437806448,200,600,1.074217188
"A3","36",39.912577968,200,600,1.142467344
"A3","37",40.384795936,200,600,1.212671562
"A3","38",40.859,200,600,1.287031328
"A3","39",41.333487792,200,600,1.367530156
"A3","40",41.803908816,200,600,1.450794062
"A3","41",42.275653904,200,600,1.535536562
"A3","42",42.750330848,200,600,1.625524062
"A3","43",43.22292712,200,600,1.715705469
"A3","44",43.69628,200,600,1.809117812
"A3","45",44.170200336,200,600,1.903689062
"A3","46",44.641945424,200,600,2.003939375
"A3","47",45.11397424,200,600,2.102712188
"A3","48",45.5878,200,600,2.205269062
"A3","49",46.060017968,200,600,2.304798281
"A3","50",46.534411184,200,600,2.405453125
"A3","51",47.005777968,200,600,2.509090625
"A3","52",47.47884712,200,600,2.608020625
"A3","53",47.952956608,200,600,2.7028175
"A3","54",48.423377632,200,600,2.798255
"A3","55",48.899094912,200,600,2.889417812
"A3","56",49.371029152,200,600,2.975447188
"A3","57",49.844571184,200,600,3.061193125
"A3","58",50.316316272,200,600,3.140998438
"A3","59",50.789101696,200,600,3.216865938
