"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.361683392,200,1000,0.188294277
"D1","2",23.83106408,200,1000,0.187931172
"D1","3",24.305551872,200,1000,0.188180508
"D1","4",24.780323392,200,1000,0.187638867
"D1","5",25.25348712,200,1000,0.187496133
"D1","6",25.724570176,200,1000,0.187751816
"D1","7",26.200003728,200,1000,0.187045488
"D1","8",26.670330176,200,1000,0.186612266
"D1","9",27.149830496,200,1000,0.186047246
"D1","10",27.617508816,200,1000,0.186740742
"D1","11",28.093320672,200,1000,0.186138789
"D1","12",28.55844544,200,1000,0.186352031
"D1","13",29.036621696,200,1000,0.186555977
"D1","14",29.509596272,200,1000,0.185598418
"D1","15",29.9803956,200,1000,0.185900879
"D1","16",30.456869488,200,1000,0.185513418
"D1","17",30.9308844,200,1000,0.18573168
"D1","18",31.403669824,200,1000,0.185904141
"D1","19",31.87333424,200,1000,0.186140742
"D1","20",32.35236168,200,1000,0.18591041
"D1","21",32.817108144,200,1000,0.186306387
"D1","22",33.3023776,200,1000,0.18624
"D1","23",33.7681644,200,1000,0.186811094
"D1","24",34.233194592,200,1000,0.187650234
"D1","25",34.709573904,200,1000,0.188404941
"D1","26",35.184061696,200,1000,0.188435605
"D1","27",35.656563392,200,1000,0.189071836
"D1","28",36.13067288,200,1000,0.189368223
"D1","29",36.604214912,200,1000,0.190771094
"D1","30",37.075676272,200,1000,0.191642891
"D1","31",37.549880336,200,1000,0.193439121
"D1","32",38.024462704,200,1000,0.193913965
"D1","33",38.49318136,200,1000,0.19581877
"D1","34",38.965777632,200,1000,0.196836719
"D1","35",39.440549152,200,1000,0.198483574
"D1","36",39.91182136,200,1000,0.199534395
"D1","37",40.38706576,200,1000,0.20256248
"D1","38",40.85947288,200,1000,0.204975508
"D1","39",41.331974576,200,1000,0.207833633
"D1","40",41.805800336,200,1000,0.211670957
"D1","41",42.276410512,200,1000,0.214885645
"D1","42",42.750803728,200,1000,0.219541816
"D1","43",43.223494576,200,1000,0.224760332
"D1","44",43.696090848,200,1000,0.229399434
"D1","45",44.167646784,200,1000,0.23474959
"D1","46",44.641756272,200,1000,0.240818223
"D1","47",45.113785088,200,1000,0.246469277
"D1","48",45.589502368,200,1000,0.253903379
"D1","49",46.059072208,200,1000,0.262675938
"D1","50",46.53403288,200,1000,0.271931523
"D1","51",47.006061696,200,1000,0.282187402
"D1","52",47.478941696,200,1000,0.293539863
"D1","53",47.95361864,200,1000,0.306261602
"D1","54",48.424512544,200,1000,0.320800898
"D1","55",48.896730512,200,1000,0.334923789
"D1","56",49.370272544,200,1000,0.352054023
"D1","57",49.843909152,200,1000,0.370101641
"D1","58",50.31518136,200,1000,0.393140781
"D1","59",50.787493904,200,1000,0.414326523
"D1","60",51.263873216,200,1000,0.439712148
"D1","61",51.733726784,200,1000,0.467399219
"D1","62",52.206795936,200,1000,0.496564727
"D1","63",52.680716272,200,1000,0.529366523
"D1","64",53.151893904,200,1000,0.565079336
"D1","65",53.626949152,200,1000,0.599119844
