"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.362345424,200,1000,0.176538398
"A1","2",23.832671872,200,1000,0.176723926
"A1","3",24.305078992,200,1000,0.176739492
"A1","4",24.78060712,200,1000,0.176648652
"A1","5",25.250933568,200,1000,0.176453438
"A1","6",25.726556272,200,1000,0.176418809
"A1","7",26.199436272,200,1000,0.176017227
"A1","8",26.67401864,200,1000,0.175910781
"A1","9",27.14642576,200,1000,0.175412773
"A1","10",27.620818976,200,1000,0.175313965
"A1","11",28.09124,200,1000,0.175497441
"A1","12",28.564782032,200,1000,0.175668867
"A1","13",29.036810848,200,1000,0.175251211
"A1","14",29.513852192,200,1000,0.175431387
"A1","15",29.98134136,200,1000,0.175046367
"A1","16",30.451573232,200,1000,0.175230137
"A1","17",30.929844064,200,1000,0.175382188
"A1","18",31.40471016,200,1000,0.175001738
"A1","19",31.876076944,200,1000,0.175207852
"A1","20",32.343944416,200,1000,0.174927129
"A1","21",32.816067808,200,1000,0.175038984
"A1","22",33.2716404,200,1000,0.175092285
"A1","23",33.7634356,200,1000,0.1748125
"A1","24",34.232721712,200,1000,0.174884473
"A1","25",34.713073216,200,1000,0.175028887
"A1","26",35.184345424,200,1000,0.175133633
"A1","27",35.65873864,200,1000,0.175412344
"A1","28",36.1325644,200,1000,0.17572543
"A1","29",36.602323392,200,1000,0.175729316
"A1","30",37.076811184,200,1000,0.176044707
"A1","31",37.54836712,200,1000,0.176381152
"A1","32",38.020679664,200,1000,0.177174648
"A1","33",38.495451184,200,1000,0.17755125
"A1","34",38.968142032,200,1000,0.178192031
"A1","35",39.44083288,200,1000,0.179125195
"A1","36",39.915509824,200,1000,0.180134395
"A1","37",40.384985088,200,1000,0.181286016
"A1","38",40.857297632,200,1000,0.18262248
"A1","39",41.332069152,200,1000,0.183830156
"A1","40",41.805043728,200,1000,0.185382617
"A1","41",42.277829152,200,1000,0.18732166
"A1","42",42.751182032,200,1000,0.189308184
"A1","43",43.22481864,200,1000,0.191357168
"A1","44",43.695617968,200,1000,0.194107227
"A1","45",44.168970848,200,1000,0.196947305
"A1","46",44.643553216,200,1000,0.199885762
"A1","47",45.11539288,200,1000,0.204047988
"A1","48",45.587894576,200,1000,0.208000645
"A1","49",46.060869152,200,1000,0.212743203
"A1","50",46.534127456,200,1000,0.218151504
"A1","51",47.003697296,200,1000,0.223974023
"A1","52",47.47979288,200,1000,0.230838105
"A1","53",47.952105424,200,1000,0.238589629
"A1","54",48.42460712,200,1000,0.247301211
"A1","55",48.899000336,200,1000,0.25691084
"A1","56",49.369799664,200,1000,0.268655156
"A1","57",49.842395936,200,1000,0.281401035
"A1","58",50.315937968,200,1000,0.296479512
"A1","59",50.790709488,200,1000,0.31286582
"A1","60",51.261508816,200,1000,0.332484922
"A1","61",51.73476712,200,1000,0.354952227
"A1","62",52.208971184,200,1000,0.379486914
"A1","63",52.680810848,200,1000,0.407925742
"A1","64",53.152650512,200,1000,0.439550703
"A1","65",53.626949152,200,1000,0.476554062
"A1","66",54.099072544,200,1000,0.518379844
"A1","67",54.571668816,200,1000,0.565839961
"A1","68",55.044737968,200,1000,0.617597227
"A1","69",55.51780712,200,1000,0.676733906
"A1","70",55.990025088,200,1000,0.741556328
"A1","71",56.463661696,200,1000,0.811080469
"A1","72",56.936257968,200,1000,0.885788359
"A1","73",57.40885424,200,1000,0.965766094
"A1","74",57.883909488,200,1000,1.051288281
"A1","75",58.355370848,200,1000,1.140816953
"A1","76",58.828345424,200,1000,1.233992969
"A1","77",59.299144752,200,1000,1.325585312
"A1","78",59.772875936,200,1000,1.419381562
"A1","79",60.247363728,200,1000,1.510396562
"A1","80",60.719108816,200,1000,1.599277969
"A1","81",61.193880336,200,1000,1.688277188
"A1","82",61.663544752,200,1000,1.770170625
"A1","83",62.137843392,200,1000,1.842582969
"A1","84",62.612236608,200,1000,1.913209844
"A1","85",63.083319664,200,1000,1.975568906
"A1","86",63.556577968,200,1000,2.033816406
"A1","87",64.030403728,200,1000,2.081379219
"A1","88",64.503189152,200,1000,2.124225938
"A1","89",64.977487792,200,1000,2.160981406
"A1","90",65.448192544,200,1000,2.192482812
"A1","91",65.921261696,200,1000,2.219145625
"A1","92",66.393385088,200,1000,2.237382656
"A1","93",66.867778304,200,1000,2.254598906
"A1","94",67.339239664,200,1000,2.26374875
"A1","95",67.814011184,200,1000,2.271218281
"A1","96",68.284810512,200,1000,2.266681719
"A1","97",68.75797424,200,1000,2.265477812
"A1","98",69.232934912,200,1000,2.266726719
"A1","99",69.703072208,200,1000,2.264683438
"A1","100",70.178222032,200,1000,2.260905
"A1","101",70.64996712,200,1000,2.257533438
"A1","102",71.125022368,200,1000,2.252547812
"A1","103",71.596767456,200,1000,2.24702
"A1","104",72.070309488,200,1000,2.240348281
"A1","105",72.54243288,200,1000,2.233142812
"A1","106",73.01673152,200,1000,2.224035312
"A1","107",73.487814576,200,1000,2.215705625
"A1","108",73.95965424,200,1000,2.209016406
"A1","109",74.433385424,200,1000,2.199908438
"A1","110",74.90636,200,1000,2.190232969
"A1","111",75.379050848,200,1000,2.180274688
"A1","112",75.85164712,200,1000,2.168997969
"A1","113",76.32547288,200,1000,2.162144844
"A1","114",76.798069152,200,1000,2.151804531
"A1","115",77.27123288,200,1000,2.141453281
"A1","116",77.744491184,200,1000,2.129912969
"A1","117",78.217654912,200,1000,2.120705
"A1","118",78.689967456,200,1000,2.112652656
"A1","119",79.160483056,200,1000,2.098817188
"A1","120",79.634025088,200,1000,2.086865625
"A1","121",80.106337632,200,1000,2.077994375
"A2","1",23.362345424,200,800,0.212041816
"A2","2",23.832671872,200,800,0.212145059
"A2","3",24.305078992,200,800,0.212139883
"A2","4",24.78060712,200,800,0.212084746
"A2","5",25.250933568,200,800,0.211996211
"A2","6",25.726556272,200,800,0.211813008
"A2","7",26.199436272,200,800,0.211475547
"A2","8",26.67401864,200,800,0.211388027
"A2","9",27.14642576,200,800,0.210928184
"A2","10",27.620818976,200,800,0.210657188
"A2","11",28.09124,200,800,0.21047127
"A2","12",28.564782032,200,800,0.210326953
"A2","13",29.036810848,200,800,0.210293516
"A2","14",29.513852192,200,800,0.209901309
"A2","15",29.98134136,200,800,0.209930684
