"Well","Reading","Temperature","A","B","Emission"
"E1","1",23.367925408,200,1000,0.103125947
"E1","2",23.84146744,200,1000,0.103405215
"E1","3",24.307065088,200,1000,0.104769238
"E1","4",24.782687792,200,1000,0.106107588
"E1","5",25.25017696,200,1000,0.107661641
"E1","6",25.729582704,200,1000,0.109278154
"E1","7",26.198679664,200,1000,0.110755947
"E1","8",26.675531856,200,1000,0.112643213
"E1","9",27.147087792,200,1000,0.114600537
"E1","10",27.615806448,200,1000,0.116223301
"E1","11",28.093036944,200,1000,0.118193584
"E1","12",28.56790304,200,1000,0.120541748
"E1","13",29.037189152,200,1000,0.123615225
"E1","14",29.507893904,200,1000,0.126176377
"E1","15",29.98276,200,1000,0.129467773
"E1","16",30.458193552,200,1000,0.133174756
"E1","17",30.930600672,200,1000,0.136054189
"E1","18",31.39950848,200,1000,0.14033541
"E1","19",31.87569864,200,1000,0.145006885
"E1","20",32.345552208,200,1000,0.148869961
"E1","21",32.820607456,200,1000,0.154375215
"E1","22",33.292352544,200,1000,0.159998789
"E1","23",33.75492376,200,1000,0.165996953
"E1","24",34.238490848,200,1000,0.171989414
"E1","25",34.717802016,200,1000,0.179202324
"E1","26",35.18444,200,1000,0.187147129
"E1","27",35.657225424,200,1000,0.195620918
"E1","28",36.13209152,200,1000,0.203800996
"E1","29",36.603363728,200,1000,0.21432123
"E1","30",37.075297968,200,1000,0.225603828
"E1","31",37.550069488,200,1000,0.236742656
"E1","32",38.022003728,200,1000,0.248107422
"E1","33",38.495167456,200,1000,0.260578281
"E1","34",38.966912544,200,1000,0.275533496
"E1","35",39.44130576,200,1000,0.2905
"E1","36",39.912861696,200,1000,0.30495541
"E1","37",40.384890512,200,1000,0.323061992
"E1","38",40.858432544,200,1000,0.339220391
"E1","39",41.33188,200,1000,0.357331094
"E1","40",41.80428712,200,1000,0.376439258
"E1","41",42.276788816,200,1000,0.397400078
"E1","42",42.749668816,200,1000,0.416632656
"E1","43",43.222548816,200,1000,0.438186133
"E1","44",43.69486136,200,1000,0.458902656
"E1","45",44.168970848,200,1000,0.48089625
"E1","46",44.64298576,200,1000,0.502196367
"E1","47",45.114257968,200,1000,0.525104336
"E1","48",45.58590848,200,1000,0.546552812
"E1","49",46.06209864,200,1000,0.569799727
"E1","50",46.532330512,200,1000,0.591686133
"E1","51",47.00644,200,1000,0.614111641
"E1","52",47.48026576,200,1000,0.636018086
"E1","53",47.950592208,200,1000,0.655438359
"E1","54",48.425269152,200,1000,0.6771075
"E1","55",48.898622032,200,1000,0.696418281
"E1","56",49.37131288,200,1000,0.716658594
"E1","57",49.844003728,200,1000,0.736373906
"E1","58",50.316883728,200,1000,0.753263047
"E1","59",50.789574576,200,1000,0.770552578
"E1","60",51.263684064,200,1000,0.787749922
"E1","61",51.736942368,200,1000,0.803993438
"E1","62",52.205566448,200,1000,0.820510625
"E1","63",52.6786356,200,1000,0.834304609
"E1","64",53.151610176,200,1000,0.84689875
"E1","65",53.625435936,200,1000,0.861303828
"E1","66",54.099356272,200,1000,0.873456328
"E1","67",54.572803728,200,1000,0.885485078
"E1","68",55.045589152,200,1000,0.898010703
"E1","69",55.518563728,200,1000,0.907336094
"E1","70",55.990970848,200,1000,0.919683125
"E1","71",56.462432208,200,1000,0.929789688
"E1","72",56.93550136,200,1000,0.941488906
"E1","73",57.408665088,200,1000,0.950001094
"E1","74",57.882963728,200,1000,0.960005156
"E1","75",58.35697864,200,1000,0.970730625
"E1","76",58.829669488,200,1000,0.977963672
"E1","77",59.301603728,200,1000,0.986180547
"E1","78",59.7742,200,1000,0.995526719
"E1","79",60.247647456,200,1000,1.00095625
"E1","80",60.720338304,200,1000,1.010307578
"E1","81",61.191137632,200,1000,1.018081797
"E1","82",61.66524712,200,1000,1.024778203
"E1","83",62.139451184,200,1000,1.030934844
"E1","84",62.61148,200,1000,1.03775125
"E1","85",63.08436,200,1000,1.044144844
"E1","86",63.55582136,200,1000,1.050805391
"E1","87",64.02870136,200,1000,1.060479219
"E1","88",64.504040336,200,1000,1.064043906
"E1","89",64.972758992,200,1000,1.072313047
"E1","90",65.448192544,200,1000,1.080782969
"E1","91",65.921734576,200,1000,1.086437266
"E1","92",66.394330848,200,1000,1.087569062
"E1","93",66.867305424,200,1000,1.094232656
"E1","94",67.340469152,200,1000,1.093987734
"E1","95",67.811457632,200,1000,1.096491719
"E1","96",68.283391872,200,1000,1.094652344
"E1","97",68.76081152,200,1000,1.097744531
"E1","98",69.230948816,200,1000,1.098314062
"E1","99",69.704301696,200,1000,1.100884922
"E1","100",70.175573904,200,1000,1.105616562
"E1","101",70.65138576,200,1000,1.107672891
"E1","102",71.123509152,200,1000,1.109689844
"E1","103",71.596578304,200,1000,1.112674453
