"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.36385864,200,1000,0.221219844
"A1","2",23.838535584,200,1000,0.222209883
"A1","3",24.3105644,200,1000,0.223591445
"A1","4",24.782876944,200,1000,0.225003066
"A1","5",25.251784752,200,1000,0.225901191
"A1","6",25.722016624,200,1000,0.22666041
"A1","7",26.198395936,200,1000,0.226821816
"A1","8",26.672032544,200,1000,0.227975938
"A1","9",27.146331184,200,1000,0.228575312
"A1","10",27.615806448,200,1000,0.229348906
"A1","11",28.090010512,200,1000,0.230227012
"A1","12",28.568754224,200,1000,0.230976387
"A1","13",29.035203056,200,1000,0.231476797
"A1","14",29.50846136,200,1000,0.232346582
"A1","15",29.982097968,200,1000,0.233174512
"A1","16",30.450154592,200,1000,0.234179863
"A1","17",30.92520984,200,1000,0.234884395
"A1","18",31.39525256,200,1000,0.235693379
"A1","19",31.872293904,200,1000,0.23643707
"A1","20",32.339877648,200,1000,0.237453906
"A1","21",32.813703408,200,1000,0.238614707
"A1","22",33.29481152,200,1000,0.239709004
"A1","23",33.763530176,200,1000,0.240911777
"A1","24",34.243503376,200,1000,0.24194457
"A1","25",34.710708816,200,1000,0.243393184
"A1","26",35.183588816,200,1000,0.244678027
"A1","27",35.65826576,200,1000,0.246222305
"A1","28",36.130956608,200,1000,0.248062129
"A1","29",36.60260712,200,1000,0.249853926
"A1","30",37.074825088,200,1000,0.252161094
"A1","31",37.550542368,200,1000,0.254424023
"A1","32",38.020963392,200,1000,0.257001465
"A1","33",38.4922356,200,1000,0.260004668
"A1","34",38.966817968,200,1000,0.262769121
"A1","35",39.439792544,200,1000,0.266181406
"A1","36",39.91513152,200,1000,0.270500605
"A1","37",40.38328272,200,1000,0.274709648
"A1","38",40.857959664,200,1000,0.279505762
"A1","39",41.332542032,200,1000,0.284720312
"A1","40",41.803152208,200,1000,0.290441055
"A1","41",42.278396608,200,1000,0.29728207
"A1","42",42.7528844,200,1000,0.304898457
"A1","43",43.22198136,200,1000,0.313296543
"A1","44",43.695712544,200,1000,0.322438516
"A1","45",44.169538304,200,1000,0.333075508
"A1","46",44.642134576,200,1000,0.344785312
"A1","47",45.113785088,200,1000,0.359013047
"A1","48",45.58732712,200,1000,0.374178633
"A1","49",46.061058304,200,1000,0.391855898
"A1","50",46.533843728,200,1000,0.412089492
"A1","51",47.005115936,200,1000,0.435684805
"A1","52",47.47837424,200,1000,0.46175707
"A1","53",47.951348816,200,1000,0.491363984
"A1","54",48.422810176,200,1000,0.525072344
"A1","55",48.896257632,200,1000,0.563075156
"A1","56",49.36894848,200,1000,0.60529332
"A1","57",49.842868816,200,1000,0.653345195
"A1","58",50.31612712,200,1000,0.710033203
"A1","59",50.78995288,200,1000,0.768269531
"A1","60",51.261981696,200,1000,0.836684766
"A1","61",51.734388816,200,1000,0.907944766
"A1","62",52.205566448,200,1000,0.983355625
"A1","63",52.680621696,200,1000,1.071136484
"A1","64",53.15293424,200,1000,1.158904844
"A1","65",53.628462368,200,1000,1.249103828
"A1","66",54.098788816,200,1000,1.344975469
"A1","67",54.571290512,200,1000,1.441674844
"A1","68",55.045305424,200,1000,1.539922188
"A1","69",55.51828,200,1000,1.634883438
"A1","70",55.990592544,200,1000,1.727369062
"A1","71",56.46262136,200,1000,1.816891094
"A1","72",56.938149488,200,1000,1.898362812
"A1","73",57.409421696,200,1000,1.973869844
"A1","74",57.881355936,200,1000,2.040488906
"A1","75",58.354425088,200,1000,2.109519531
"A1","76",58.828345424,200,1000,2.161926719
"A1","77",59.302454912,200,1000,2.213800781
"A1","78",59.773916272,200,1000,2.253356094
"A1","79",60.246796272,200,1000,2.288902031
"A1","80",60.721473216,200,1000,2.324186094
"A1","81",61.190853904,200,1000,2.352189062
"A1","82",61.6680844,200,1000,2.373881875
"A1","83",62.138032544,200,1000,2.388415312
"A1","84",62.610817968,200,1000,2.389976094
"A1","85",63.08483288,200,1000,2.399608281
"A1","86",63.556861696,200,1000,2.405099844
"A1","87",64.027944752,200,1000,2.409667812
"A1","88",64.503,200,1000,2.409355
"A1","89",64.976447456,200,1000,2.412058594
"A1","90",65.448570848,200,1000,2.407459219
"A1","91",65.920788816,200,1000,2.404634844
"A1","92",66.396316944,200,1000,2.405950312
"A1","93",66.867021696,200,1000,2.400851406
"A1","94",67.339523392,200,1000,2.397798438
"A1","95",67.810701024,200,1000,2.394059375
"A1","96",68.285850848,200,1000,2.388657031
"A1","97",68.758257968,200,1000,2.38078
"A1","98",69.231610848,200,1000,2.376336094
"A1","99",69.70562576,200,1000,2.37329625
"A1","100",70.177276272,200,1000,2.359788906
