"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.361115936,200,1000,0.420033711
"A1","2",23.835414576,200,1000,0.429367188
"A1","3",24.309524064,200,1000,0.438376602
"A1","4",24.777580688,200,1000,0.449438164
"A1","5",25.253392544,200,1000,0.459635664
"A1","6",25.726083392,200,1000,0.471677148
"A1","7",26.200382032,200,1000,0.484184922
"A1","8",26.67401864,200,1000,0.497064961
"A1","9",27.146614912,200,1000,0.510269492
"A1","10",27.620440672,200,1000,0.525691094
"A1","11",28.091902032,200,1000,0.540666914
"A1","12",28.565349488,200,1000,0.558337617
"A1","13",29.038607792,200,1000,0.576328945
"A1","14",29.508839664,200,1000,0.596808984
"A1","15",29.978787808,200,1000,0.617922578
"A1","16",30.456302032,200,1000,0.640577852
"A1","17",30.930033216,200,1000,0.665233359
"A1","18",31.404521008,200,1000,0.693140234
"A1","19",31.871821024,200,1000,0.71943875
"A1","20",32.345930512,200,1000,0.751974922
"A1","21",32.823539312,200,1000,0.786838047
"A1","22",33.287150864,200,1000,0.823058672
"A1","23",33.770717952,200,1000,0.862825
"A1","24",34.239436608,200,1000,0.903150859
"A1","25",34.70966848,200,1000,0.947659375
"A1","26",35.183777968,200,1000,0.994295547
"A1","27",35.656657968,200,1000,1.042926016
"A1","28",36.12972712,200,1000,1.095644453
"A1","29",36.604404064,200,1000,1.153385547
"A1","30",37.07643288,200,1000,1.212866797
"A1","31",37.549974912,200,1000,1.277188125
"A1","32",38.020017632,200,1000,1.343440938
"A1","33",38.493843392,200,1000,1.411068438
"A1","34",38.967574576,200,1000,1.483687188
"A1","35",39.439225088,200,1000,1.559078125
"A1","36",39.913523728,200,1000,1.639065938
"A1","37",40.386782032,200,1000,1.720725625
"A1","38",40.859283728,200,1000,1.802690469
"A1","39",41.333109488,200,1000,1.890539375
"A1","40",41.802963056,200,1000,1.978832969
"A1","41",42.275464752,200,1000,2.066378281
"A1","42",42.749385088,200,1000,2.157528594
"A1","43",43.222643392,200,1000,2.245202188
"A1","44",43.695712544,200,1000,2.329707812
"A1","45",44.166701024,200,1000,2.421165938
"A1","46",44.643269488,200,1000,2.504256562
"A1","47",45.115014576,200,1000,2.592715781
