"Well","Reading","Temperature","A","B","Emission"
"E1","1",23.361115936,200,1000,0.270749707
"E1","2",23.835414576,200,1000,0.270818828
"E1","3",24.309524064,200,1000,0.270775195
"E1","4",24.777580688,200,1000,0.271652695
"E1","5",25.253392544,200,1000,0.27199457
"E1","6",25.726083392,200,1000,0.272421152
"E1","7",26.200382032,200,1000,0.27330084
"E1","8",26.67401864,200,1000,0.273729414
"E1","9",27.146614912,200,1000,0.274547598
"E1","10",27.620440672,200,1000,0.275131289
"E1","11",28.091902032,200,1000,0.276232773
"E1","12",28.565349488,200,1000,0.276927227
"E1","13",29.038607792,200,1000,0.277720273
"E1","14",29.508839664,200,1000,0.278639883
"E1","15",29.978787808,200,1000,0.28029002
"E1","16",30.456302032,200,1000,0.281649121
"E1","17",30.930033216,200,1000,0.283382285
"E1","18",31.404521008,200,1000,0.284322695
"E1","19",31.871821024,200,1000,0.286652715
"E1","20",32.345930512,200,1000,0.288807461
"E1","21",32.823539312,200,1000,0.291118301
"E1","22",33.287150864,200,1000,0.292505938
"E1","23",33.770717952,200,1000,0.294445059
"E1","24",34.239436608,200,1000,0.297657246
"E1","25",34.70966848,200,1000,0.299819023
"E1","26",35.183777968,200,1000,0.302220527
"E1","27",35.656657968,200,1000,0.304890098
"E1","28",36.12972712,200,1000,0.308458457
"E1","29",36.604404064,200,1000,0.312484609
"E1","30",37.07643288,200,1000,0.316359336
"E1","31",37.549974912,200,1000,0.320195352
"E1","32",38.020017632,200,1000,0.324887324
"E1","33",38.493843392,200,1000,0.330559922
"E1","34",38.967574576,200,1000,0.335556562
"E1","35",39.439225088,200,1000,0.341237422
"E1","36",39.913523728,200,1000,0.348420938
"E1","37",40.386782032,200,1000,0.355584766
"E1","38",40.859283728,200,1000,0.363262656
"E1","39",41.333109488,200,1000,0.372620391
"E1","40",41.802963056,200,1000,0.382224375
"E1","41",42.275464752,200,1000,0.392039688
"E1","42",42.749385088,200,1000,0.402914375
"E1","43",43.222643392,200,1000,0.415927695
"E1","44",43.695712544,200,1000,0.42988625
"E1","45",44.166701024,200,1000,0.444349531
"E1","46",44.643269488,200,1000,0.46072293
"E1","47",45.115014576,200,1000,0.478948555
"E1","48",45.589880672,200,1000,0.499406172
"E1","49",46.060490848,200,1000,0.521558945
"E1","50",46.534411184,200,1000,0.546509258
"E1","51",47.007102032,200,1000,0.573414297
"E1","52",47.479509152,200,1000,0.602988477
"E1","53",47.95314576,200,1000,0.633444023
"E1","54",48.425174576,200,1000,0.668712344
"E1","55",48.895690176,200,1000,0.705280469
"E1","56",49.369515936,200,1000,0.746712578
"E1","57",49.843152544,200,1000,0.789677031
"E1","58",50.314424752,200,1000,0.838064844
"E1","59",50.790331184,200,1000,0.888146562
"E1","60",51.260279328,200,1000,0.941624297
"E1","61",51.734577968,200,1000,0.997465625
"E1","62",52.209633216,200,1000,1.054879766
"E1","63",52.679675936,200,1000,1.116689375
"E1","64",53.154069152,200,1000,1.174524141
"E1","65",53.625057632,200,1000,1.239665234
"E1","66",54.100396608,200,1000,1.30330125
"E1","67",54.571479664,200,1000,1.368092344
"E1","68",55.044548816,200,1000,1.432015156
"E1","69",55.51875288,200,1000,1.493613125
"E1","70",55.990970848,200,1000,1.557490625
"E1","71",56.463756272,200,1000,1.615405
"E1","72",56.934933904,200,1000,1.673526562
"E1","73",57.407246448,200,1000,1.727484219
"E1","74",57.881639664,200,1000,1.776915938
"E1","75",58.35603288,200,1000,1.828237812
"E1","76",58.828156272,200,1000,1.874440625
"E1","77",59.300563392,200,1000,1.918739844
"E1","78",59.772970512,200,1000,1.955694375
"E1","79",60.246512544,200,1000,1.992637656
"E1","80",60.718257632,200,1000,2.024928438
"E1","81",61.192083392,200,1000,2.050711094
"E1","82",61.664017632,200,1000,2.074639062
"E1","83",62.139640336,200,1000,2.095346562
"E1","84",62.61100712,200,1000,2.116734844
"E1","85",63.084927456,200,1000,2.135007656
"E1","86",63.557429152,200,1000,2.151180469
"E1","87",64.030214576,200,1000,2.159101719
"E1","88",64.502621696,200,1000,2.173181094
"E1","89",64.977014912,200,1000,2.175540781
"E1","90",65.44828712,200,1000,2.18018875
"E1","91",65.922964064,200,1000,2.188706562
"E1","92",66.393479664,200,1000,2.192530781
"E1","93",66.86692712,200,1000,2.180657969
"E1","94",67.340090848,200,1000,2.173016719
"E1","95",67.814484064,200,1000,2.164045469
"E1","96",68.285661696,200,1000,2.155454219
"E1","97",68.758163392,200,1000,2.149192656
"E1","98",69.2318,200,1000,2.143783594
"E1","99",69.70278848,200,1000,2.139747031
"E1","100",70.17756,200,1000,2.133599219
"E1","101",70.649399664,200,1000,2.124135
"E1","102",71.122657968,200,1000,2.123933438
"E1","103",71.596105424,200,1000,2.113480312
"E1","104",72.068323392,200,1000,2.105075156
"E1","105",72.540919664,200,1000,2.101528594
"E1","106",73.01436712,200,1000,2.09386125
"E1","107",73.486868816,200,1000,2.090031719
"E1","108",73.96154576,200,1000,2.08774
"E1","109",74.431872208,200,1000,2.081360469
"E1","110",74.906738304,200,1000,2.067098906
"E1","111",75.37782136,200,1000,2.065546719
"E1","112",75.853349488,200,1000,2.052200625
"E1","113",76.323865088,200,1000,2.046180938
"E1","114",76.79740712,200,1000,2.041174375
"E1","115",77.270192544,200,1000,2.03376
"E1","116",77.745153216,200,1000,2.018742188
"E1","117",78.214912208,200,1000,2.013005781
"E1","118",78.689778304,200,1000,2.009259688
"E1","119",79.16322576,200,1000,2.002294688
"E1","120",79.636767792,200,1000,1.99211625
"E1","121",80.107377968,200,1000,1.987407344
"E2","1",23.361115936,200,800,0.288821855
"E2","2",23.835414576,200,800,0.290237578
"E2","3",24.309524064,200,800,0.289893008
"E2","4",24.777580688,200,800,0.291352422
"E2","5",25.253392544,200,800,0.292606641
"E2","6",25.726083392,200,800,0.293335078
"E2","7",26.200382032,200,800,0.295515059
"E2","8",26.67401864,200,800,0.295264336
"E2","9",27.146614912,200,800,0.297535176
"E2","10",27.620440672,200,800,0.297044883
"E2","11",28.091902032,200,800,0.299085566
"E2","12",28.565349488,200,800,0.2999175
"E2","13",29.038607792,200,800,0.301154238
"E2","14",29.508839664,200,800,0.302822285
"E2","15",29.978787808,200,800,0.304973711
"E2","16",30.456302032,200,800,0.306975918
"E2","17",30.930033216,200,800,0.307386934
"E2","18",31.404521008,200,800,0.30988582
"E2","19",31.871821024,200,800,0.312493105
"E2","20",32.345930512,200,800,0.314979043
"E2","21",32.823539312,200,800,0.317013887
"E2","22",33.287150864,200,800,0.320865664
"E2","23",33.770717952,200,800,0.323625312
"E2","24",34.239436608,200,800,0.327002461
"E2","25",34.70966848,200,800,0.331300195
"E2","26",35.183777968,200,800,0.335380859
"E2","27",35.656657968,200,800,0.340474102
"E2","28",36.12972712,200,800,0.344884688
"E2","29",36.604404064,200,800,0.347467383
"E2","30",37.07643288,200,800,0.354242148
"E2","31",37.549974912,200,800,0.36018793
"E2","32",38.020017632,200,800,0.366919531
"E2","33",38.493843392,200,800,0.373501914
"E2","34",38.967574576,200,800,0.38113293
"E2","35",39.439225088,200,800,0.389953164
"E2","36",39.913523728,200,800,0.398021133
"E2","37",40.386782032,200,800,0.408657773
"E2","38",40.859283728,200,800,0.418636836
"E2","39",41.333109488,200,800,0.430025781
"E2","40",41.802963056,200,800,0.441403867
