"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.365844736,200,1000,0.224105781
"A1","2",23.83200984,200,1000,0.226396113
"A1","3",24.311793888,200,1000,0.228078262
"A1","4",24.78108,200,1000,0.22983875
"A1","5",25.250366112,200,1000,0.231625547
"A1","6",25.725515936,200,1000,0.233402598
"A1","7",26.202273552,200,1000,0.235612324
"A1","8",26.674207792,200,1000,0.237532637
"A1","9",27.147560672,200,1000,0.239807988
"A1","10",27.620535248,200,1000,0.24192498
"A1","11",28.0888756,200,1000,0.24369707
"A1","12",28.562323056,200,1000,0.245593848
"A1","13",29.035959664,200,1000,0.24815748
"A1","14",29.510731184,200,1000,0.251045312
"A1","15",29.979638992,200,1000,0.253367695
"A1","16",30.455829152,200,1000,0.255833438
"A1","17",30.927290512,200,1000,0.258900332
"A1","18",31.404993888,200,1000,0.26156332
"A1","19",31.878914224,200,1000,0.264438398
"A1","20",32.339499344,200,1000,0.268334062
"A1","21",32.81909424,200,1000,0.272133125
"A1","22",33.28866408,200,1000,0.275795215
"A1","23",33.745182432,200,1000,0.28066209
"A1","24",34.238017968,200,1000,0.285030723
"A1","25",34.712694912,200,1000,0.290273809
"A1","26",35.183115936,200,1000,0.296155449
"A1","27",35.656563392,200,1000,0.302574453
"A1","28",36.130578304,200,1000,0.30947248
"A1","29",36.60213424,200,1000,0.317571621
"A1","30",37.076338304,200,1000,0.326133203
"A1","31",37.549407456,200,1000,0.335678711
"A1","32",38.01982848,200,1000,0.346830703
"A1","33",38.492424752,200,1000,0.358685898
"A1","34",38.966817968,200,1000,0.371746836
"A1","35",39.43988712,200,1000,0.387082852
"A1","36",39.914280336,200,1000,0.405470664
"A1","37",40.385457968,200,1000,0.424552969
"A1","38",40.858148816,200,1000,0.446946719
"A1","39",41.333204064,200,1000,0.471465977
"A1","40",41.80428712,200,1000,0.500478164
"A1","41",42.277734576,200,1000,0.532208711
"A1","42",42.749668816,200,1000,0.567753672
"A1","43",43.224724064,200,1000,0.608375586
"A1","44",43.695050512,200,1000,0.652135
"A1","45",44.16821424,200,1000,0.702878906
"A1","46",44.642418304,200,1000,0.755752266
"A1","47",45.11444712,200,1000,0.816598047
"A1","48",45.587989152,200,1000,0.884034297
"A1","49",46.060585424,200,1000,0.953896484
"A1","50",46.532708816,200,1000,1.031101172
"A1","51",47.00927728,200,1000,1.114028281
"A1","52",47.480549488,200,1000,1.199284766
"A1","53",47.950592208,200,1000,1.287966484
"A1","54",48.425931184,200,1000,1.38218875
"A1","55",48.897865424,200,1000,1.47860625
"A1","56",49.368570176,200,1000,1.576465312
"A1","57",49.84277424,200,1000,1.674310156
"A1","58",50.318207792,200,1000,1.774349219
"A1","59",50.788723392,200,1000,1.869805469
"A1","60",51.263022032,200,1000,1.960338906
"A1","61",51.733632208,200,1000,2.048822656
"A1","62",52.205944752,200,1000,2.131948906
"A1","63",52.679392208,200,1000,2.214559062
"A1","64",53.153028816,200,1000,2.287807344
