"Well","Reading","Temperature","A","B","Emission"
"E1","1",23.365844736,200,1000,0.373072812
"E1","2",23.83200984,200,1000,0.377049531
"E1","3",24.311793888,200,1000,0.3808375
"E1","4",24.78108,200,1000,0.385242266
"E1","5",25.250366112,200,1000,0.389889023
"E1","6",25.725515936,200,1000,0.394061133
"E1","7",26.202273552,200,1000,0.398139219
"E1","8",26.674207792,200,1000,0.402431289
"E1","9",27.147560672,200,1000,0.407040859
"E1","10",27.620535248,200,1000,0.411000664
"E1","11",28.0888756,200,1000,0.415166133
"E1","12",28.562323056,200,1000,0.418643281
"E1","13",29.035959664,200,1000,0.423050117
"E1","14",29.510731184,200,1000,0.426436562
"E1","15",29.979638992,200,1000,0.43113457
"E1","16",30.455829152,200,1000,0.434673281
"E1","17",30.927290512,200,1000,0.439938203
"E1","18",31.404993888,200,1000,0.44228625
"E1","19",31.878914224,200,1000,0.447423281
"E1","20",32.339499344,200,1000,0.452671484
"E1","21",32.81909424,200,1000,0.457259102
"E1","22",33.28866408,200,1000,0.462127188
"E1","23",33.745182432,200,1000,0.465880312
"E1","24",34.238017968,200,1000,0.470694844
"E1","25",34.712694912,200,1000,0.475964844
"E1","26",35.183115936,200,1000,0.481251641
"E1","27",35.656563392,200,1000,0.485985547
"E1","28",36.130578304,200,1000,0.491481875
"E1","29",36.60213424,200,1000,0.496893164
"E1","30",37.076338304,200,1000,0.501699297
"E1","31",37.549407456,200,1000,0.50602875
"E1","32",38.01982848,200,1000,0.511690352
"E1","33",38.492424752,200,1000,0.515817344
"E1","34",38.966817968,200,1000,0.520014023
"E1","35",39.43988712,200,1000,0.52482207
"E1","36",39.914280336,200,1000,0.529493477
"E1","37",40.385457968,200,1000,0.53327043
"E1","38",40.858148816,200,1000,0.537726562
"E1","39",41.333204064,200,1000,0.540338047
"E1","40",41.80428712,200,1000,0.544868633
"E1","41",42.277734576,200,1000,0.548016875
"E1","42",42.749668816,200,1000,0.552064375
"E1","43",43.224724064,200,1000,0.556704062
"E1","44",43.695050512,200,1000,0.559654336
"E1","45",44.16821424,200,1000,0.562861484
"E1","46",44.642418304,200,1000,0.56660543
"E1","47",45.11444712,200,1000,0.57152543
"E1","48",45.587989152,200,1000,0.575860391
"E1","49",46.060585424,200,1000,0.580139727
"E1","50",46.532708816,200,1000,0.5858475
"E1","51",47.00927728,200,1000,0.593735039
"E1","52",47.480549488,200,1000,0.600442617
"E1","53",47.950592208,200,1000,0.608332188
"E1","54",48.425931184,200,1000,0.620232383
"E1","55",48.897865424,200,1000,0.631771836
"E1","56",49.368570176,200,1000,0.644012852
"E1","57",49.84277424,200,1000,0.660460078
"E1","58",50.318207792,200,1000,0.677414688
"E1","59",50.788723392,200,1000,0.699007109
"E1","60",51.263022032,200,1000,0.721089844
"E1","61",51.733632208,200,1000,0.746266641
"E1","62",52.205944752,200,1000,0.775379141
"E1","63",52.679392208,200,1000,0.807754766
"E1","64",53.153028816,200,1000,0.8453375
"E1","65",53.627138304,200,1000,0.883653047
"E1","66",54.098410512,200,1000,0.930507656
"E1","67",54.572236272,200,1000,0.979863047
"E1","68",55.046156608,200,1000,1.032471953
"E1","69",55.518469152,200,1000,1.090855391
"E1","70",55.988984752,200,1000,1.154662266
"E1","71",56.46498576,200,1000,1.21497875
"E1","72",56.937109152,200,1000,1.282675547
"E1","73",57.409989152,200,1000,1.352493906
"E1","74",57.881923392,200,1000,1.417018438
"E1","75",58.355749152,200,1000,1.492390312
"E1","76",58.827777968,200,1000,1.563672188
"E1","77",59.302360336,200,1000,1.636429219
"E1","78",59.7742,200,1000,1.701096562
"E1","79",60.247458304,200,1000,1.764420469
"E1","80",60.719581696,200,1000,1.829110938
"E1","81",61.192272544,200,1000,1.888214688
"E1","82",61.665625424,200,1000,1.941969688
"E1","83",62.138694576,200,1000,1.996329688
"E1","84",62.61053424,200,1000,2.042124688
"E1","85",63.085022032,200,1000,2.084499531
"E1","86",63.558091184,200,1000,2.11805875
"E1","87",64.029836272,200,1000,2.154794375
"E1","88",64.502337968,200,1000,2.190422344
"E1","89",64.977204064,200,1000,2.208032031
"E1","90",65.448570848,200,1000,2.233906719
"E1","91",65.922302032,200,1000,2.243904531
"E1","92",66.394803728,200,1000,2.258881719
"E1","93",66.866359664,200,1000,2.272644062
"E1","94",67.340563728,200,1000,2.280564844
"E1","95",67.813822032,200,1000,2.278999531
"E1","96",68.285945424,200,1000,2.278375312
"E1","97",68.758541696,200,1000,2.267814375
"E1","98",69.231894576,200,1000,2.26736125
"E1","99",69.70562576,200,1000,2.273062344
"E1","100",70.177938304,200,1000,2.263998438
"E1","101",70.650534576,200,1000,2.269367344
"E1","102",71.122941696,200,1000,2.258749062
"E1","103",71.596294576,200,1000,2.266596719
"E1","104",72.071160672,200,1000,2.260355312
"E1","105",72.541203392,200,1000,2.2495775
"E1","106",73.015029152,200,1000,2.238353281
"E1","107",73.487909152,200,1000,2.236377031
"E1","108",73.959559664,200,1000,2.226187344
"E1","109",74.431399328,200,1000,2.217473438
"E1","110",74.905603392,200,1000,2.213968906
"E1","111",75.378956272,200,1000,2.206623125
"E1","112",75.851363392,200,1000,2.198119531
"E1","113",76.324716272,200,1000,2.192060469
"E1","114",76.79693424,200,1000,2.192761875
"E1","115",77.270192544,200,1000,2.18141875
"E1","116",77.74411288,200,1000,2.178629844
"E1","117",78.21652,200,1000,2.174757969
"E1","118",78.689116272,200,1000,2.154557969
"E1","119",79.161050512,200,1000,2.148327656
"E1","120",79.634308816,200,1000,2.140859844
"E1","121",80.108702032,200,1000,2.140573906
"E2","1",23.365844736,200,800,0.397420273
"E2","2",23.83200984,200,800,0.401557227
"E2","3",24.311793888,200,800,0.406203906
"E2","4",24.78108,200,800,0.409520977
"E2","5",25.250366112,200,800,0.413431445
"E2","6",25.725515936,200,800,0.420224766
"E2","7",26.202273552,200,800,0.424705391
"E2","8",26.674207792,200,800,0.427481445
"E2","9",27.147560672,200,800,0.431597969
"E2","10",27.620535248,200,800,0.43608457
"E2","11",28.0888756,200,800,0.438216445
"E2","12",28.562323056,200,800,0.444677656
"E2","13",29.035959664,200,800,0.446538438
