"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.355914256,200,1000,0.311231504
"A1","2",23.833806784,200,1000,0.314842539
"A1","3",24.308294576,200,1000,0.317846582
"A1","4",24.78722744,200,1000,0.32115123
"A1","5",25.25443288,200,1000,0.324904863
"A1","6",25.72684,200,1000,0.32918082
"A1","7",26.200949488,200,1000,0.333196758
"A1","8",26.671465088,200,1000,0.336470391
"A1","9",27.145669152,200,1000,0.340055117
"A1","10",27.617697968,200,1000,0.342841055
"A1","11",28.09029424,200,1000,0.346164492
"A1","12",28.560904416,200,1000,0.350108828
"A1","13",29.036432544,200,1000,0.353046133
"A1","14",29.511109488,200,1000,0.356233828
"A1","15",29.980490176,200,1000,0.359850156
"A1","16",30.45469424,200,1000,0.363383711
"A1","17",30.928898304,200,1000,0.367170078
"A1","18",31.403386096,200,1000,0.370271406
"A1","19",31.876360672,200,1000,0.373940352
"A1","20",32.353118288,200,1000,0.37765918
"A1","21",32.826849472,200,1000,0.381122969
"A1","22",33.29481152,200,1000,0.383833008
"A1","23",33.76674576,200,1000,0.388443359
"A1","24",34.237166784,200,1000,0.391568438
"A1","25",34.717139984,200,1000,0.39625293
"A1","26",35.186426096,200,1000,0.39996
"A1","27",35.65637424,200,1000,0.404371602
"A1","28",36.132186096,200,1000,0.409004297
"A1","29",36.603647456,200,1000,0.414144102
"A1","30",37.075108816,200,1000,0.419123828
"A1","31",37.549974912,200,1000,0.42477207
"A1","32",38.023327792,200,1000,0.431314492
"A1","33",38.495829488,200,1000,0.438176562
"A1","34",38.96700712,200,1000,0.445823633
"A1","35",39.438184752,200,1000,0.453555625
"A1","36",39.913334576,200,1000,0.462515625
"A1","37",40.387254912,200,1000,0.4725525
"A1","38",40.859094576,200,1000,0.484885352
"A1","39",41.331974576,200,1000,0.498735391
"A1","40",41.80570576,200,1000,0.512573516
"A1","41",42.278680336,200,1000,0.530007422
"A1","42",42.7481556,200,1000,0.548516406
"A1","43",43.224913216,200,1000,0.569926797
"A1","44",43.695996272,200,1000,0.593620781
"A1","45",44.169916608,200,1000,0.620965664
"A1","46",44.640999664,200,1000,0.651266836
"A1","47",45.114825424,200,1000,0.68479125
