"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.3600756,200,1000,0.210835508
"A1","2",23.838251856,200,1000,0.212450762
"A1","3",24.312739648,200,1000,0.213596055
"A1","4",24.787038288,200,1000,0.215716035
"A1","5",25.254716608,200,1000,0.217449531
"A1","6",25.725137632,200,1000,0.219575742
"A1","7",26.196031536,200,1000,0.221128984
"A1","8",26.670803056,200,1000,0.222733828
"A1","9",27.144723392,200,1000,0.224574629
"A1","10",27.617130512,200,1000,0.225874609
"A1","11",28.092091184,200,1000,0.227233262
"A1","12",28.566200672,200,1000,0.22884332
"A1","13",29.037094576,200,1000,0.230352559
"A1","14",29.50940712,200,1000,0.2317125
"A1","15",29.978220352,200,1000,0.233426934
"A1","16",30.455072544,200,1000,0.23495498
"A1","17",30.927668816,200,1000,0.236489961
"A1","18",31.397995264,200,1000,0.238213496
"A1","19",31.87238848,200,1000,0.23989834
"A1","20",32.343755264,200,1000,0.241280449
"A1","21",32.821364064,200,1000,0.243513516
"A1","22",33.292636272,200,1000,0.245487695
"A1","23",33.761354928,200,1000,0.247434531
"A1","24",34.240949824,200,1000,0.24926125
"A1","25",34.710803392,200,1000,0.25129457
"A1","26",35.184156272,200,1000,0.253195371
"A1","27",35.658076608,200,1000,0.2552525
"A1","28",36.128970512,200,1000,0.257352676
"A1","29",36.602701696,200,1000,0.259355625
"A1","30",37.076527456,200,1000,0.261757344
"A1","31",37.547988816,200,1000,0.264367227
"A1","32",38.019923056,200,1000,0.26771209
"A1","33",38.494978304,200,1000,0.270391699
"A1","34",38.96842576,200,1000,0.273377539
"A1","35",39.441684064,200,1000,0.276950391
"A1","36",39.912956272,200,1000,0.280839238
"A1","37",40.38564712,200,1000,0.285422031
"A1","38",40.859189152,200,1000,0.290237734
"A1","39",41.328664416,200,1000,0.295523398
"A1","40",41.804476272,200,1000,0.301531348
"A1","41",42.279720672,200,1000,0.307875879
"A1","42",42.748723056,200,1000,0.315599141
"A1","43",43.223967456,200,1000,0.324948105
"A1","44",43.696090848,200,1000,0.333952188
"A1","45",44.167079328,200,1000,0.34505
"A1","46",44.641850848,200,1000,0.357561562
"A1","47",45.115109152,200,1000,0.372598242
"A1","48",45.58827288,200,1000,0.387918867
"A1","49",46.05973424,200,1000,0.406148945
"A1","50",46.53261424,200,1000,0.426880156
"A1","51",47.004926784,200,1000,0.449660234
"A1","52",47.480833216,200,1000,0.475108984
"A1","53",47.95314576,200,1000,0.502348867
"A1","54",48.424701696,200,1000,0.533488906
"A1","55",48.897392544,200,1000,0.565623477
"A1","56",49.369326784,200,1000,0.602702852
"A1","57",49.842963392,200,1000,0.640235156
"A1","58",50.315086784,200,1000,0.681198438
"A1","59",50.789385424,200,1000,0.723949453
"A1","60",51.26141424,200,1000,0.767825938
"A1","61",51.736374912,200,1000,0.813160078
"A1","62",52.207268816,200,1000,0.858496484
"A1","63",52.681567456,200,1000,0.904276875
"A1","64",53.153501696,200,1000,0.948794141
"A1","65",53.62628712,200,1000,0.994323203
"A1","66",54.097653904,200,1000,1.0384025
"A1","67",54.572898304,200,1000,1.078719141
"A1","68",55.044548816,200,1000,1.121098281
"A1","69",55.518469152,200,1000,1.157196953
"A1","70",55.988417296,200,1000,1.193966406
"A1","71",56.46356712,200,1000,1.229715391
"A1","72",56.938149488,200,1000,1.256773438
"A1","73",57.407530176,200,1000,1.286678828
"A1","74",57.882585424,200,1000,1.308447188
"A1","75",58.356222032,200,1000,1.335592812
"A1","76",58.828250848,200,1000,1.355693906
"A1","77",59.301982032,200,1000,1.373731562
"A1","78",59.773537968,200,1000,1.389689531
"A1","79",60.247458304,200,1000,1.4056875
"A1","80",60.718825088,200,1000,1.418852969
"A1","81",61.191515936,200,1000,1.431597812
"A1","82",61.666382032,200,1000,1.441869375
"A1","83",62.137559664,200,1000,1.45091125
"A1","84",62.612047456,200,1000,1.452233438
"A1","85",63.084170848,200,1000,1.459983594
"A1","86",63.556010512,200,1000,1.463986562
"A1","87",64.029836272,200,1000,1.467729375
"A1","88",64.501770512,200,1000,1.472144844
"A1","89",64.976542032,200,1000,1.474681562
"A1","90",65.44828712,200,1000,1.480593281
"A1","91",65.92305864,200,1000,1.484074688
"A1","92",66.394803728,200,1000,1.486723438
"A1","93",66.8674,200,1000,1.491159219
"A1","94",67.340185424,200,1000,1.4938125
"A1","95",67.812876272,200,1000,1.495431406
"A1","96",68.286796608,200,1000,1.498371875
"A1","97",68.760054912,200,1000,1.502104375
"A1","98",69.231989152,200,1000,1.503164062
"A1","99",69.705436608,200,1000,1.505557188
"A1","100",70.178222032,200,1000,1.510786562
"A1","101",70.650345424,200,1000,1.509442188
"A1","102",71.121239328,200,1000,1.511385156
"A1","103",71.595348816,200,1000,1.509676562
"A1","104",72.069931184,200,1000,1.512273125
"A1","105",72.540352208,200,1000,1.513670156
"A1","106",73.014272544,200,1000,1.518187812
"A1","107",73.489422368,200,1000,1.519092344
"A1","108",73.959843392,200,1000,1.517497656
"A1","109",74.433101696,200,1000,1.519074844
"A1","110",74.90588712,200,1000,1.519830781
"A1","111",75.379523728,200,1000,1.520532969
"A1","112",75.85259288,200,1000,1.518703906
"A1","113",76.324148816,200,1000,1.516891719
"A1","114",76.79693424,200,1000,1.5178325
"A1","115",77.270476272,200,1000,1.516382344
"A1","116",77.744018304,200,1000,1.514980625
"A1","117",78.216330848,200,1000,1.513537969
"A1","118",78.689589152,200,1000,1.511923906
"A1","119",79.161050512,200,1000,1.512324219
"A1","120",79.636200336,200,1000,1.510368281
"A1","121",80.106810512,200,1000,1.511603594
"A2","1",23.3600756,200,800,0.265189395
"A2","2",23.838251856,200,800,0.267638984
"A2","3",24.312739648,200,800,0.269735684
"A2","4",24.787038288,200,800,0.271819766
"A2","5",25.254716608,200,800,0.27394582
"A2","6",25.725137632,200,800,0.27595291
"A2","7",26.196031536,200,800,0.277922793
"A2","8",26.670803056,200,800,0.279770762
"A2","9",27.144723392,200,800,0.281669746
"A2","10",27.617130512,200,800,0.283308047
"A2","11",28.092091184,200,800,0.285152734
"A2","12",28.566200672,200,800,0.286434141
"A2","13",29.037094576,200,800,0.288238672
"A2","14",29.50940712,200,800,0.289980508
"A2","15",29.978220352,200,800,0.29170916
"A2","16",30.455072544,200,800,0.293490234
"A2","17",30.927668816,200,800,0.295333926
"A2","18",31.397995264,200,800,0.296990527
"A2","19",31.87238848,200,800,0.298767988
"A2","20",32.343755264,200,800,0.300554004
"A2","21",32.821364064,200,800,0.302511543
"A2","22",33.292636272,200,800,0.304275332
"A2","23",33.761354928,200,800,0.30631373
"A2","24",34.240949824,200,800,0.30832207
"A2","25",34.710803392,200,800,0.310941738
"A2","26",35.184156272,200,800,0.313393398
"A2","27",35.658076608,200,800,0.315987148
"A2","28",36.128970512,200,800,0.318542812
"A2","29",36.602701696,200,800,0.321297266
"A2","30",37.076527456,200,800,0.324109453
"A2","31",37.547988816,200,800,0.32711875
"A2","32",38.019923056,200,800,0.330715664
"A2","33",38.494978304,200,800,0.33412918
"A2","34",38.96842576,200,800,0.337956055
"A2","35",39.441684064,200,800,0.342700898
"A2","36",39.912956272,200,800,0.347800664
"A2","37",40.38564712,200,800,0.353244609
"A2","38",40.859189152,200,800,0.359622383
"A2","39",41.328664416,200,800,0.36662293
"A2","40",41.804476272,200,800,0.374563828
"A2","41",42.279720672,200,800,0.383239102
"A2","42",42.748723056,200,800,0.392948164
"A2","43",43.223967456,200,800,0.404419297
"A2","44",43.696090848,200,800,0.416517227
"A2","45",44.167079328,200,800,0.430653438
"A2","46",44.641850848,200,800,0.446561211
"A2","47",45.115109152,200,800,0.464965312
"A2","48",45.58827288,200,800,0.485558281
"A2","49",46.05973424,200,800,0.50820582
"A2","50",46.53261424,200,800,0.53448625
"A2","51",47.004926784,200,800,0.562745156
"A2","52",47.480833216,200,800,0.5929775
"A2","53",47.95314576,200,800,0.626904961
"A2","54",48.424701696,200,800,0.663925547
