"Well","Reading","Temperature","A","B","Emission"
"E1","1",23.3600756,200,1000,0.467040312
"E1","2",23.838251856,200,1000,0.46984793
"E1","3",24.312739648,200,1000,0.474119062
"E1","4",24.787038288,200,1000,0.478057305
"E1","5",25.254716608,200,1000,0.482494961
"E1","6",25.725137632,200,1000,0.487278359
"E1","7",26.196031536,200,1000,0.493538906
"E1","8",26.670803056,200,1000,0.498823555
"E1","9",27.144723392,200,1000,0.50483793
"E1","10",27.617130512,200,1000,0.511925352
"E1","11",28.092091184,200,1000,0.517178711
"E1","12",28.566200672,200,1000,0.523366406
"E1","13",29.037094576,200,1000,0.529991484
"E1","14",29.50940712,200,1000,0.536994766
"E1","15",29.978220352,200,1000,0.543599219
"E1","16",30.455072544,200,1000,0.551850469
"E1","17",30.927668816,200,1000,0.558256602
"E1","18",31.397995264,200,1000,0.565226172
"E1","19",31.87238848,200,1000,0.57267918
"E1","20",32.343755264,200,1000,0.579662344
"E1","21",32.821364064,200,1000,0.588203125
"E1","22",33.292636272,200,1000,0.595775156
"E1","23",33.761354928,200,1000,0.603274805
"E1","24",34.240949824,200,1000,0.610856641
"E1","25",34.710803392,200,1000,0.618286953
"E1","26",35.184156272,200,1000,0.626435234
"E1","27",35.658076608,200,1000,0.633933438
"E1","28",36.128970512,200,1000,0.640389414
"E1","29",36.602701696,200,1000,0.64790832
"E1","30",37.076527456,200,1000,0.655004961
"E1","31",37.547988816,200,1000,0.662701797
"E1","32",38.019923056,200,1000,0.670930547
"E1","33",38.494978304,200,1000,0.678806328
"E1","34",38.96842576,200,1000,0.687116797
"E1","35",39.441684064,200,1000,0.695597891
"E1","36",39.912956272,200,1000,0.705871562
"E1","37",40.38564712,200,1000,0.716092188
"E1","38",40.859189152,200,1000,0.724804844
"E1","39",41.328664416,200,1000,0.737216484
"E1","40",41.804476272,200,1000,0.748843281
"E1","41",42.279720672,200,1000,0.761782031
"E1","42",42.748723056,200,1000,0.776365391
"E1","43",43.223967456,200,1000,0.792673281
"E1","44",43.696090848,200,1000,0.809408906
"E1","45",44.167079328,200,1000,0.829465469
"E1","46",44.641850848,200,1000,0.849836641
"E1","47",45.115109152,200,1000,0.874964531
"E1","48",45.58827288,200,1000,0.903005078
"E1","49",46.05973424,200,1000,0.931455547
"E1","50",46.53261424,200,1000,0.965829766
"E1","51",47.004926784,200,1000,1.003662422
"E1","52",47.480833216,200,1000,1.046744766
"E1","53",47.95314576,200,1000,1.092523672
"E1","54",48.424701696,200,1000,1.140583359
"E1","55",48.897392544,200,1000,1.195142891
"E1","56",49.369326784,200,1000,1.251900938
"E1","57",49.842963392,200,1000,1.313454688
"E1","58",50.315086784,200,1000,1.380251094
"E1","59",50.789385424,200,1000,1.448457031
"E1","60",51.26141424,200,1000,1.5175675
"E1","61",51.736374912,200,1000,1.593142031
"E1","62",52.207268816,200,1000,1.663634688
"E1","63",52.681567456,200,1000,1.738864375
"E1","64",53.153501696,200,1000,1.806535781
"E1","65",53.62628712,200,1000,1.880562812
"E1","66",54.097653904,200,1000,1.941136562
"E1","67",54.572898304,200,1000,2.004331875
"E1","68",55.044548816,200,1000,2.0615425
"E1","69",55.518469152,200,1000,2.118831875
"E1","70",55.988417296,200,1000,2.171924531
"E1","71",56.46356712,200,1000,2.213485469
