"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.36338576,200,1000,0.141439766
"A1","2",23.83342848,200,1000,0.141967676
"A1","3",24.308010848,200,1000,0.142399492
"A1","4",24.779945088,200,1000,0.142790205
"A1","5",25.253770848,200,1000,0.142441494
"A1","6",25.724853904,200,1000,0.143373379
"A1","7",26.19688272,200,1000,0.143360049
"A1","8",26.671559664,200,1000,0.143728926
"A1","9",27.142926448,200,1000,0.14410043
"A1","10",27.61694136,200,1000,0.144450654
"A1","11",28.093320672,200,1000,0.144815195
"A1","12",28.565254912,200,1000,0.144907686
"A1","13",29.036716272,200,1000,0.145379766
"A1","14",29.510731184,200,1000,0.145619697
"A1","15",29.98417864,200,1000,0.145974766
"A1","16",30.457436944,200,1000,0.146510215
"A1","17",30.930222368,200,1000,0.146878203
"A1","18",31.402440336,200,1000,0.147143418
"A1","19",31.876928128,200,1000,0.147773145
"A1","20",32.346592544,200,1000,0.148337676
"A1","21",32.821364064,200,1000,0.14869708
"A1","22",33.291123056,200,1000,0.149277412
"A1","23",33.765043392,200,1000,0.149912588
"A1","24",34.238963728,200,1000,0.150350137
"A1","25",34.71203288,200,1000,0.151117686
"A1","26",35.184250848,200,1000,0.152075332
"A1","27",35.656563392,200,1000,0.152374932
"A1","28",36.131807792,200,1000,0.153303145
"A1","29",36.603363728,200,1000,0.154114414
"A1","30",37.07501424,200,1000,0.155194619
"A1","31",37.549880336,200,1000,0.156127441
"A1","32",38.018126112,200,1000,0.157288457
"A1","33",38.49318136,200,1000,0.158113477
"A1","34",38.967101696,200,1000,0.15937582
"A1","35",39.43941424,200,1000,0.161291846
"A1","36",39.912672544,200,1000,0.162615547
"A1","37",40.386876608,200,1000,0.164200352
"A1","38",40.859,200,1000,0.166009219
"A1","39",41.332447456,200,1000,0.167930215
"A1","40",41.804192544,200,1000,0.169988379
"A1","41",42.275937632,200,1000,0.172431348
"A1","42",42.75052,200,1000,0.17472918
"A1","43",43.224156608,200,1000,0.177235898
"A1","44",43.696563728,200,1000,0.180545996
"A1","45",44.170389488,200,1000,0.183708867
"A1","46",44.640905088,200,1000,0.187054512
"A1","47",45.113595936,200,1000,0.191121055
"A1","48",45.588462032,200,1000,0.195824531
"A1","49",46.058410176,200,1000,0.200652207
"A1","50",46.5311956,200,1000,0.206261133
"A1","51",47.003791872,200,1000,0.212421738
"A1","52",47.47884712,200,1000,0.219147422
"A1","53",47.952578304,200,1000,0.226674062
"A1","54",48.423472208,200,1000,0.235057676
"A1","55",48.897581696,200,1000,0.244931797
"A1","56",49.37036712,200,1000,0.255832109
"A1","57",49.841261024,200,1000,0.268043984
"A1","58",50.31754576,200,1000,0.281917773
"A1","59",50.787493904,200,1000,0.297508516
"A1","60",51.262549152,200,1000,0.315102051
"A1","61",51.735523728,200,1000,0.334795586
"A1","62",52.210389824,200,1000,0.356723945
"A1","63",52.68005424,200,1000,0.381147383
"A1","64",53.153028816,200,1000,0.408726953
"A1","65",53.627422032,200,1000,0.439295508
"A1","66",54.098883392,200,1000,0.472953672
"A1","67",54.570723056,200,1000,0.509330664
