"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.358467808,200,1000,0.256334355
"A1","2",23.8329556,200,1000,0.258837285
"A1","3",24.309524064,200,1000,0.260716289
"A1","4",24.782687792,200,1000,0.262895391
"A1","5",25.254149152,200,1000,0.265348828
"A1","6",25.724286448,200,1000,0.268083164
"A1","7",26.201516944,200,1000,0.271555703
"A1","8",26.672221696,200,1000,0.27514832
"A1","9",27.145196272,200,1000,0.278140898
"A1","10",27.616184752,200,1000,0.281975938
"A1","11",28.09313152,200,1000,0.286886074
"A1","12",28.57074032,200,1000,0.291488262
"A1","13",29.034824752,200,1000,0.296599336
"A1","14",29.507799328,200,1000,0.302396074
"A1","15",29.98323288,200,1000,0.30912793
"A1","16",30.451289504,200,1000,0.31666082
"A1","17",30.9356132,200,1000,0.324937871
"A1","18",31.39761696,200,1000,0.333944648
"A1","19",31.875793216,200,1000,0.343911094
"A1","20",32.351037616,200,1000,0.354839805
"A1","21",32.82193152,200,1000,0.367486758
"A1","22",33.298783712,200,1000,0.380561641
"A1","23",33.764003056,200,1000,0.396600977
"A1","24",34.239531184,200,1000,0.412668164
"A1","25",34.712411184,200,1000,0.431795078
"A1","26",35.182170176,200,1000,0.452255781
"A1","27",35.656563392,200,1000,0.47493082
"A1","28",36.13161864,200,1000,0.500983867
"A1","29",36.60355288,200,1000,0.530090625
"A1","30",37.075581696,200,1000,0.560375
"A1","31",37.548272544,200,1000,0.594250664
"A1","32",38.022571184,200,1000,0.633258906
"A1","33",38.493843392,200,1000,0.675299141
"A1","34",38.96700712,200,1000,0.720437109
"A1","35",39.43941424,200,1000,0.769286797
"A1","36",39.911537632,200,1000,0.822556172
"A1","37",40.386309152,200,1000,0.881471016
"A1","38",40.859,200,1000,0.942475156
"A1","39",41.331501696,200,1000,1.008535781
"A1","40",41.804097968,200,1000,1.079255234
"A1","41",42.277923728,200,1000,1.151396094
"A1","42",42.751182032,200,1000,1.231187188
"A1","43",43.221886784,200,1000,1.31172375
"A1","44",43.69486136,200,1000,1.391282812
"A1","45",44.169538304,200,1000,1.477223125
"A1","46",44.641188816,200,1000,1.561263594
"A1","47",45.114352544,200,1000,1.651245312
"A1","48",45.589029488,200,1000,1.738488594
"A1","49",46.060585424,200,1000,1.824436406
"A1","50",46.533938304,200,1000,1.911460312
"A1","51",47.006250848,200,1000,1.996091406
"A1","52",47.47742848,200,1000,2.07677
"A1","53",47.952483728,200,1000,2.148797969
"A1","54",48.426309488,200,1000,2.223203594
"A1","55",48.899567792,200,1000,2.2918175
"A1","56",49.372353216,200,1000,2.353158438
"A1","57",49.845044064,200,1000,2.413704375
"A1","58",50.317829488,200,1000,2.466933125
"A1","59",50.789669152,200,1000,2.5161325
"A1","60",51.263211184,200,1000,2.561723906
"A1","61",51.734010512,200,1000,2.59902
"A1","62",52.208687456,200,1000,2.628479688
"A1","63",52.679770512,200,1000,2.66229375
