"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.358467808,200,1000,0.151137979
"D1","2",23.8329556,200,1000,0.150530225
"D1","3",24.309524064,200,1000,0.14978748
"D1","4",24.782687792,200,1000,0.149605127
"D1","5",25.254149152,200,1000,0.149705332
"D1","6",25.724286448,200,1000,0.148813643
"D1","7",26.201516944,200,1000,0.149139727
"D1","8",26.672221696,200,1000,0.149479697
"D1","9",27.145196272,200,1000,0.148866602
"D1","10",27.616184752,200,1000,0.148535303
"D1","11",28.09313152,200,1000,0.149098926
"D1","12",28.57074032,200,1000,0.148873857
"D1","13",29.034824752,200,1000,0.149024473
"D1","14",29.507799328,200,1000,0.148807666
"D1","15",29.98323288,200,1000,0.148805684
"D1","16",30.451289504,200,1000,0.149126367
"D1","17",30.9356132,200,1000,0.149505068
"D1","18",31.39761696,200,1000,0.149963457
"D1","19",31.875793216,200,1000,0.150125088
"D1","20",32.351037616,200,1000,0.150461797
"D1","21",32.82193152,200,1000,0.151141895
"D1","22",33.298783712,200,1000,0.151354736
"D1","23",33.764003056,200,1000,0.151483672
"D1","24",34.239531184,200,1000,0.151714961
"D1","25",34.712411184,200,1000,0.152196777
"D1","26",35.182170176,200,1000,0.153103252
"D1","27",35.656563392,200,1000,0.15334959
"D1","28",36.13161864,200,1000,0.154657275
"D1","29",36.60355288,200,1000,0.154897158
"D1","30",37.075581696,200,1000,0.155486328
"D1","31",37.548272544,200,1000,0.15555707
"D1","32",38.022571184,200,1000,0.156357822
"D1","33",38.493843392,200,1000,0.157298164
"D1","34",38.96700712,200,1000,0.158471465
"D1","35",39.43941424,200,1000,0.159385576
"D1","36",39.911537632,200,1000,0.160275908
"D1","37",40.386309152,200,1000,0.161591133
"D1","38",40.859,200,1000,0.161901572
"D1","39",41.331501696,200,1000,0.163176367
"D1","40",41.804097968,200,1000,0.165093848
"D1","41",42.277923728,200,1000,0.165794473
"D1","42",42.751182032,200,1000,0.167568242
"D1","43",43.221886784,200,1000,0.168713672
"D1","44",43.69486136,200,1000,0.170546445
"D1","45",44.169538304,200,1000,0.172885703
"D1","46",44.641188816,200,1000,0.174288867
"D1","47",45.114352544,200,1000,0.177016816
"D1","48",45.589029488,200,1000,0.179986699
"D1","49",46.060585424,200,1000,0.183103398
"D1","50",46.533938304,200,1000,0.187278027
"D1","51",47.006250848,200,1000,0.191506309
"D1","52",47.47742848,200,1000,0.195390723
"D1","53",47.952483728,200,1000,0.200354707
"D1","54",48.426309488,200,1000,0.205858301
"D1","55",48.899567792,200,1000,0.213613398
"D1","56",49.372353216,200,1000,0.220432891
"D1","57",49.845044064,200,1000,0.22929082
"D1","58",50.317829488,200,1000,0.239119023
"D1","59",50.789669152,200,1000,0.249889473
"D1","60",51.263211184,200,1000,0.26216666
"D1","61",51.734010512,200,1000,0.278982734
"D1","62",52.208687456,200,1000,0.293798223
"D1","63",52.679770512,200,1000,0.312672578
"D1","64",53.154542032,200,1000,0.332758906
"D1","65",53.627043728,200,1000,0.35848543
"D1","66",54.100491184,200,1000,0.384157188
"D1","67",54.572141696,200,1000,0.412629141
"D1","68",55.046156608,200,1000,0.445312969
"D1","69",55.517996272,200,1000,0.481535547
"D1","70",55.99163288,200,1000,0.521219727
"D1","71",56.466215248,200,1000,0.561824766
"D1","72",56.93644712,200,1000,0.607412656
"D1","73",57.40932712,200,1000,0.65043082
"D1","74",57.880693904,200,1000,0.701890078
"D1","75",58.35461424,200,1000,0.753318516
"D1","76",58.826832208,200,1000,0.803293203
"D1","77",59.302171184,200,1000,0.857117656
"D1","78",59.774483728,200,1000,0.906832188
"D1","79",60.247458304,200,1000,0.954425547
"D1","80",60.719676272,200,1000,1.006535938
"D1","81",61.192461696,200,1000,1.057257266
"D1","82",61.667044064,200,1000,1.100743594
"D1","83",62.138789152,200,1000,1.142933125
"D1","84",62.612142032,200,1000,1.183988047
"D1","85",63.085022032,200,1000,1.221145781
"D1","86",63.557145424,200,1000,1.25240375
"D1","87",64.029930848,200,1000,1.286602734
"D1","88",64.50158136,200,1000,1.315074688
"D1","89",64.974272208,200,1000,1.340866562
"D1","90",65.449138304,200,1000,1.363820156
"D1","91",65.922302032,200,1000,1.383897969
"D1","92",66.39641152,200,1000,1.393774688
"D1","93",66.867305424,200,1000,1.413987812
"D1","94",67.339428816,200,1000,1.423654688
"D1","95",67.812025088,200,1000,1.426555781
"D1","96",68.285850848,200,1000,1.428463281
"D1","97",68.758636272,200,1000,1.428776875
"D1","98",69.231894576,200,1000,1.425001719
"D1","99",69.705058304,200,1000,1.430104062
"D1","100",70.17566848,200,1000,1.425672812
"D1","101",70.65044,200,1000,1.427804844
"D1","102",71.123130848,200,1000,1.425371562
"D1","103",71.596767456,200,1000,1.428809844
"D1","104",72.069742032,200,1000,1.423793594
"D1","105",72.542338304,200,1000,1.428506562
"D1","106",73.015407456,200,1000,1.422743281
"D1","107",73.487436272,200,1000,1.424427188
"D1","108",73.96012712,200,1000,1.423720625
"D1","109",74.433858304,200,1000,1.421993594
"D1","110",74.905319664,200,1000,1.417666094
"D1","111",75.37876712,200,1000,1.411560781
"D1","112",75.853633216,200,1000,1.41194
"D1","113",76.32405424,200,1000,1.407365156
"D1","114",76.79693424,200,1000,1.406627031
"D1","115",77.271989488,200,1000,1.404431406
"D1","116",77.741937632,200,1000,1.408432656
"D1","117",78.217654912,200,1000,1.39972875
