"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.36244,200,1000,0.138697842
"A1","2",23.83342848,200,1000,0.138304824
"A1","3",24.307916272,200,1000,0.138183525
"A1","4",24.781174576,200,1000,0.138144355
"A1","5",25.254622032,200,1000,0.137767764
"A1","6",25.72684,200,1000,0.137571465
"A1","7",26.199625424,200,1000,0.137372617
"A1","8",26.66834408,200,1000,0.137386143
"A1","9",27.141034928,200,1000,0.137250332
"A1","10",27.617697968,200,1000,0.137737314
"A1","11",28.093226096,200,1000,0.137850059
"A1","12",28.566389824,200,1000,0.138193945
"A1","13",29.037851184,200,1000,0.138468027
"A1","14",29.508177632,200,1000,0.139142822
"A1","15",29.979166112,200,1000,0.139743516
"A1","16",30.456680336,200,1000,0.14069373
"A1","17",30.918305792,200,1000,0.141776885
"A1","18",31.39761696,200,1000,0.142909932
"A1","19",31.868794592,200,1000,0.144058779
"A1","20",32.353402016,200,1000,0.145573125
"A1","21",32.821269488,200,1000,0.147275293
"A1","22",33.293014576,200,1000,0.149118916
"A1","23",33.765989152,200,1000,0.151319424
"A1","24",34.238112544,200,1000,0.154026904
"A1","25",34.71156,200,1000,0.156561094
"A1","26",35.183399664,200,1000,0.159574092
"A1","27",35.658454912,200,1000,0.162813691
"A1","28",36.130389152,200,1000,0.166823906
"A1","29",36.603269152,200,1000,0.171316367
"A1","30",37.076338304,200,1000,0.175995176
"A1","31",37.550164064,200,1000,0.181419531
"A1","32",38.023327792,200,1000,0.187072109
"A1","33",38.495640336,200,1000,0.193350117
"A1","34",38.967196272,200,1000,0.200279883
"A1","35",39.43941424,200,1000,0.207992656
"A1","36",39.911159328,200,1000,0.216293613
"A1","37",40.386025424,200,1000,0.225641641
"A1","38",40.858905424,200,1000,0.235308145
"A1","39",41.33093424,200,1000,0.246024688
"A1","40",41.804949152,200,1000,0.257720625
"A1","41",42.276599664,200,1000,0.269969961
"A1","42",42.748533904,200,1000,0.283100254
"A1","43",43.224440336,200,1000,0.296923672
"A1","44",43.69580712,200,1000,0.311360391
"A1","45",44.169916608,200,1000,0.327020801
"A1","46",44.641756272,200,1000,0.342856055
"A1","47",45.113879664,200,1000,0.360674609
"A1","48",45.5854356,200,1000,0.378457031
"A1","49",46.061342032,200,1000,0.396588789
"A1","50",46.534316608,200,1000,0.416270078
"A1","51",47.005210512,200,1000,0.435440625
"A1","52",47.477617632,200,1000,0.454979023
"A1","53",47.951443392,200,1000,0.476015352
"A1","54",48.42366136,200,1000,0.496488164
"A1","55",48.897865424,200,1000,0.516410195
"A1","56",49.369705088,200,1000,0.536967422
"A1","57",49.841733904,200,1000,0.556790742
"A1","58",50.316789152,200,1000,0.578001719
"A1","59",50.791938976,200,1000,0.59877043
"A1","60",51.260657632,200,1000,0.618529375
"A1","61",51.735334576,200,1000,0.63771832
"A1","62",52.206795936,200,1000,0.656712109
"A1","63",52.68289152,200,1000,0.674543359
"A1","64",53.155109488,200,1000,0.692374219
"A1","65",53.62817864,200,1000,0.709682344
"A1","66",54.09916712,200,1000,0.72739375
"A1","67",54.572330848,200,1000,0.742547188
"A1","68",55.04445424,200,1000,0.756774453
"A1","69",55.518942032,200,1000,0.771537656
"A1","70",55.99163288,200,1000,0.785624609
"A1","71",56.463188816,200,1000,0.799204453
"A1","72",56.937014576,200,1000,0.810815078
"A1","73",57.409705424,200,1000,0.823086797
"A1","74",57.880977632,200,1000,0.832695703
"A1","75",58.35556,200,1000,0.843639062
"A1","76",58.82844,200,1000,0.853006328
"A1","77",59.299712208,200,1000,0.861878984
"A1","78",59.77230848,200,1000,0.870498594
"A1","79",60.24755288,200,1000,0.88069
"A1","80",60.719203392,200,1000,0.886972812
"A1","81",61.192556272,200,1000,0.894725547
"A1","82",61.663923056,200,1000,0.900865938
"A1","83",62.138978304,200,1000,0.907913672
"A1","84",62.61195288,200,1000,0.913380781
"A1","85",63.083130512,200,1000,0.918983125
"A1","86",63.558091184,200,1000,0.918596797
"A1","87",64.03012,200,1000,0.920794609
"A1","88",64.502621696,200,1000,0.924626875
"A1","89",64.976731184,200,1000,0.926303516
"A1","90",65.44876,200,1000,0.930316016
"A1","91",65.92022136,200,1000,0.934598125
"A1","92",66.393290512,200,1000,0.936486719
"A1","93",66.86881864,200,1000,0.940919688
"A1","94",67.340847456,200,1000,0.942823047
"A1","95",67.814011184,200,1000,0.945770469
"A1","96",68.286134576,200,1000,0.949870078
"A1","97",68.757690512,200,1000,0.952569297
"A1","98",69.232178304,200,1000,0.954599375
"A1","99",69.704017968,200,1000,0.958344844
"A1","100",70.177276272,200,1000,0.959718125
"A1","101",70.650250848,200,1000,0.961301875
"A1","102",71.124549488,200,1000,0.963962891
"A1","103",71.596105424,200,1000,0.965671562
"A1","104",72.06813424,200,1000,0.969074297
"A1","105",72.543567792,200,1000,0.970059766
"A1","106",73.014934576,200,1000,0.971610078
"A1","107",73.486963392,200,1000,0.972903906
"A1","108",73.961167456,200,1000,0.975650625
"A1","109",74.434804064,200,1000,0.976168047
"A1","110",74.905981696,200,1000,0.977411797
"A1","111",75.379902032,200,1000,0.978220703
"A1","112",75.85259288,200,1000,0.977711094
"A1","113",76.32547288,200,1000,0.979753672
"A1","114",76.79598848,200,1000,0.979328828
"A1","115",77.269625088,200,1000,0.98081
"A1","116",77.742599664,200,1000,0.980577656
"A1","117",78.216330848,200,1000,0.981384219
"A1","118",78.689683728,200,1000,0.9816075
"A1","119",79.160483056,200,1000,0.980536094
"A1","120",79.634403392,200,1000,0.980601797
"A1","121",80.109364064,200,1000,0.98078
"A2","1",23.36244,200,800,0.168308594
"A2","2",23.83342848,200,800,0.168710312
"A2","3",24.307916272,200,800,0.168534707
"A2","4",24.781174576,200,800,0.168311602
"A2","5",25.254622032,200,800,0.168056582
"A2","6",25.72684,200,800,0.168224297
"A2","7",26.199625424,200,800,0.168294688
"A2","8",26.66834408,200,800,0.16829457
"A2","9",27.141034928,200,800,0.168321113
"A2","10",27.617697968,200,800,0.168520254
"A2","11",28.093226096,200,800,0.168652988
"A2","12",28.566389824,200,800,0.16908082
"A2","13",29.037851184,200,800,0.16946627
"A2","14",29.508177632,200,800,0.170209824
"A2","15",29.979166112,200,800,0.171085723
"A2","16",30.456680336,200,800,0.171997051
"A2","17",30.918305792,200,800,0.173192363
"A2","18",31.39761696,200,800,0.174688887
"A2","19",31.868794592,200,800,0.176450098
"A2","20",32.353402016,200,800,0.17817459
"A2","21",32.821269488,200,800,0.180055508
"A2","22",33.293014576,200,800,0.1823
"A2","23",33.765989152,200,800,0.185123457
"A2","24",34.238112544,200,800,0.188035469
"A2","25",34.71156,200,800,0.191153223
"A2","26",35.183399664,200,800,0.194905664
"A2","27",35.658454912,200,800,0.198915879
"A2","28",36.130389152,200,800,0.203711875
"A2","29",36.603269152,200,800,0.208803555
"A2","30",37.076338304,200,800,0.214513086
"A2","31",37.550164064,200,800,0.22090543
"A2","32",38.023327792,200,800,0.227856426
"A2","33",38.495640336,200,800,0.235235312
"A2","34",38.967196272,200,800,0.243204102
"A2","35",39.43941424,200,800,0.252079238
"A2","36",39.911159328,200,800,0.261593965
"A2","37",40.386025424,200,800,0.271729688
"A2","38",40.858905424,200,800,0.283187852
"A2","39",41.33093424,200,800,0.295187773
"A2","40",41.804949152,200,800,0.308091191
"A2","41",42.276599664,200,800,0.321589746
"A2","42",42.748533904,200,800,0.336264844
"A2","43",43.224440336,200,800,0.352395156
"A2","44",43.69580712,200,800,0.367973633
"A2","45",44.169916608,200,800,0.384684961
"A2","46",44.641756272,200,800,0.402500117
"A2","47",45.113879664,200,800,0.42148125
