"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.360170176,200,1000,0.165821348
"A1","2",23.836644064,200,1000,0.167420176
"A1","3",24.306119328,200,1000,0.170169336
"A1","4",24.78249864,200,1000,0.172249082
"A1","5",25.252919664,200,1000,0.174273945
"A1","6",25.724381024,200,1000,0.176813516
"A1","7",26.199814576,200,1000,0.17834709
"A1","8",26.6726,200,1000,0.180637656
"A1","9",27.144817968,200,1000,0.183270195
"A1","10",27.620346096,200,1000,0.185179824
"A1","11",28.091618304,200,1000,0.187671934
"A1","12",28.566673552,200,1000,0.189874766
"A1","13",29.039931856,200,1000,0.192468203
"A1","14",29.508839664,200,1000,0.19494
"A1","15",29.986259312,200,1000,0.197203789
"A1","16",30.455545424,200,1000,0.199315215
"A1","17",30.929087456,200,1000,0.201441465
"A1","18",31.401305424,200,1000,0.204446758
"A1","19",31.871537296,200,1000,0.206758164
"A1","20",32.34148544,200,1000,0.209305332
"A1","21",32.82145864,200,1000,0.211999199
"A1","22",33.28015224,200,1000,0.214282188
"A1","23",33.77005592,200,1000,0.217479902
"A1","24",34.242084736,200,1000,0.220180547
"A1","25",34.710803392,200,1000,0.223045137
"A1","26",35.184723728,200,1000,0.226388633
"A1","27",35.656657968,200,1000,0.229504082
"A1","28",36.1325644,200,1000,0.232721426
"A1","29",36.603174576,200,1000,0.235995645
"A1","30",37.076054576,200,1000,0.239758867
"A1","31",37.546570176,200,1000,0.24332293
"A1","32",38.020868816,200,1000,0.247439824
"A1","33",38.493465088,200,1000,0.252036328
"A1","34",38.965399328,200,1000,0.255816113
"A1","35",39.440454576,200,1000,0.260207695
"A1","36",39.91324,200,1000,0.265204512
"A1","37",40.386687456,200,1000,0.270471016
"A1","38",40.860324064,200,1000,0.276051328
"A1","39",41.332447456,200,1000,0.281335879
"A1","40",41.806462368,200,1000,0.28744373
"A1","41",42.279626096,200,1000,0.294393555
"A1","42",42.75146576,200,1000,0.301273555
"A1","43",43.223021696,200,1000,0.30968127
"A1","44",43.696090848,200,1000,0.318217129
"A1","45",44.169349152,200,1000,0.328097773
"A1","46",44.641377968,200,1000,0.338694297
"A1","47",45.11492,200,1000,0.350976562
"A1","48",45.58969152,200,1000,0.365137266
"A1","49",46.059355936,200,1000,0.380814805
"A1","50",46.533276272,200,1000,0.398015508
"A1","51",47.007480336,200,1000,0.418505664
"A1","52",47.480927792,200,1000,0.440624219
"A1","53",47.952578304,200,1000,0.465153086
"A1","54",48.423377632,200,1000,0.493547227
"A1","55",48.899567792,200,1000,0.523492305
"A1","56",49.371407456,200,1000,0.558269727
"A1","57",49.84324712,200,1000,0.596609531
"A1","58",50.315937968,200,1000,0.640886875
"A1","59",50.791938976,200,1000,0.687147031
"A1","60",51.26283288,200,1000,0.736896484
"A1","61",51.734105088,200,1000,0.790971172
"A1","62",52.206890512,200,1000,0.847852422
"A1","63",52.67958136,200,1000,0.912221328
"A1","64",53.154731184,200,1000,0.975766484
"A1","65",53.625908816,200,1000,1.044341172
"A1","66",54.097464752,200,1000,1.113730078
"A1","67",54.572330848,200,1000,1.186385234
"A1","68",55.045021696,200,1000,1.259093516
"A1","69",55.51922576,200,1000,1.335030469
"A1","70",55.991254576,200,1000,1.409032969
"A1","71",56.462432208,200,1000,1.478996406
"A1","72",56.936541696,200,1000,1.550066875
"A1","73",57.408192208,200,1000,1.616310469
"A1","74",57.880599328,200,1000,1.6805
"A1","75",58.355370848,200,1000,1.744262969
"A1","76",58.82938576,200,1000,1.802153438
"A1","77",59.302076608,200,1000,1.856989062
"A1","78",59.772497632,200,1000,1.90548375
"A1","79",60.246701696,200,1000,1.953977969
"A1","80",60.720149152,200,1000,1.99478
"A1","81",61.192650848,200,1000,2.034447031
"A1","82",61.663450176,200,1000,2.069254062
"A1","83",62.139167456,200,1000,2.099057969
"A1","84",62.609683056,200,1000,2.125889219
"A1","85",63.084738304,200,1000,2.14312375
"A1","86",63.55771288,200,1000,2.1526325
"A1","87",64.030403728,200,1000,2.165774062
"A1","88",64.502432544,200,1000,2.177678438
"A1","89",64.976163728,200,1000,2.189895156
"A1","90",65.448854576,200,1000,2.201899062
"A1","91",65.921734576,200,1000,2.213892969
"A1","92",66.3968844,200,1000,2.220470156
"A1","93",66.86692712,200,1000,2.22709375
"A1","94",67.33838848,200,1000,2.237325156
"A1","95",67.813254576,200,1000,2.243943438
"A1","96",68.28604,200,1000,2.248125
"A1","97",68.757785088,200,1000,2.253175938
"A1","98",69.229057296,200,1000,2.257619688
"A1","99",69.70468,200,1000,2.263957188
"A1","100",70.177843728,200,1000,2.262838906
"A1","101",70.64996712,200,1000,2.2683825
"A1","102",71.123603728,200,1000,2.269120156
"A1","103",71.595632544,200,1000,2.272992031
"A1","104",72.068985424,200,1000,2.272089531
"A1","105",72.54290576,200,1000,2.275104844
"A1","106",73.014461696,200,1000,2.275794688
