"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.355441376,200,1000,0.359903945
"A1","2",23.832198992,200,1000,0.364310625
"A1","3",24.308767456,200,1000,0.367221016
"A1","4",24.782782368,200,1000,0.370917734
"A1","5",25.25396,200,1000,0.374563125
"A1","6",25.72542136,200,1000,0.377744922
"A1","7",26.199057968,200,1000,0.381515195
"A1","8",26.669668144,200,1000,0.385089609
"A1","9",27.145101696,200,1000,0.388951914
"A1","10",27.615333568,200,1000,0.392070781
"A1","11",28.092280336,200,1000,0.396056719
"A1","12",28.562323056,200,1000,0.400702109
"A1","13",29.037756608,200,1000,0.405206914
"A1","14",29.511866096,200,1000,0.409720625
"A1","15",29.983611184,200,1000,0.414252578
"A1","16",30.457153216,200,1000,0.419203828
"A1","17",30.92899288,200,1000,0.424661953
"A1","18",31.405939648,200,1000,0.430615039
"A1","19",31.8790088,200,1000,0.437728125
"A1","20",32.34101256,200,1000,0.444369844
"A1","21",32.835834192,200,1000,0.452543359
"A1","22",33.28535392,200,1000,0.461280547
"A1","23",33.76627288,200,1000,0.470843125
"A1","24",34.238112544,200,1000,0.480980742
"A1","25",34.712222032,200,1000,0.492984648
"A1","26",35.184723728,200,1000,0.506239766
"A1","27",35.658076608,200,1000,0.521306055
"A1","28",36.128403056,200,1000,0.537159961
"A1","29",36.602417968,200,1000,0.556321602
"A1","30",37.075581696,200,1000,0.576697891
"A1","31",37.547326784,200,1000,0.59874918
"A1","32",38.022003728,200,1000,0.624357148
"A1","33",38.4946,200,1000,0.652337812
"A1","34",38.967574576,200,1000,0.682731797
"A1","35",39.442062368,200,1000,0.716131406
"A1","36",39.912010512,200,1000,0.752744219
"A1","37",40.3837556,200,1000,0.792251094
"A1","38",40.859094576,200,1000,0.834547734
"A1","39",41.33235288,200,1000,0.880830547
"A1","40",41.803435936,200,1000,0.928434062
"A1","41",42.27858576,200,1000,0.978810312
"A1","42",42.749763392,200,1000,1.030487266
"A1","43",43.224251184,200,1000,1.083847969
"A1","44",43.696185424,200,1000,1.138047109
"A1","45",44.167835936,200,1000,1.192550078
"A1","46",44.641945424,200,1000,1.245715156
"A1","47",45.116527792,200,1000,1.301643984
"A1","48",45.586665088,200,1000,1.354298438
"A1","49",46.058031872,200,1000,1.406911719
"A1","50",46.5311956,200,1000,1.456179062
"A1","51",47.007196608,200,1000,1.502630156
"A1","52",47.480360336,200,1000,1.544371094
"A1","53",47.952010848,200,1000,1.586261094
"A1","54",48.425647456,200,1000,1.622882031
"A1","55",48.898243728,200,1000,1.656773906
"A1","56",49.370177968,200,1000,1.687271562
"A1","57",49.843814576,200,1000,1.715023125
"A1","58",50.315843392,200,1000,1.742821719
"A1","59",50.78853424,200,1000,1.76356125
"A1","60",51.262265424,200,1000,1.783057812
"A1","61",51.734010512,200,1000,1.802094844
"A1","62",52.208498304,200,1000,1.814391562
"A1","63",52.683175248,200,1000,1.827992344
"A1","64",53.154447456,200,1000,1.839024688
"A1","65",53.625625088,200,1000,1.847833281
"A1","66",54.097559328,200,1000,1.854596875
"A1","67",54.57299288,200,1000,1.861594219
