"Well","Reading","Temperature","A","B","Emission"
"E1","1",23.355441376,200,1000,0.322175254
"E1","2",23.832198992,200,1000,0.326868164
"E1","3",24.308767456,200,1000,0.330201875
"E1","4",24.782782368,200,1000,0.335849688
"E1","5",25.25396,200,1000,0.339818516
"E1","6",25.72542136,200,1000,0.345525742
"E1","7",26.199057968,200,1000,0.351360352
"E1","8",26.669668144,200,1000,0.359087344
"E1","9",27.145101696,200,1000,0.367816172
"E1","10",27.615333568,200,1000,0.377813516
"E1","11",28.092280336,200,1000,0.387777227
"E1","12",28.562323056,200,1000,0.399461797
"E1","13",29.037756608,200,1000,0.412821797
"E1","14",29.511866096,200,1000,0.428439375
"E1","15",29.983611184,200,1000,0.445451758
"E1","16",30.457153216,200,1000,0.463840898
"E1","17",30.92899288,200,1000,0.4858725
"E1","18",31.405939648,200,1000,0.510092891
"E1","19",31.8790088,200,1000,0.537215586
"E1","20",32.34101256,200,1000,0.566613242
"E1","21",32.835834192,200,1000,0.601246562
"E1","22",33.28535392,200,1000,0.638276133
"E1","23",33.76627288,200,1000,0.678174766
"E1","24",34.238112544,200,1000,0.724146484
"E1","25",34.712222032,200,1000,0.772921875
"E1","26",35.184723728,200,1000,0.827126172
"E1","27",35.658076608,200,1000,0.886248594
"E1","28",36.128403056,200,1000,0.950400781
"E1","29",36.602417968,200,1000,1.019192109
"E1","30",37.075581696,200,1000,1.091238594
"E1","31",37.547326784,200,1000,1.166710234
"E1","32",38.022003728,200,1000,1.247874453
"E1","33",38.4946,200,1000,1.333529219
"E1","34",38.967574576,200,1000,1.418689062
"E1","35",39.442062368,200,1000,1.510284688
"E1","36",39.912010512,200,1000,1.597203906
"E1","37",40.3837556,200,1000,1.692081406
"E1","38",40.859094576,200,1000,1.783276406
"E1","39",41.33235288,200,1000,1.872824688
"E1","40",41.803435936,200,1000,1.961047031
"E1","41",42.27858576,200,1000,2.046899688
"E1","42",42.749763392,200,1000,2.128782031
"E1","43",43.224251184,200,1000,2.205591562
"E1","44",43.696185424,200,1000,2.279430156
"E1","45",44.167835936,200,1000,2.348248594
"E1","46",44.641945424,200,1000,2.40925
"E1","47",45.116527792,200,1000,2.4698175
"E1","48",45.586665088,200,1000,2.518477188
"E1","49",46.058031872,200,1000,2.567229219
"E1","50",46.5311956,200,1000,2.610261406
"E1","51",47.007196608,200,1000,2.643647188
"E1","52",47.480360336,200,1000,2.680476562
"E1","53",47.952010848,200,1000,2.7117
"E1","54",48.425647456,200,1000,2.734570312
"E1","55",48.898243728,200,1000,2.759524375
"E1","56",49.370177968,200,1000,2.782025625
"E1","57",49.843814576,200,1000,2.793189062
"E1","58",50.315843392,200,1000,2.810985
"E1","59",50.78853424,200,1000,2.821330625
"E1","60",51.262265424,200,1000,2.82723
"E1","61",51.734010512,200,1000,2.835583438
"E1","62",52.208498304,200,1000,2.838677188
"E1","63",52.683175248,200,1000,2.846114375
"E1","64",53.154447456,200,1000,2.852148125
"E1","65",53.625625088,200,1000,2.852216875
"E1","66",54.097559328,200,1000,2.85654
"E1","67",54.57299288,200,1000,2.851685938
"E1","68",55.044359664,200,1000,2.85150625
"E1","69",55.517050512,200,1000,2.849611562
"E1","70",55.989552208,200,1000,2.850516562
"E1","71",56.463283392,200,1000,2.849017188
"E1","72",56.93597424,200,1000,2.848087188
"E1","73",57.409137968,200,1000,2.841500625
"E1","74",57.881828816,200,1000,2.836167812
"E1","75",58.354897968,200,1000,2.834657188
"E1","76",58.827872544,200,1000,2.83475125
"E1","77",59.301036272,200,1000,2.826574688
"E1","78",59.771741024,200,1000,2.8238925
"E1","79",60.247363728,200,1000,2.81656625
"E1","80",60.720243728,200,1000,2.80741375
"E1","81",61.19094848,200,1000,2.803342188
"E1","82",61.66430136,200,1000,2.80152625
"E1","83",62.141721008,200,1000,2.792657812
"E1","84",62.610912544,200,1000,2.792001562
"E1","85",63.084643728,200,1000,2.784866562
"E1","86",63.556672544,200,1000,2.777868125
"E1","87",64.029363392,200,1000,2.771206875
"E1","88",64.500919328,200,1000,2.7673925
"E1","89",64.977109488,200,1000,2.759766875
