"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.362061696,200,1000,0.167803711
"D1","2",23.829834592,200,1000,0.168893711
"D1","3",24.304700688,200,1000,0.168845918
"D1","4",24.78060712,200,1000,0.168621914
"D1","5",25.256229824,200,1000,0.168519102
"D1","6",25.72967728,200,1000,0.169710137
"D1","7",26.203597616,200,1000,0.169213008
"D1","8",26.67070848,200,1000,0.169518887
"D1","9",27.144912544,200,1000,0.17015875
"D1","10",27.61883288,200,1000,0.170989883
"D1","11",28.093320672,200,1000,0.171554062
"D1","12",28.564214576,200,1000,0.171567676
"D1","13",29.032838656,200,1000,0.17309707
"D1","14",29.512433552,200,1000,0.172971172
"D1","15",29.98228712,200,1000,0.172924824
"D1","16",30.451005776,200,1000,0.173904414
"D1","17",30.930978976,200,1000,0.174046172
"D1","18",31.394023072,200,1000,0.174757441
"D1","19",31.874658304,200,1000,0.175148027
"D1","20",32.342052896,200,1000,0.174564512
"D1","21",32.821553216,200,1000,0.174859453
"D1","22",33.294527792,200,1000,0.175692578
"D1","23",33.765989152,200,1000,0.175973105
"D1","24",34.238017968,200,1000,0.17685252
"D1","25",34.712600336,200,1000,0.177351328
"D1","26",35.184061696,200,1000,0.177609609
"D1","27",35.657414576,200,1000,0.177772363
"D1","28",36.130956608,200,1000,0.177375273
"D1","29",36.603742032,200,1000,0.177956152
"D1","30",37.074352208,200,1000,0.178490879
"D1","31",37.549407456,200,1000,0.178742949
"D1","32",38.021625424,200,1000,0.178526113
"D1","33",38.495262032,200,1000,0.179985156
"D1","34",38.966912544,200,1000,0.180337227
"D1","35",39.441873216,200,1000,0.180279629
"D1","36",39.915698976,200,1000,0.180182793
"D1","37",40.385836272,200,1000,0.18071166
"D1","38",40.858148816,200,1000,0.181338965
"D1","39",41.33188,200,1000,0.181648848
"D1","40",41.805894912,200,1000,0.182000762
"D1","41",42.279342368,200,1000,0.182255938
"D1","42",42.750614576,200,1000,0.182689727
"D1","43",43.221319328,200,1000,0.183376582
"D1","44",43.696374576,200,1000,0.184336562
"D1","45",44.168403392,200,1000,0.184663398
"D1","46",44.640905088,200,1000,0.185055156
"D1","47",45.115203728,200,1000,0.186081797
"D1","48",45.587705424,200,1000,0.186778223
"D1","49",46.060112544,200,1000,0.188013574
"D1","50",46.531763056,200,1000,0.189040547
"D1","51",47.00691288,200,1000,0.190143223
"D1","52",47.480360336,200,1000,0.191433828
"D1","53",47.952578304,200,1000,0.192760078
"D1","54",48.424228816,200,1000,0.194331426
"D1","55",48.898527456,200,1000,0.195955566
"D1","56",49.369515936,200,1000,0.198115508
"D1","57",49.843530848,200,1000,0.200127363
"D1","58",50.315937968,200,1000,0.202212832
"D1","59",50.789858304,200,1000,0.205684629
"D1","60",51.262643728,200,1000,0.20863957
"D1","61",51.73571288,200,1000,0.211624219
"D1","62",52.210389824,200,1000,0.21610873
"D1","63",52.680337968,200,1000,0.220369824
"D1","64",53.153028816,200,1000,0.224751309
"D1","65",53.625625088,200,1000,0.231310938
"D1","66",54.099356272,200,1000,0.237278359
"D1","67",54.572709152,200,1000,0.244249883
"D1","68",55.046062032,200,1000,0.252953105
"D1","69",55.518469152,200,1000,0.261962285
"D1","70",55.991727456,200,1000,0.273115625
"D1","71",56.464323728,200,1000,0.285044258
"D1","72",56.935123056,200,1000,0.299306641
"D1","73",57.411407792,200,1000,0.314968125
"D1","74",57.881450512,200,1000,0.332428242
"D1","75",58.355654576,200,1000,0.353457852
"D1","76",58.82891288,200,1000,0.376097617
"D1","77",59.300563392,200,1000,0.401605117
"D1","78",59.773348816,200,1000,0.429937578
"D1","79",60.24660712,200,1000,0.461096953
"D1","80",60.718352208,200,1000,0.498623125
"D1","81",61.192556272,200,1000,0.534267539
"D1","82",61.66666576,200,1000,0.575521172
"D1","83",62.138694576,200,1000,0.619389961
"D1","84",62.611763728,200,1000,0.665591875
"D1","85",63.083225088,200,1000,0.716958672
"D1","86",63.557996608,200,1000,0.766798516
"D1","87",64.030403728,200,1000,0.822541641
"D1","88",64.5006356,200,1000,0.875883438
"D1","89",64.975028816,200,1000,0.932209141
"D1","90",65.448665424,200,1000,0.987395938
"D1","91",65.919843056,200,1000,1.040889531
"D1","92",66.39262848,200,1000,1.087378516
"D1","93",66.867967456,200,1000,1.128821875
"D1","94",67.340090848,200,1000,1.16933375
"D1","95",67.812592544,200,1000,1.211579766
"D1","96",68.284715936,200,1000,1.245213203
"D1","97",68.757879664,200,1000,1.284935234
"D1","98",69.232367456,200,1000,1.309626016
"D1","99",69.70468,200,1000,1.341685625
"D1","100",70.176897968,200,1000,1.363050938
"D1","101",70.649588816,200,1000,1.385877188
"D1","102",71.123698304,200,1000,1.402090625
"D1","103",71.593741024,200,1000,1.4180625
"D1","104",72.067850512,200,1000,1.430007969
"D1","105",72.541865424,200,1000,1.441623906
"D1","106",73.015407456,200,1000,1.450143281
"D1","107",73.486585088,200,1000,1.4496575
"D1","108",73.960694576,200,1000,1.451833281
"D1","109",74.43395288,200,1000,1.459015781
"D1","110",74.905035936,200,1000,1.459525
"D1","111",75.377915936,200,1000,1.454977969
"D1","112",75.851079664,200,1000,1.457643125
"D1","113",76.323865088,200,1000,1.4563475
"D1","114",76.79740712,200,1000,1.450126719
"D1","115",77.270570848,200,1000,1.442872344
"D1","116",77.742315936,200,1000,1.444801719
"D1","117",78.214817632,200,1000,1.432371719
"D1","118",78.689305424,200,1000,1.426732031
"D1","119",79.16133424,200,1000,1.421284844
"D1","120",79.633930512,200,1000,1.413288438
"D1","121",80.106810512,200,1000,1.414255781
"D2","1",23.362061696,200,800,0.181439004
"D2","2",23.829834592,200,800,0.181443652
"D2","3",24.304700688,200,800,0.182482441
"D2","4",24.78060712,200,800,0.182101992
"D2","5",25.256229824,200,800,0.183922852
"D2","6",25.72967728,200,800,0.183281621
"D2","7",26.203597616,200,800,0.184106172
"D2","8",26.67070848,200,800,0.184411738
"D2","9",27.144912544,200,800,0.185443359
"D2","10",27.61883288,200,800,0.187276738
"D2","11",28.093320672,200,800,0.187588086
"D2","12",28.564214576,200,800,0.188002324
"D2","13",29.032838656,200,800,0.189371445
"D2","14",29.512433552,200,800,0.190220469
"D2","15",29.98228712,200,800,0.190349707
"D2","16",30.451005776,200,800,0.19127957
"D2","17",30.930978976,200,800,0.191775898
"D2","18",31.394023072,200,800,0.193563359
"D2","19",31.874658304,200,800,0.193691504
"D2","20",32.342052896,200,800,0.194241875
"D2","21",32.821553216,200,800,0.194826699
"D2","22",33.294527792,200,800,0.19524416
"D2","23",33.765989152,200,800,0.196514414
"D2","24",34.238017968,200,800,0.19592959
"D2","25",34.712600336,200,800,0.19739957
"D2","26",35.184061696,200,800,0.197922676
"D2","27",35.657414576,200,800,0.197849277
"D2","28",36.130956608,200,800,0.19847625
"D2","29",36.603742032,200,800,0.199415488
"D2","30",37.074352208,200,800,0.199408945
"D2","31",37.549407456,200,800,0.200389277
"D2","32",38.021625424,200,800,0.20094373
"D2","33",38.495262032,200,800,0.201172285
"D2","34",38.966912544,200,800,0.201230488
"D2","35",39.441873216,200,800,0.201984375
"D2","36",39.915698976,200,800,0.201928848
"D2","37",40.385836272,200,800,0.202860195
"D2","38",40.858148816,200,800,0.203389688
"D2","39",41.33188,200,800,0.204581992
"D2","40",41.805894912,200,800,0.204795078
"D2","41",42.279342368,200,800,0.204610586
"D2","42",42.750614576,200,800,0.205823926
"D2","43",43.221319328,200,800,0.205993281
"D2","44",43.696374576,200,800,0.207660215
"D2","45",44.168403392,200,800,0.208290703
"D2","46",44.640905088,200,800,0.208852676
"D2","47",45.115203728,200,800,0.209685859
"D2","48",45.587705424,200,800,0.211140977
"D2","49",46.060112544,200,800,0.212851367
"D2","50",46.531763056,200,800,0.213789219
"D2","51",47.00691288,200,800,0.214971406
"D2","52",47.480360336,200,800,0.217772246
"D2","53",47.952578304,200,800,0.218869824
"D2","54",48.424228816,200,800,0.220427422
"D2","55",48.898527456,200,800,0.223211602
"D2","56",49.369515936,200,800,0.225948086
"D2","57",49.843530848,200,800,0.228722617
"D2","58",50.315937968,200,800,0.232627539
"D2","59",50.789858304,200,800,0.235610977
"D2","60",51.262643728,200,800,0.239863301
"D2","61",51.73571288,200,800,0.243729395
"D2","62",52.210389824,200,800,0.249147578
"D2","63",52.680337968,200,800,0.255321426
"D2","64",53.153028816,200,800,0.261563242
"D2","65",53.625625088,200,800,0.269508828
"D2","66",54.099356272,200,800,0.278520859
