"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.364709824,200,1000,0.143138633
"A1","2",23.832671872,200,1000,0.144401006
"A1","3",24.309524064,200,1000,0.145149268
"A1","4",24.780512544,200,1000,0.146270244
"A1","5",25.251879328,200,1000,0.147311543
"A1","6",25.726556272,200,1000,0.1485054
"A1","7",26.19877424,200,1000,0.14974043
"A1","8",26.671937968,200,1000,0.15122457
"A1","9",27.146331184,200,1000,0.152575078
"A1","10",27.620629824,200,1000,0.154107861
"A1","11",28.0936044,200,1000,0.155453926
"A1","12",28.567146432,200,1000,0.157367412
"A1","13",29.036337968,200,1000,0.159032871
"A1","14",29.507231872,200,1000,0.160571816
"A1","15",29.984746096,200,1000,0.162511914
"A1","16",30.451194928,200,1000,0.164779062
"A1","17",30.928141696,200,1000,0.166933262
"A1","18",31.4014,200,1000,0.169523418
"A1","19",31.869740352,200,1000,0.172604688
"A1","20",32.347349152,200,1000,0.175544199
"A1","21",32.821836944,200,1000,0.178995215
"A1","22",33.292068816,200,1000,0.182526133
"A1","23",33.767975248,200,1000,0.186564609
"A1","24",34.23915288,200,1000,0.190844258
"A1","25",34.711654576,200,1000,0.195888086
"A1","26",35.185196608,200,1000,0.201681367
"A1","27",35.656279664,200,1000,0.208279805
"A1","28",36.130956608,200,1000,0.215817148
"A1","29",36.60402576,200,1000,0.224345098
"A1","30",37.076527456,200,1000,0.233675508
"A1","31",37.546664752,200,1000,0.244392188
"A1","32",38.022760336,200,1000,0.257025371
"A1","33",38.493937968,200,1000,0.270756855
"A1","34",38.967101696,200,1000,0.285956016
"A1","35",39.441400336,200,1000,0.302592559
"A1","36",39.914091184,200,1000,0.321497871
"A1","37",40.384606784,200,1000,0.342680352
"A1","38",40.859851184,200,1000,0.365275234
"A1","39",41.331974576,200,1000,0.38973707
"A1","40",41.804381696,200,1000,0.415702422
"A1","41",42.278491184,200,1000,0.444994805
"A1","42",42.748817632,200,1000,0.474558906
"A1","43",43.224156608,200,1000,0.506588555
"A1","44",43.696847456,200,1000,0.538455
"A1","45",44.167363056,200,1000,0.572316992
"A1","46",44.64204,200,1000,0.606175898
"A1","47",45.114825424,200,1000,0.641996992
"A1","48",45.5878,200,1000,0.678349609
"A1","49",46.061436608,200,1000,0.714165469
"A1","50",46.532992544,200,1000,0.748874453
"A1","51",47.00454848,200,1000,0.783963672
"A1","52",47.479887456,200,1000,0.816754219
"A1","53",47.95078136,200,1000,0.849981094
"A1","54",48.425174576,200,1000,0.881526484
"A1","55",48.897581696,200,1000,0.911963125
"A1","56",49.371880336,200,1000,0.940954531
"A1","57",49.844382032,200,1000,0.968823047
"A1","58",50.318207792,200,1000,0.995020938
"A1","59",50.787777632,200,1000,1.019540547
"A1","60",51.262643728,200,1000,1.042729453
"A1","61",51.734672544,200,1000,1.064019453
"A1","62",52.20622848,200,1000,1.084329531
"A1","63",52.680716272,200,1000,1.101410625
"A1","64",53.15198848,200,1000,1.120832891
"A1","65",53.627422032,200,1000,1.137527812
"A1","66",54.099923728,200,1000,1.152205859
"A1","67",54.571006784,200,1000,1.167843594
"A1","68",55.046156608,200,1000,1.179950703
"A1","69",55.517712544,200,1000,1.19536
"A1","70",55.99210576,200,1000,1.206805547
"A1","71",56.462810512,200,1000,1.220204453
"A1","72",56.938716944,200,1000,1.232376328
"A1","73",57.40696272,200,1000,1.241925391
"A1","74",57.882017968,200,1000,1.252524297
"A1","75",58.354992544,200,1000,1.261374688
"A1","76",58.826643056,200,1000,1.2716175
"A1","77",59.301130848,200,1000,1.279677344
"A1","78",59.773443392,200,1000,1.288706719
"A1","79",60.24708,200,1000,1.296440547
"A1","80",60.719203392,200,1000,1.305442266
"A1","81",61.191232208,200,1000,1.314628438
"A1","82",61.66477424,200,1000,1.321258281
"A1","83",62.138978304,200,1000,1.329206562
