"Well","Reading","Temperature","A","B","Emission"
"E1","1",23.364709824,200,1000,0.183929688
"E1","2",23.832671872,200,1000,0.185879844
"E1","3",24.309524064,200,1000,0.187651426
"E1","4",24.780512544,200,1000,0.190161953
"E1","5",25.251879328,200,1000,0.191671621
"E1","6",25.726556272,200,1000,0.193522324
"E1","7",26.19877424,200,1000,0.196720938
"E1","8",26.671937968,200,1000,0.198544414
"E1","9",27.146331184,200,1000,0.200789414
"E1","10",27.620629824,200,1000,0.203090566
"E1","11",28.0936044,200,1000,0.205914844
"E1","12",28.567146432,200,1000,0.208003203
"E1","13",29.036337968,200,1000,0.21053623
"E1","14",29.507231872,200,1000,0.212470566
"E1","15",29.984746096,200,1000,0.215038711
"E1","16",30.451194928,200,1000,0.217706543
"E1","17",30.928141696,200,1000,0.220339004
"E1","18",31.4014,200,1000,0.222630859
"E1","19",31.869740352,200,1000,0.224498281
"E1","20",32.347349152,200,1000,0.226781211
"E1","21",32.821836944,200,1000,0.229168594
"E1","22",33.292068816,200,1000,0.230797598
"E1","23",33.767975248,200,1000,0.233227773
"E1","24",34.23915288,200,1000,0.235206309
"E1","25",34.711654576,200,1000,0.237110117
"E1","26",35.185196608,200,1000,0.239419199
"E1","27",35.656279664,200,1000,0.24102918
"E1","28",36.130956608,200,1000,0.243051133
"E1","29",36.60402576,200,1000,0.24524377
"E1","30",37.076527456,200,1000,0.246441738
"E1","31",37.546664752,200,1000,0.248396426
"E1","32",38.022760336,200,1000,0.250281992
"E1","33",38.493937968,200,1000,0.251841289
"E1","34",38.967101696,200,1000,0.253563359
"E1","35",39.441400336,200,1000,0.254970996
"E1","36",39.914091184,200,1000,0.256552051
"E1","37",40.384606784,200,1000,0.258006582
"E1","38",40.859851184,200,1000,0.25964957
"E1","39",41.331974576,200,1000,0.261433691
"E1","40",41.804381696,200,1000,0.26283498
"E1","41",42.278491184,200,1000,0.264646758
"E1","42",42.748817632,200,1000,0.265949336
"E1","43",43.224156608,200,1000,0.267496855
"E1","44",43.696847456,200,1000,0.269494023
"E1","45",44.167363056,200,1000,0.270774336
"E1","46",44.64204,200,1000,0.272717109
"E1","47",45.114825424,200,1000,0.27447584
"E1","48",45.5878,200,1000,0.277503281
"E1","49",46.061436608,200,1000,0.280130234
"E1","50",46.532992544,200,1000,0.282909766
"E1","51",47.00454848,200,1000,0.286083652
"E1","52",47.479887456,200,1000,0.28935666
"E1","53",47.95078136,200,1000,0.293263984
"E1","54",48.425174576,200,1000,0.29763877
"E1","55",48.897581696,200,1000,0.302034121
"E1","56",49.371880336,200,1000,0.30832543
"E1","57",49.844382032,200,1000,0.314097969
"E1","58",50.318207792,200,1000,0.321564473
"E1","59",50.787777632,200,1000,0.329534141
"E1","60",51.262643728,200,1000,0.33880793
"E1","61",51.734672544,200,1000,0.349130234
"E1","62",52.20622848,200,1000,0.361130352
"E1","63",52.680716272,200,1000,0.373436328
"E1","64",53.15198848,200,1000,0.389094492
"E1","65",53.627422032,200,1000,0.40576793
"E1","66",54.099923728,200,1000,0.425514258
"E1","67",54.571006784,200,1000,0.446775234
"E1","68",55.046156608,200,1000,0.472460977
"E1","69",55.517712544,200,1000,0.500574805
"E1","70",55.99210576,200,1000,0.532567031
"E1","71",56.462810512,200,1000,0.567289141
"E1","72",56.938716944,200,1000,0.605843555
"E1","73",57.40696272,200,1000,0.650072305
"E1","74",57.882017968,200,1000,0.696717578
"E1","75",58.354992544,200,1000,0.749980469
"E1","76",58.826643056,200,1000,0.8044325
"E1","77",59.301130848,200,1000,0.864652734
"E1","78",59.773443392,200,1000,0.926098438
"E1","79",60.24708,200,1000,0.990794141
"E1","80",60.719203392,200,1000,1.057818438
"E1","81",61.191232208,200,1000,1.128494609
"E1","82",61.66477424,200,1000,1.19472
"E1","83",62.138978304,200,1000,1.263359766
"E1","84",62.611385424,200,1000,1.329882188
"E1","85",63.083225088,200,1000,1.393739062
"E1","86",63.555159328,200,1000,1.454735938
"E1","87",64.03106576,200,1000,1.512438125
"E1","88",64.50158136,200,1000,1.561841406
"E1","89",64.976447456,200,1000,1.616777031
"E1","90",65.446679328,200,1000,1.658131562
"E1","91",65.921734576,200,1000,1.701540938
"E1","92",66.394709152,200,1000,1.735828906
"E1","93",66.8674,200,1000,1.768966719
"E1","94",67.340090848,200,1000,1.791998281
"E1","95",67.81363288,200,1000,1.804596406
"E1","96",68.28462136,200,1000,1.82198
"E1","97",68.760622368,200,1000,1.83290125
"E1","98",69.23227288,200,1000,1.844387188
"E1","99",69.704301696,200,1000,1.848716562
"E1","100",70.17708712,200,1000,1.853536875
"E1","101",70.64949424,200,1000,1.865717812
"E1","102",71.12332,200,1000,1.868654688
"E1","103",71.595537968,200,1000,1.865553438
"E1","104",72.070404064,200,1000,1.868008125
"E1","105",72.541770848,200,1000,1.864858125
"E1","106",73.014556272,200,1000,1.865349688
"E1","107",73.48582848,200,1000,1.859210781
"E1","108",73.960316272,200,1000,1.860676094
"E1","109",74.43253424,200,1000,1.854476094
"E1","110",74.90730576,200,1000,1.856177969
"E1","111",75.378672544,200,1000,1.850398594
"E1","112",75.853254912,200,1000,1.843036719
"E1","113",76.325756608,200,1000,1.842385156
"E1","114",76.79740712,200,1000,1.832120156
"E1","115",77.270381696,200,1000,1.828380469
"E1","116",77.74411288,200,1000,1.829650625
"E1","117",78.216803728,200,1000,1.823237031
"E1","118",78.689683728,200,1000,1.816066406
"E1","119",79.162847456,200,1000,1.808005156
"E1","120",79.633835936,200,1000,1.802866875
"E1","121",80.10898576,200,1000,1.796090156
"E2","1",23.364709824,200,800,0.198552539
"E2","2",23.832671872,200,800,0.200801387
"E2","3",24.309524064,200,800,0.203185566
"E2","4",24.780512544,200,800,0.205822129
"E2","5",25.251879328,200,800,0.208120391
"E2","6",25.726556272,200,800,0.211132812
"E2","7",26.19877424,200,800,0.213744688
"E2","8",26.671937968,200,800,0.2161325
"E2","9",27.146331184,200,800,0.218740938
"E2","10",27.620629824,200,800,0.221692129
"E2","11",28.0936044,200,800,0.223620566
"E2","12",28.567146432,200,800,0.226981426
"E2","13",29.036337968,200,800,0.229301172
"E2","14",29.507231872,200,800,0.231992168
"E2","15",29.984746096,200,800,0.234642188
"E2","16",30.451194928,200,800,0.238108047
"E2","17",30.928141696,200,800,0.239856641
"E2","18",31.4014,200,800,0.241743223
"E2","19",31.869740352,200,800,0.244657812
"E2","20",32.347349152,200,800,0.2474225
"E2","21",32.821836944,200,800,0.249809766
"E2","22",33.292068816,200,800,0.251043027
"E2","23",33.767975248,200,800,0.254257871
"E2","24",34.23915288,200,800,0.255982578
"E2","25",34.711654576,200,800,0.257448809
"E2","26",35.185196608,200,800,0.260830801
