Well,Reading,Temperature,A,B,Emission,Helix
D1,1,23.36669592,200,1000,0.213413711,L
D1,2,23.834468816,200,1000,0.215404434,L
D1,3,24.307348816,200,1000,0.216802188,L
D1,4,24.780417968,200,1000,0.21928498,L
D1,5,25.25443288,200,1000,0.221159844,L
D1,6,25.727880336,200,1000,0.223746602,L
D1,7,26.199530848,200,1000,0.225072871,L
D1,8,26.674680672,200,1000,0.22614334,L
D1,9,27.14548,200,1000,0.228758496,L
D1,10,27.61504984,200,1000,0.231364668,L
D1,11,28.092753216,200,1000,0.233692168,L
D1,12,28.562417632,200,1000,0.236572598,L
D1,13,29.032838656,200,1000,0.238505195,L
D1,14,29.51366304,200,1000,0.240859922,L
D1,15,29.984367792,200,1000,0.243677188,L
D1,16,30.454788816,200,1000,0.245924688,L
D1,17,30.921143072,200,1000,0.248635,L
D1,18,31.397522384,200,1000,0.25195748,L
D1,19,31.87475288,200,1000,0.255742773,L
D1,20,32.351794224,200,1000,0.259273438,L
D1,21,32.8129468,200,1000,0.263637559,L
D1,22,33.292541696,200,1000,0.268394473,L
D1,23,33.761922384,200,1000,0.273512441,L
D1,24,34.239909488,200,1000,0.27840291,L
D1,25,34.712694912,200,1000,0.284002734,L
D1,26,35.18444,200,1000,0.290518281,L
D1,27,35.659495248,200,1000,0.297551523,L
D1,28,36.12878136,200,1000,0.305951621,L
D1,29,36.603647456,200,1000,0.314982422,L
D1,30,37.075392544,200,1000,0.324647754,L
D1,31,37.54836712,200,1000,0.336717227,L
D1,32,38.020679664,200,1000,0.350280312,L
D1,33,38.494789152,200,1000,0.364026367,L
D1,34,38.966723392,200,1000,0.380100938,L
D1,35,39.43846848,200,1000,0.398093867,L
D1,36,39.911726784,200,1000,0.418621914,L
D1,37,40.38612,200,1000,0.441602656,L
D1,38,40.861269824,200,1000,0.467737812,L
D1,39,41.332447456,200,1000,0.497374609,L
D1,40,41.806084064,200,1000,0.531926914,L
D1,41,42.277356272,200,1000,0.568383867,L
D1,42,42.751182032,200,1000,0.609816016,L
D1,43,43.226048128,200,1000,0.657754609,L
D1,44,43.69675288,200,1000,0.708889844,L
D1,45,44.168781696,200,1000,0.765521328,L
D1,46,44.642891184,200,1000,0.828561406,L
D1,47,45.115487456,200,1000,0.896982422,L
D1,48,45.586759664,200,1000,0.97302,L
D1,49,46.06115288,200,1000,1.054734062,L
D1,50,46.533465424,200,1000,1.137667344,L
D1,51,47.003981024,200,1000,1.227923359,L
D1,52,47.478752544,200,1000,1.330434062,L
D1,53,47.950119328,200,1000,1.42058375,L
D1,54,48.424417968,200,1000,1.523307188,L
D1,55,48.897203392,200,1000,1.612367656,L
D1,56,49.367908144,200,1000,1.725736562,L
