Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.36669592,200,1000,0.221805879,N
A1,2,23.834468816,200,1000,0.223234023,N
A1,3,24.307348816,200,1000,0.22390668,N
A1,4,24.780417968,200,1000,0.225118613,N
A1,5,25.25443288,200,1000,0.226600469,N
A1,6,25.727880336,200,1000,0.22785793,N
A1,7,26.199530848,200,1000,0.229243301,N
A1,8,26.674680672,200,1000,0.230625898,N
A1,9,27.14548,200,1000,0.231789004,N
A1,10,27.61504984,200,1000,0.232878945,N
A1,11,28.092753216,200,1000,0.233919121,N
A1,12,28.562417632,200,1000,0.235653926,N
A1,13,29.032838656,200,1000,0.23649002,N
A1,14,29.51366304,200,1000,0.23755084,N
A1,15,29.984367792,200,1000,0.238534395,N
A1,16,30.454788816,200,1000,0.240355957,N
A1,17,30.921143072,200,1000,0.241239746,N
A1,18,31.397522384,200,1000,0.24268584,N
A1,19,31.87475288,200,1000,0.243871934,N
A1,20,32.351794224,200,1000,0.24518043,N
A1,21,32.8129468,200,1000,0.246982402,N
A1,22,33.292541696,200,1000,0.24836082,N
A1,23,33.761922384,200,1000,0.249767988,N
A1,24,34.239909488,200,1000,0.251233418,N
A1,25,34.712694912,200,1000,0.25309959,N
A1,26,35.18444,200,1000,0.254730254,N
A1,27,35.659495248,200,1000,0.256564629,N
A1,28,36.12878136,200,1000,0.258600391,N
A1,29,36.603647456,200,1000,0.260944922,N
A1,30,37.075392544,200,1000,0.26311668,N
A1,31,37.54836712,200,1000,0.265314609,N
A1,32,38.020679664,200,1000,0.26777627,N
A1,33,38.494789152,200,1000,0.270746602,N
A1,34,38.966723392,200,1000,0.274173086,N
A1,35,39.43846848,200,1000,0.277160137,N
A1,36,39.911726784,200,1000,0.281216641,N
A1,37,40.38612,200,1000,0.285442188,N
A1,38,40.861269824,200,1000,0.289738711,N
A1,39,41.332447456,200,1000,0.294914648,N
A1,40,41.806084064,200,1000,0.300781758,N
A1,41,42.277356272,200,1000,0.30732377,N
A1,42,42.751182032,200,1000,0.314640176,N
A1,43,43.226048128,200,1000,0.323251113,N
A1,44,43.69675288,200,1000,0.332632617,N
A1,45,44.168781696,200,1000,0.342921094,N
A1,46,44.642891184,200,1000,0.353862031,N
A1,47,45.115487456,200,1000,0.367605859,N
A1,48,45.586759664,200,1000,0.381997344,N
A1,49,46.06115288,200,1000,0.399291875,N
A1,50,46.533465424,200,1000,0.417645586,N
A1,51,47.003981024,200,1000,0.439296367,N
A1,52,47.478752544,200,1000,0.462561406,N
A1,53,47.950119328,200,1000,0.488494453,N
A1,54,48.424417968,200,1000,0.518219141,N
A1,55,48.897203392,200,1000,0.550997461,N
A1,56,49.367908144,200,1000,0.58730793,N
A1,57,49.844098304,200,1000,0.626878242,N
A1,58,50.317356608,200,1000,0.673463906,N
A1,59,50.789763728,200,1000,0.722596406,N
A1,60,51.262454576,200,1000,0.775787891,N
A1,61,51.736374912,200,1000,0.833196016,N
A1,62,52.207741696,200,1000,0.895115312,N
A1,63,52.680810848,200,1000,0.962486172,N
A1,64,53.154920336,200,1000,1.033768828,N
A1,65,53.62676,200,1000,1.105971328,N
A1,66,54.099923728,200,1000,1.184647344,N
A1,67,54.570061024,200,1000,1.264971875,N
A1,68,55.045021696,200,1000,1.348404531,N
A1,69,55.51780712,200,1000,1.430013125,N
A1,70,55.99163288,200,1000,1.516847031,N
A1,71,56.464796608,200,1000,1.599111719,N
A1,72,56.935879664,200,1000,1.680297031,N
A1,73,57.410083728,200,1000,1.758279531,N
A1,74,57.883531184,200,1000,1.832451719,N
A1,75,58.355276272,200,1000,1.906729688,N
A1,76,58.82796712,200,1000,1.971924219,N
