Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.363291184,200,1000,0.320911035,O
A1,2,23.834752544,200,1000,0.322775059,O
A1,3,24.312361344,200,1000,0.324588984,O
A1,4,24.78060712,200,1000,0.328413867,O
A1,5,25.25301424,200,1000,0.332378867,O
A1,6,25.725988816,200,1000,0.337581484,O
A1,7,26.200854912,200,1000,0.344399648,O
A1,8,26.670519328,200,1000,0.351521953,O
A1,9,27.14406136,200,1000,0.359763516,O
A1,10,27.620346096,200,1000,0.368216484,O
A1,11,28.087646112,200,1000,0.377487891,O
A1,12,28.562323056,200,1000,0.387598945,O
A1,13,29.036243392,200,1000,0.398258984,O
A1,14,29.507893904,200,1000,0.408876172,O
A1,15,29.980963056,200,1000,0.421225312,O
A1,16,30.451762384,200,1000,0.43345293,O
A1,17,30.931073552,200,1000,0.446935625,O
A1,18,31.404615584,200,1000,0.461073516,O
A1,19,31.87238848,200,1000,0.475766016,O
A1,20,32.352172528,200,1000,0.491201602,O
A1,21,32.817770176,200,1000,0.507246328,O
A1,22,33.301715568,200,1000,0.524039297,O
A1,23,33.767313216,200,1000,0.541520312,O
A1,24,34.237923392,200,1000,0.559377266,O
A1,25,34.71014136,200,1000,0.579398281,O
A1,26,35.184250848,200,1000,0.597812109,O
A1,27,35.658171184,200,1000,0.617640234,O
A1,28,36.129348816,200,1000,0.638010312,O
A1,29,36.602701696,200,1000,0.659751094,O
A1,30,37.074352208,200,1000,0.680727344,O
A1,31,37.550164064,200,1000,0.702207266,O
A1,32,38.021341696,200,1000,0.725005859,O
A1,33,38.495167456,200,1000,0.748505469,O
A1,34,38.967385424,200,1000,0.772754062,O
A1,35,39.438090176,200,1000,0.795813359,O
A1,36,39.912672544,200,1000,0.821823672,O
A1,37,40.386498304,200,1000,0.847141641,O
A1,38,40.859094576,200,1000,0.874144766,O
A1,39,41.332163728,200,1000,0.901815469,O
A1,40,41.805989488,200,1000,0.930728047,O
A1,41,42.27622136,200,1000,0.959166953,O
A1,42,42.749006784,200,1000,0.988487969,O
A1,43,43.225196944,200,1000,1.019414531,O
A1,44,43.697320336,200,1000,1.050318594,O
A1,45,44.169065424,200,1000,1.082714922,O
A1,46,44.639959328,200,1000,1.114761875,O
A1,47,45.115960336,200,1000,1.148534922,O
A1,48,45.587610848,200,1000,1.183018125,O
A1,49,46.060869152,200,1000,1.216441406,O
A1,50,46.531857632,200,1000,1.251992344,O
A1,51,47.005305088,200,1000,1.287006719,O
A1,52,47.481022368,200,1000,1.323205625,O
A1,53,47.952578304,200,1000,1.356991562,O
A1,54,48.425174576,200,1000,1.392077812,O
A1,55,48.896730512,200,1000,1.425935625,O
A1,56,49.37131288,200,1000,1.458900625,O
A1,57,49.844098304,200,1000,1.491609688,O
A1,58,50.31612712,200,1000,1.524882812,O
A1,59,50.788912544,200,1000,1.555451875,O
A1,60,51.261603392,200,1000,1.583584062,O
A1,61,51.735050848,200,1000,1.610517031,O
A1,62,52.209727792,200,1000,1.638813906,O
A1,63,52.680432544,200,1000,1.663421875,O
A1,64,53.153785424,200,1000,1.685520938,O
A1,65,53.62628712,200,1000,1.705923125,O
A1,66,54.100207456,200,1000,1.722822344,O
A1,67,54.572425424,200,1000,1.740276094,O
A1,68,55.044170512,200,1000,1.755921719,O
A1,69,55.5159156,200,1000,1.768975625,O
A1,70,55.992484064,200,1000,1.781212031,O
A1,71,56.464418304,200,1000,1.790812812,O
A1,72,56.937109152,200,1000,1.796981406,O
A1,73,57.409421696,200,1000,1.805079219,O
A1,74,57.881166784,200,1000,1.810731406,O
A1,75,58.356127456,200,1000,1.813551875,O
A1,76,58.828818304,200,1000,1.81457625,O
A1,77,59.300563392,200,1000,1.816358906,O
A1,78,59.775996944,200,1000,1.814199375,O
A1,79,60.246228816,200,1000,1.812705156,O
A1,80,60.718919664,200,1000,1.805237969,O
A1,81,61.19236712,200,1000,1.784547344,O
A1,82,61.665625424,200,1000,1.766750156,O
A1,83,62.138505424,200,1000,1.756378438,O
A1,84,62.61053424,200,1000,1.745902969,O
A1,85,63.083319664,200,1000,1.737605469,O
A1,86,63.557807456,200,1000,1.726237812,O
A1,87,64.031444064,200,1000,1.717054375,O
A1,88,64.501486784,200,1000,1.712090781,O
A1,89,64.977204064,200,1000,1.700808906,O
A1,90,65.448476272,200,1000,1.69625875,O
A1,91,65.922396608,200,1000,1.687842656,O
A1,92,66.395371184,200,1000,1.679547969,O
A1,93,66.868062032,200,1000,1.672778594,O
A1,94,67.34075288,200,1000,1.664773594,O
A1,95,67.814011184,200,1000,1.656421875,O
A1,96,68.286796608,200,1000,1.64764625,O
A1,97,68.758636272,200,1000,1.639681094,O
A1,98,69.231232544,200,1000,1.632917969,O
A1,99,69.703450512,200,1000,1.624225156,O
A1,100,70.177465424,200,1000,1.613135156,O
A1,101,70.65091288,200,1000,1.608153281,O
A1,102,71.122657968,200,1000,1.598277812,O
A1,103,71.595537968,200,1000,1.591410938,O
A1,104,72.06860712,200,1000,1.582575156,O
A1,105,72.540825088,200,1000,1.574004688,O
A1,106,73.01531288,200,1000,1.565415938,O
A1,107,73.487152544,200,1000,1.55772125,O
A1,108,73.960978304,200,1000,1.550173281,O
A1,109,74.432345088,200,1000,1.540784375,O
A1,110,74.905981696,200,1000,1.531532031,O
A1,111,75.37829424,200,1000,1.524726875,O
A1,112,75.852498304,200,1000,1.515307188,O
A1,113,76.324337968,200,1000,1.506754844,O
A1,114,76.797785424,200,1000,1.49761,O
A1,115,77.271894912,200,1000,1.490952812,O
A1,116,77.742410512,200,1000,1.483517344,O
A1,117,78.215195936,200,1000,1.475499375,O
A1,118,78.688359664,200,1000,1.466195156,O
A1,119,79.161523392,200,1000,1.458387344,O
A1,120,79.635538304,200,1000,1.450324844,O
A1,121,80.107661696,200,1000,1.442447969,O
A2,1,23.363291184,200,800,0.429288906,O
A2,2,23.834752544,200,800,0.432739922,O
A2,3,24.312361344,200,800,0.43724418,O
A2,4,24.78060712,200,800,0.443514375,O
A2,5,25.25301424,200,800,0.45089668,O
A2,6,25.725988816,200,800,0.460289141,O
A2,7,26.200854912,200,800,0.470998203,O
A2,8,26.670519328,200,800,0.482873945,O
A2,9,27.14406136,200,800,0.496329805,O
A2,10,27.620346096,200,800,0.509784844,O
A2,11,28.087646112,200,800,0.524012344,O
A2,12,28.562323056,200,800,0.538266211,O
A2,13,29.036243392,200,800,0.553166133,O
A2,14,29.507893904,200,800,0.567837422,O
A2,15,29.980963056,200,800,0.583537773,O
A2,16,30.451762384,200,800,0.599031055,O
A2,17,30.931073552,200,800,0.615985,O
A2,18,31.404615584,200,800,0.63294375,O
A2,19,31.87238848,200,800,0.648747852,O
A2,20,32.352172528,200,800,0.665683516,O
A2,21,32.817770176,200,800,0.682416094,O
A2,22,33.301715568,200,800,0.699226016,O
A2,23,33.767313216,200,800,0.716095625,O
A2,24,34.237923392,200,800,0.732373672,O
A2,25,34.71014136,200,800,0.749742188,O
A2,26,35.184250848,200,800,0.767231328,O
A2,27,35.658171184,200,800,0.784414141,O
A2,28,36.129348816,200,800,0.802952812,O
A2,29,36.602701696,200,800,0.821511484,O
A2,30,37.074352208,200,800,0.841278047,O
A2,31,37.550164064,200,800,0.860906875,O
A2,32,38.021341696,200,800,0.882698281,O
A2,33,38.495167456,200,800,0.904115703,O
A2,34,38.967385424,200,800,0.926626875,O
A2,35,39.438090176,200,800,0.948305781,O
A2,36,39.912672544,200,800,0.970794609,O
A2,37,40.386498304,200,800,0.994133672,O
A2,38,40.859094576,200,800,1.020650234,O
A2,39,41.332163728,200,800,1.046691406,O
A2,40,41.805989488,200,800,1.073102578,O
A2,41,42.27622136,200,800,1.100746172,O
A2,42,42.749006784,200,800,1.12820125,O
A2,43,43.225196944,200,800,1.156090859,O
A2,44,43.697320336,200,800,1.186526094,O
A2,45,44.169065424,200,800,1.217126953,O
A2,46,44.639959328,200,800,1.247666719,O
A2,47,45.115960336,200,800,1.280504922,O
A2,48,45.587610848,200,800,1.311155,O
A2,49,46.060869152,200,800,1.344307656,O
A2,50,46.531857632,200,800,1.378417031,O
A2,51,47.005305088,200,800,1.412191875,O
A2,52,47.481022368,200,800,1.446545469,O
A2,53,47.952578304,200,800,1.478487656,O
A2,54,48.425174576,200,800,1.511122656,O
A2,55,48.896730512,200,800,1.544392344,O
A2,56,49.37131288,200,800,1.5782575,O
A2,57,49.844098304,200,800,1.608865625,O
