Well,Reading,Temperature,A,B,Emission,Helix
A1,1,23.36433152,200,1000,0.212359824,M
A1,2,23.836927792,200,1000,0.213949531,M
A1,3,24.305173568,200,1000,0.215821074,M
A1,4,24.782214912,200,1000,0.21716998,M
A1,5,25.253297968,200,1000,0.218281172,M
A1,6,25.725610512,200,1000,0.219459473,M
A1,7,26.199909152,200,1000,0.220790566,M
A1,8,26.670046448,200,1000,0.222455234,M
A1,9,27.144723392,200,1000,0.223591738,M
A1,10,27.617319664,200,1000,0.225257695,M
A1,11,28.09218576,200,1000,0.226698672,M
A1,12,28.565160336,200,1000,0.228197695,M
A1,13,29.036148816,200,1000,0.229756855,M
A1,14,29.508083056,200,1000,0.231232148,M
A1,15,29.982097968,200,1000,0.233124707,M
A1,16,30.455450848,200,1000,0.235150527,M
A1,17,30.925304416,200,1000,0.236897422,M
A1,18,31.402913216,200,1000,0.239139688,M
A1,19,31.87522576,200,1000,0.240795254,M
A1,20,32.34384984,200,1000,0.242696562,M
A1,21,32.819472544,200,1000,0.245060215,M
A1,22,33.268613968,200,1000,0.247773965,M
A1,23,33.76769152,200,1000,0.25045873,M
A1,24,34.23915288,200,1000,0.253158848,M
A1,25,34.710330512,200,1000,0.256053203,M
A1,26,35.183588816,200,1000,0.259082402,M
A1,27,35.657414576,200,1000,0.262049805,M
A1,28,36.129916272,200,1000,0.265782383,M
A1,29,36.603931184,200,1000,0.269840059,M
A1,30,37.07643288,200,1000,0.273968496,M
A1,31,37.549218304,200,1000,0.278536836,M
A1,32,38.023044064,200,1000,0.283420566,M
A1,33,38.491857296,200,1000,0.289225742,M
A1,34,38.967290848,200,1000,0.294718379,M
A1,35,39.440454576,200,1000,0.301188691,M
A1,36,39.912199664,200,1000,0.307700918,M
A1,37,40.386971184,200,1000,0.315338281,M
A1,38,40.858243392,200,1000,0.323536992,M
A1,39,41.332920336,200,1000,0.332385234,M
A1,40,41.804097968,200,1000,0.342404609,M
A1,41,42.27905864,200,1000,0.353589297,M
A1,42,42.749479664,200,1000,0.365886992,M
A1,43,43.221130176,200,1000,0.379649961,M
A1,44,43.695712544,200,1000,0.394699297,M
A1,45,44.16868712,200,1000,0.411601797,M
A1,46,44.640432208,200,1000,0.430055,M
A1,47,45.111798992,200,1000,0.451171367,M
A1,48,45.587137968,200,1000,0.473834062,M
A1,49,46.059639664,200,1000,0.499102891,M
A1,50,46.532425088,200,1000,0.527107109,M
A1,51,47.006723728,200,1000,0.557281484,M
A1,52,47.476861024,200,1000,0.589861562,M
A1,53,47.952483728,200,1000,0.624409219,M
A1,54,48.425269152,200,1000,0.663456719,M
A1,55,48.897581696,200,1000,0.704340391,M
A1,56,49.367813568,200,1000,0.749251641,M
A1,57,49.844476608,200,1000,0.797406562,M
A1,58,50.317356608,200,1000,0.849885,M
A1,59,50.788723392,200,1000,0.904233516,M
A1,60,51.261035936,200,1000,0.9616925,M
A1,61,51.734199664,200,1000,1.022070312,M
A1,62,52.208309152,200,1000,1.082249531,M
A1,63,52.681851184,200,1000,1.148820781,M
A1,64,53.154542032,200,1000,1.215499922,M
A1,65,53.626570848,200,1000,1.285002031,M
A1,66,54.099356272,200,1000,1.353727188,M
