Well,Reading,Temperature,A,B,Emission,Helix
D1,1,23.36433152,200,1000,0.261206465,P
D1,2,23.836927792,200,1000,0.26540752,P
D1,3,24.305173568,200,1000,0.268010703,P
D1,4,24.782214912,200,1000,0.271246582,P
D1,5,25.253297968,200,1000,0.273767793,P
D1,6,25.725610512,200,1000,0.276381445,P
D1,7,26.199909152,200,1000,0.27854748,P
D1,8,26.670046448,200,1000,0.281325605,P
D1,9,27.144723392,200,1000,0.284280547,P
D1,10,27.617319664,200,1000,0.286364766,P
D1,11,28.09218576,200,1000,0.28949918,P
D1,12,28.565160336,200,1000,0.292206953,P
D1,13,29.036148816,200,1000,0.293769316,P
D1,14,29.508083056,200,1000,0.295525918,P
D1,15,29.982097968,200,1000,0.297762578,P
D1,16,30.455450848,200,1000,0.30026252,P
D1,17,30.925304416,200,1000,0.30283043,P
D1,18,31.402913216,200,1000,0.30532877,P
D1,19,31.87522576,200,1000,0.307380352,P
D1,20,32.34384984,200,1000,0.309298047,P
D1,21,32.819472544,200,1000,0.311889453,P
D1,22,33.268613968,200,1000,0.314920547,P
D1,23,33.76769152,200,1000,0.316881211,P
D1,24,34.23915288,200,1000,0.320362344,P
D1,25,34.710330512,200,1000,0.323591777,P
D1,26,35.183588816,200,1000,0.327180508,P
D1,27,35.657414576,200,1000,0.329734766,P
D1,28,36.129916272,200,1000,0.332649375,P
D1,29,36.603931184,200,1000,0.336407031,P
D1,30,37.07643288,200,1000,0.339577969,P
D1,31,37.549218304,200,1000,0.343888516,P
D1,32,38.023044064,200,1000,0.347789219,P
D1,33,38.491857296,200,1000,0.352757578,P
D1,34,38.967290848,200,1000,0.35660707,P
D1,35,39.440454576,200,1000,0.360458438,P
D1,36,39.912199664,200,1000,0.365198086,P
D1,37,40.386971184,200,1000,0.369499453,P
D1,38,40.858243392,200,1000,0.374379688,P
D1,39,41.332920336,200,1000,0.379315352,P
D1,40,41.804097968,200,1000,0.384116562,P
D1,41,42.27905864,200,1000,0.388453711,P
D1,42,42.749479664,200,1000,0.393039531,P
D1,43,43.221130176,200,1000,0.397196094,P
D1,44,43.695712544,200,1000,0.402311914,P
D1,45,44.16868712,200,1000,0.405902656,P
D1,46,44.640432208,200,1000,0.409846406,P
D1,47,45.111798992,200,1000,0.415093633,P
D1,48,45.587137968,200,1000,0.417985703,P
D1,49,46.059639664,200,1000,0.422627969,P
D1,50,46.532425088,200,1000,0.427255664,P
D1,51,47.006723728,200,1000,0.431038945,P
D1,52,47.476861024,200,1000,0.433946719,P
D1,53,47.952483728,200,1000,0.438041523,P
D1,54,48.425269152,200,1000,0.442078945,P
D1,55,48.897581696,200,1000,0.446476836,P
D1,56,49.367813568,200,1000,0.451684062,P
D1,57,49.844476608,200,1000,0.456592344,P
D1,58,50.317356608,200,1000,0.462479375,P
D1,59,50.788723392,200,1000,0.468994453,P
D1,60,51.261035936,200,1000,0.474998125,P
D1,61,51.734199664,200,1000,0.481998594,P
D1,62,52.208309152,200,1000,0.490943008,P
D1,63,52.681851184,200,1000,0.500997656,P
D1,64,53.154542032,200,1000,0.512007031,P
D1,65,53.626570848,200,1000,0.524810547,P
D1,66,54.099356272,200,1000,0.538120234,P
D1,67,54.57252,200,1000,0.554771406,P
D1,68,55.045494576,200,1000,0.572782266,P
D1,69,55.517050512,200,1000,0.591644961,P
D1,70,55.9887956,200,1000,0.615621523,P
D1,71,56.463661696,200,1000,0.640295,P
D1,72,56.93502848,200,1000,0.668919531,P
D1,73,57.409137968,200,1000,0.700394922,P
D1,74,57.88268,200,1000,0.733462734,P
D1,75,58.356316608,200,1000,0.771294375,P
D1,76,58.828345424,200,1000,0.815221172,P
D1,77,59.29990136,200,1000,0.85595125,P
D1,78,59.772875936,200,1000,0.901108984,P
D1,79,60.245755936,200,1000,0.951425938,P
D1,80,60.718257632,200,1000,1.005242266,P
D1,81,61.192745424,200,1000,1.059148203,P
D1,82,61.664490512,200,1000,1.115403125,P
D1,83,62.138505424,200,1000,1.173810547,P
D1,84,62.612047456,200,1000,1.228417031,P
D1,85,63.083792544,200,1000,1.289293906,P
D1,86,63.558469488,200,1000,1.344618594,P
D1,87,64.030403728,200,1000,1.39356,P
D1,88,64.503662032,200,1000,1.444017344,P
D1,89,64.975501696,200,1000,1.487631562,P
D1,90,65.44734136,200,1000,1.528225781,P
D1,91,65.921545424,200,1000,1.575617344,P
D1,92,66.39546576,200,1000,1.611260469,P
D1,93,66.868534912,200,1000,1.643059844,P
D1,94,67.338672208,200,1000,1.676299688,P
D1,95,67.812308816,200,1000,1.705189375,P
D1,96,68.286134576,200,1000,1.73389125,P
D1,97,68.758541696,200,1000,1.752344375,P
D1,98,69.232556608,200,1000,1.772919531,P
D1,99,69.704585424,200,1000,1.786942656,P
D1,100,70.176897968,200,1000,1.801497188,P
D1,101,70.649777968,200,1000,1.810947344,P
D1,102,71.120861024,200,1000,1.818980312,P
D1,103,71.5962,200,1000,1.825935781,P
D1,104,72.068417968,200,1000,1.8260625,P
D1,105,72.541581696,200,1000,1.834858438,P
D1,106,73.014177968,200,1000,1.83729,P
D1,107,73.488098304,200,1000,1.832325156,P
D1,108,73.96012712,200,1000,1.831118281,P
D1,109,74.432345088,200,1000,1.826102812,P
D1,110,74.905603392,200,1000,1.821737344,P
D1,111,75.37782136,200,1000,1.824594375,P
D1,112,75.85164712,200,1000,1.82124125,P
D1,113,76.325851184,200,1000,1.81488875,P
D1,114,76.796272208,200,1000,1.801299375,P
D1,115,77.269530512,200,1000,1.808560781,P
D1,116,77.746193552,200,1000,1.796810469,P
D1,117,78.216614576,200,1000,1.780567031,P
D1,118,78.687697632,200,1000,1.775730156,P
D1,119,79.160293904,200,1000,1.770941094,P
D1,120,79.635916608,200,1000,1.7645975,P
D1,121,80.10662136,200,1000,1.754322031,P
D2,1,23.36433152,200,800,0.297984199,P
D2,2,23.836927792,200,800,0.300723887,P
D2,3,24.305173568,200,800,0.306115391,P
D2,4,24.782214912,200,800,0.308018223,P
D2,5,25.253297968,200,800,0.31119252,P
