"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.361115936,200,1000,0.186325176
"A1","2",23.831726112,200,1000,0.186813008
"A1","3",24.308862032,200,1000,0.187033125
"A1","4",24.78249864,200,1000,0.187477656
"A1","5",25.25254136,200,1000,0.187993184
"A1","6",25.725988816,200,1000,0.188275273
"A1","7",26.202841008,200,1000,0.188597773
"A1","8",26.671843392,200,1000,0.188943457
"A1","9",27.143210176,200,1000,0.189554219
"A1","10",27.61694136,200,1000,0.189817031
"A1","11",28.094644736,200,1000,0.190027617
"A1","12",28.56317424,200,1000,0.190807656
"A1","13",29.032365776,200,1000,0.191202715
"A1","14",29.511014912,200,1000,0.192161016
"A1","15",29.985502704,200,1000,0.193031738
"A1","16",30.455734576,200,1000,0.193622129
"A1","17",30.922088832,200,1000,0.194516855
"A1","18",31.403196944,200,1000,0.195412734
"A1","19",31.876738976,200,1000,0.196441055
"A1","20",32.336662064,200,1000,0.197457246
"A1","21",32.82193152,200,1000,0.199160723
"A1","22",33.291879664,200,1000,0.200563926
"A1","23",33.766367456,200,1000,0.202074941
"A1","24",34.238301696,200,1000,0.203850352
"A1","25",34.712789488,200,1000,0.205851836
"A1","26",35.182926784,200,1000,0.208058906
"A1","27",35.658644064,200,1000,0.210447344
"A1","28",36.130578304,200,1000,0.212940762
"A1","29",36.602701696,200,1000,0.21607998
"A1","30",37.076622032,200,1000,0.219261465
"A1","31",37.546191872,200,1000,0.222978359
"A1","32",38.022003728,200,1000,0.226989277
"A1","33",38.495640336,200,1000,0.231088711
"A1","34",38.96700712,200,1000,0.235844707
"A1","35",39.44036,200,1000,0.241155547
"A1","36",39.913618304,200,1000,0.246940859
"A1","37",40.386025424,200,1000,0.253653086
"A1","38",40.858905424,200,1000,0.261087656
"A1","39",41.332731184,200,1000,0.269364785
"A1","40",41.804476272,200,1000,0.278938555
"A1","41",42.278396608,200,1000,0.289653828
"A1","42",42.751844064,200,1000,0.301816094
"A1","43",43.223683728,200,1000,0.315483965
"A1","44",43.695901696,200,1000,0.330994844
"A1","45",44.169538304,200,1000,0.348423203
"A1","46",44.643269488,200,1000,0.367500938
"A1","47",45.116149488,200,1000,0.38963
"A1","48",45.587989152,200,1000,0.413857422
"A1","49",46.060585424,200,1000,0.440815312
"A1","50",46.534127456,200,1000,0.471180664
"A1","51",47.005305088,200,1000,0.504663164
"A1","52",47.478279664,200,1000,0.541970391
"A1","53",47.95314576,200,1000,0.581428906
"A1","54",48.424417968,200,1000,0.626596172
"A1","55",48.897108816,200,1000,0.674451016
"A1","56",49.369232208,200,1000,0.729020703
"A1","57",49.84419288,200,1000,0.784962578
"A1","58",50.31754576,200,1000,0.849968672
"A1","59",50.789290848,200,1000,0.917112891
"A1","60",51.260279328,200,1000,0.989699219
"A1","61",51.733537632,200,1000,1.063888125
"A1","62",52.208025424,200,1000,1.142040938
"A1","63",52.68005424,200,1000,1.222420234
"A1","64",53.154920336,200,1000,1.305943438
"A1","65",53.625908816,200,1000,1.390967812
"A1","66",54.099545424,200,1000,1.475508281
"A1","67",54.571952544,200,1000,1.561485469
"A1","68",55.045210848,200,1000,1.647658906
"A1","69",55.518563728,200,1000,1.728979375
"A1","70",55.991065424,200,1000,1.812115625
"A1","71",56.463756272,200,1000,1.886649844
"A1","72",56.93597424,200,1000,1.959132031
