"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.366979648,200,1000,0.399293203
"D1","2",23.838441008,200,1000,0.40749957
"D1","3",24.307065088,200,1000,0.415276094
"D1","4",24.78297152,200,1000,0.422274844
"D1","5",25.253676272,200,1000,0.429338945
"D1","6",25.728447792,200,1000,0.438489531
"D1","7",26.199814576,200,1000,0.444565586
"D1","8",26.671086784,200,1000,0.45497457
"D1","9",27.142831872,200,1000,0.462950078
"D1","10",27.6159956,200,1000,0.471429219
"D1","11",28.091145424,200,1000,0.481068438
"D1","12",28.563836272,200,1000,0.491534531
"D1","13",29.033122384,200,1000,0.501220156
"D1","14",29.507610176,200,1000,0.511272578
"D1","15",29.9851244,200,1000,0.520587031
"D1","16",30.452518992,200,1000,0.530742617
"D1","17",30.930033216,200,1000,0.537849883
"D1","18",31.404615584,200,1000,0.549998789
"D1","19",31.87333424,200,1000,0.557303672
"D1","20",32.350281008,200,1000,0.566444375
"D1","21",32.820607456,200,1000,0.578521953
"D1","22",33.276463776,200,1000,0.591099258
"D1","23",33.765043392,200,1000,0.598969922
"D1","24",34.238490848,200,1000,0.610307109
"D1","25",34.712222032,200,1000,0.620289023
"D1","26",35.184345424,200,1000,0.630875156
"D1","27",35.656657968,200,1000,0.641536172
"D1","28",36.131429488,200,1000,0.650700469
"D1","29",36.603647456,200,1000,0.6618225
"D1","30",37.075676272,200,1000,0.6744425
"D1","31",37.547705088,200,1000,0.68268
"D1","32",38.019923056,200,1000,0.693149062
"D1","33",38.494505424,200,1000,0.704094062
"D1","34",38.966439664,200,1000,0.716232656
"D1","35",39.440170848,200,1000,0.725341172
"D1","36",39.91371288,200,1000,0.737090469
"D1","37",40.385930848,200,1000,0.746382109
"D1","38",40.858337968,200,1000,0.75917
"D1","39",41.33140712,200,1000,0.775671016
"D1","40",41.804192544,200,1000,0.786610625
"D1","41",42.278964064,200,1000,0.801811484
"D1","42",42.751087456,200,1000,0.816033438
"D1","43",43.22387288,200,1000,0.828895781
"D1","44",43.697793216,200,1000,0.847162891
"D1","45",44.169254576,200,1000,0.864160547
"D1","46",44.644026096,200,1000,0.884740781
"D1","47",45.113879664,200,1000,0.904686797
"D1","48",45.588083728,200,1000,0.925205078
"D1","49",46.059828816,200,1000,0.946039141
"D1","50",46.53261424,200,1000,0.971849062
"D1","51",47.007291184,200,1000,0.997368828
"D1","52",47.477806784,200,1000,1.022605469
"D1","53",47.952294576,200,1000,1.04579625
"D1","54",48.426404064,200,1000,1.072860859
"D1","55",48.89843288,200,1000,1.100195469
"D1","56",49.37131288,200,1000,1.131588125
"D1","57",49.843152544,200,1000,1.157515469
"D1","58",50.316978304,200,1000,1.187834141
"D1","59",50.78995288,200,1000,1.216831172
"D1","60",51.264156944,200,1000,1.243795312
"D1","61",51.734199664,200,1000,1.272259375
"D1","62",52.20953864,200,1000,1.297643438
"D1","63",52.680432544,200,1000,1.324477969
"D1","64",53.152555936,200,1000,1.351150156
"D1","65",53.626949152,200,1000,1.374611719
"D1","66",54.10011288,200,1000,1.400176094
"D1","67",54.573276608,200,1000,1.421831719
"D1","68",55.043603056,200,1000,1.444397188
"D1","69",55.518374576,200,1000,1.462765469
"D1","70",55.990592544,200,1000,1.483615781
"D1","71",56.46214848,200,1000,1.504989844
"D1","72",56.939000672,200,1000,1.511633906
"D1","73",57.409989152,200,1000,1.529910781
"D1","74",57.883058304,200,1000,1.547287188
"D1","75",58.355181696,200,1000,1.559443594
"D1","76",58.828723728,200,1000,1.577272812
"D1","77",59.30037424,200,1000,1.582562969
"D1","78",59.775524064,200,1000,1.591806406
"D1","79",60.246228816,200,1000,1.599760625
"D1","80",60.71901424,200,1000,1.614545
"D1","81",61.190664752,200,1000,1.621496406
"D1","82",61.665625424,200,1000,1.628928906
"D1","83",62.138978304,200,1000,1.630403594
"D1","84",62.612047456,200,1000,1.636825
"D1","85",63.086156944,200,1000,1.650480156
"D1","86",63.557807456,200,1000,1.649855781
"D1","87",64.028039328,200,1000,1.639039531
"D1","88",64.503283728,200,1000,1.638720781
"D1","89",64.976447456,200,1000,1.632543281
"D1","90",65.446963056,200,1000,1.63665625
"D1","91",65.920788816,200,1000,1.634631406
"D1","92",66.39641152,200,1000,1.632437031
"D1","93",66.867589152,200,1000,1.625486875
"D1","94",67.33980712,200,1000,1.630970938
"D1","95",67.811363056,200,1000,1.633287812
"D1","96",68.287174912,200,1000,1.63758375
"D1","97",68.756933904,200,1000,1.627116562
"D1","98",69.231894576,200,1000,1.638610625
"D1","99",69.703639664,200,1000,1.637061875
"D1","100",70.17756,200,1000,1.634666094
"D1","101",70.650534576,200,1000,1.628645156
"D1","102",71.121806784,200,1000,1.637048281
"D1","103",71.594970512,200,1000,1.638045625
"D1","104",72.068323392,200,1000,1.637761719
"D1","105",72.541297968,200,1000,1.635480938
"D1","106",73.014272544,200,1000,1.634963125
"D1","107",73.486490512,200,1000,1.635346094
"D1","108",73.959559664,200,1000,1.629045
"D1","109",74.431493904,200,1000,1.627682031
"D1","110",74.907116608,200,1000,1.628575625
"D1","111",75.378956272,200,1000,1.633547344
"D1","112",75.850512208,200,1000,1.624974688
"D1","113",76.323959664,200,1000,1.626753281
"D1","114",76.79835288,200,1000,1.625328281
"D1","115",77.270949152,200,1000,1.614552188
"D1","116",77.743734576,200,1000,1.620399375
"D1","117",78.215290512,200,1000,1.616990781
"D1","118",78.68892712,200,1000,1.61889125
"D1","119",79.162942032,200,1000,1.614647812
"D1","120",79.634403392,200,1000,1.605018906
"D1","121",80.106337632,200,1000,1.607034844
"D2","1",23.366979648,200,800,0.451729258
"D2","2",23.838441008,200,800,0.456907734
"D2","3",24.307065088,200,800,0.462714961
"D2","4",24.78297152,200,800,0.474926992
"D2","5",25.253676272,200,800,0.482833008
"D2","6",25.728447792,200,800,0.491295156
"D2","7",26.199814576,200,800,0.501876289
"D2","8",26.671086784,200,800,0.511953398
"D2","9",27.142831872,200,800,0.521444102
"D2","10",27.6159956,200,800,0.532628398
"D2","11",28.091145424,200,800,0.541834609
"D2","12",28.563836272,200,800,0.551308906
"D2","13",29.033122384,200,800,0.564432148
"D2","14",29.507610176,200,800,0.574552305
"D2","15",29.9851244,200,800,0.585115859
"D2","16",30.452518992,200,800,0.595500312
"D2","17",30.930033216,200,800,0.607215391
"D2","18",31.404615584,200,800,0.616646992
"D2","19",31.87333424,200,800,0.628669102
"D2","20",32.350281008,200,800,0.638956211
"D2","21",32.820607456,200,800,0.649810391
"D2","22",33.276463776,200,800,0.661735156
"D2","23",33.765043392,200,800,0.673928828
"D2","24",34.238490848,200,800,0.684248047
"D2","25",34.712222032,200,800,0.695661719
"D2","26",35.184345424,200,800,0.706625859
"D2","27",35.656657968,200,800,0.720352344
"D2","28",36.131429488,200,800,0.728859531
"D2","29",36.603647456,200,800,0.742755078
"D2","30",37.075676272,200,800,0.756811172
"D2","31",37.547705088,200,800,0.768757422
"D2","32",38.019923056,200,800,0.782588516
