"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.367925408,200,1000,0.210224062
"A1","2",23.836360336,200,1000,0.212622637
"A1","3",24.313023376,200,1000,0.215013848
"A1","4",24.777864416,200,1000,0.217566074
"A1","5",25.254716608,200,1000,0.220316758
"A1","6",25.72825864,200,1000,0.222943125
"A1","7",26.200098304,200,1000,0.225960566
"A1","8",26.67401864,200,1000,0.229326953
"A1","9",27.144250512,200,1000,0.232149863
"A1","10",27.619494912,200,1000,0.236557227
"A1","11",28.091902032,200,1000,0.240269277
"A1","12",28.56270136,200,1000,0.244649004
"A1","13",29.038796944,200,1000,0.249531113
"A1","14",29.510542032,200,1000,0.254584551
"A1","15",29.982570848,200,1000,0.260207832
"A1","16",30.448263072,200,1000,0.266371465
"A1","17",30.925871872,200,1000,0.273571094
"A1","18",31.397238656,200,1000,0.281015996
"A1","19",31.877401008,200,1000,0.289688574
"A1","20",32.346781696,200,1000,0.299728418
"A1","21",32.820418304,200,1000,0.310836445
"A1","22",33.301337264,200,1000,0.323852148
"A1","23",33.762773568,200,1000,0.337826328
"A1","24",34.235180688,200,1000,0.353444492
"A1","25",34.709479328,200,1000,0.372480078
"A1","26",35.184061696,200,1000,0.393028242
"A1","27",35.656468816,200,1000,0.416135625
"A1","28",36.130105424,200,1000,0.442416836
"A1","29",36.603269152,200,1000,0.472616328
"A1","30",37.076527456,200,1000,0.506617539
"A1","31",37.549596608,200,1000,0.543803828
"A1","32",38.021814576,200,1000,0.587575078
"A1","33",38.494789152,200,1000,0.635655586
"A1","34",38.96606136,200,1000,0.687578047
"A1","35",39.441400336,200,1000,0.745977266
"A1","36",39.912105088,200,1000,0.811466094
"A1","37",40.386782032,200,1000,0.882521875
"A1","38",40.86041864,200,1000,0.95896
"A1","39",41.331974576,200,1000,1.040704297
"A1","40",41.804192544,200,1000,1.127771406
"A1","41",42.275464752,200,1000,1.218471562
"A1","42",42.749668816,200,1000,1.315592188
"A1","43",43.22387288,200,1000,1.415020781
"A1","44",43.69628,200,1000,1.512067344
"A1","45",44.170200336,200,1000,1.61510375
"A1","46",44.640810512,200,1000,1.716334062
"A1","47",45.115298304,200,1000,1.818509219
"A1","48",45.587989152,200,1000,1.918772344
"A1","49",46.058883056,200,1000,2.014930938
"A1","50",46.53261424,200,1000,2.107415469
"A1","51",47.004170176,200,1000,2.195018906
"A1","52",47.479225424,200,1000,2.279352656
"A1","53",47.950875936,200,1000,2.352935156
"A1","54",48.424796272,200,1000,2.423333594
"A1","55",48.896446784,200,1000,2.484085781
"A1","56",49.37084,200,1000,2.54409125
"A1","57",49.842963392,200,1000,2.592802969
"A1","58",50.318869824,200,1000,2.639470938
"A1","59",50.789290848,200,1000,2.677292188
"A1","60",51.260279328,200,1000,2.710560938
"A1","61",51.73429424,200,1000,2.736358125
"A1","62",52.209160336,200,1000,2.764089062
"A1","63",52.68194576,200,1000,2.78188875
"A1","64",53.150286112,200,1000,2.796081562
"A1","65",53.624679328,200,1000,2.809314688
"A1","66",54.098505088,200,1000,2.82216875
"A1","67",54.57062848,200,1000,2.829779688
"A1","68",55.046251184,200,1000,2.83171625
"A1","69",55.51686136,200,1000,2.839510938
