"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.367925408,200,1000,0.222965918
"D1","2",23.836360336,200,1000,0.225986211
"D1","3",24.313023376,200,1000,0.228580645
"D1","4",24.777864416,200,1000,0.230748066
"D1","5",25.254716608,200,1000,0.232963633
"D1","6",25.72825864,200,1000,0.23572207
"D1","7",26.200098304,200,1000,0.238194082
"D1","8",26.67401864,200,1000,0.241630918
"D1","9",27.144250512,200,1000,0.24405791
"D1","10",27.619494912,200,1000,0.247956738
"D1","11",28.091902032,200,1000,0.251618672
"D1","12",28.56270136,200,1000,0.255707793
"D1","13",29.038796944,200,1000,0.259669023
"D1","14",29.510542032,200,1000,0.26385832
"D1","15",29.982570848,200,1000,0.267330508
"D1","16",30.448263072,200,1000,0.272059375
"D1","17",30.925871872,200,1000,0.276519453
"D1","18",31.397238656,200,1000,0.281329609
"D1","19",31.877401008,200,1000,0.286726113
"D1","20",32.346781696,200,1000,0.29280916
"D1","21",32.820418304,200,1000,0.298331855
"D1","22",33.301337264,200,1000,0.304823398
"D1","23",33.762773568,200,1000,0.31192666
"D1","24",34.235180688,200,1000,0.319393535
"D1","25",34.709479328,200,1000,0.328469531
"D1","26",35.184061696,200,1000,0.33752957
"D1","27",35.656468816,200,1000,0.347399961
"D1","28",36.130105424,200,1000,0.358536953
"D1","29",36.603269152,200,1000,0.370514414
"D1","30",37.076527456,200,1000,0.384206367
"D1","31",37.549596608,200,1000,0.397798867
"D1","32",38.021814576,200,1000,0.413049375
"D1","33",38.494789152,200,1000,0.431351875
"D1","34",38.96606136,200,1000,0.450030156
"D1","35",39.441400336,200,1000,0.470177383
"D1","36",39.912105088,200,1000,0.493902578
"D1","37",40.386782032,200,1000,0.517951719
"D1","38",40.86041864,200,1000,0.545784766
"D1","39",41.331974576,200,1000,0.575885312
"D1","40",41.804192544,200,1000,0.606594297
"D1","41",42.275464752,200,1000,0.64143957
"D1","42",42.749668816,200,1000,0.678306484
"D1","43",43.22387288,200,1000,0.719461953
"D1","44",43.69628,200,1000,0.761513438
"D1","45",44.170200336,200,1000,0.809712656
"D1","46",44.640810512,200,1000,0.858218906
"D1","47",45.115298304,200,1000,0.912411719
"D1","48",45.587989152,200,1000,0.973054922
"D1","49",46.058883056,200,1000,1.031314453
"D1","50",46.53261424,200,1000,1.093203125
"D1","51",47.004170176,200,1000,1.164995703
"D1","52",47.479225424,200,1000,1.231052422
"D1","53",47.950875936,200,1000,1.299113359
"D1","54",48.424796272,200,1000,1.373057031
"D1","55",48.896446784,200,1000,1.445341094
"D1","56",49.37084,200,1000,1.518825
"D1","57",49.842963392,200,1000,1.592435781
"D1","58",50.318869824,200,1000,1.665659531
"D1","59",50.789290848,200,1000,1.737895938
"D1","60",51.260279328,200,1000,1.810428438
"D1","61",51.73429424,200,1000,1.876835469
"D1","62",52.209160336,200,1000,1.945545156
"D1","63",52.68194576,200,1000,2.008595469
"D1","64",53.150286112,200,1000,2.061186562
"D1","65",53.624679328,200,1000,2.124492812
"D1","66",54.098505088,200,1000,2.168095312
"D1","67",54.57062848,200,1000,2.224562188
"D1","68",55.046251184,200,1000,2.261948594
"D1","69",55.51686136,200,1000,2.303208281
"D1","70",55.989363056,200,1000,2.336771406
"D1","71",56.464702032,200,1000,2.374796719
"D1","72",56.93692,200,1000,2.396225
"D1","73",57.41074576,200,1000,2.422618438
"D1","74",57.88268,200,1000,2.442136406
"D1","75",58.353952208,200,1000,2.45771625
"D1","76",58.828723728,200,1000,2.474286719
"D1","77",59.30037424,200,1000,2.484725469
"D1","78",59.774956608,200,1000,2.501952656
"D1","79",60.248120336,200,1000,2.499313125
"D1","80",60.720716608,200,1000,2.5170725
"D1","81",61.192272544,200,1000,2.513596875
"D1","82",61.664868816,200,1000,2.513273906
"D1","83",62.138505424,200,1000,2.494529375
"D1","84",62.611196272,200,1000,2.479699375
"D1","85",63.084549152,200,1000,2.469479688
"D1","86",63.556861696,200,1000,2.458077812
"D1","87",64.030782032,200,1000,2.439635469
"D1","88",64.502716272,200,1000,2.446701094
"D1","89",64.975690848,200,1000,2.422860469
"D1","90",65.447908816,200,1000,2.430544531
"D1","91",65.922302032,200,1000,2.417461406
"D1","92",66.39499288,200,1000,2.414335156
"D1","93",66.866548816,200,1000,2.398791562
"D1","94",67.340469152,200,1000,2.394401719
"D1","95",67.812308816,200,1000,2.381264688
"D1","96",68.285661696,200,1000,2.377465625
"D1","97",68.756366448,200,1000,2.369727344
"D1","98",69.232367456,200,1000,2.365699062
"D1","99",69.704301696,200,1000,2.345741875
"D1","100",70.178789488,200,1000,2.330754688
"D1","101",70.650061696,200,1000,2.327387031
"D1","102",71.123509152,200,1000,2.316989531
"D1","103",71.595348816,200,1000,2.298347031
"D1","104",72.068512544,200,1000,2.294742188
"D1","105",72.541770848,200,1000,2.276632031
"D1","106",73.015123728,200,1000,2.275967031
"D1","107",73.48866576,200,1000,2.259559375
"D1","108",73.961734912,200,1000,2.248235469
"D1","109",74.433574576,200,1000,2.244412656
"D1","110",74.90446848,200,1000,2.229390938
"D1","111",75.379618304,200,1000,2.216593906
"D1","112",75.850795936,200,1000,2.209691875
"D1","113",76.325378304,200,1000,2.205575156
"D1","114",76.797217968,200,1000,2.197136875
"D1","115",77.271043728,200,1000,2.176023281
"D1","116",77.743829152,200,1000,2.170065312
"D1","117",78.215290512,200,1000,2.158125
"D1","118",78.689021696,200,1000,2.154942031
"D1","119",79.161050512,200,1000,2.140535938
"D1","120",79.634876272,200,1000,2.130633594
"D1","121",80.109269488,200,1000,2.112757344
"D2","1",23.367925408,200,800,0.23824332
"D2","2",23.836360336,200,800,0.239956895
"D2","3",24.313023376,200,800,0.243318555
"D2","4",24.777864416,200,800,0.245103652
"D2","5",25.254716608,200,800,0.247272773
"D2","6",25.72825864,200,800,0.250109453
"D2","7",26.200098304,200,800,0.253598027
"D2","8",26.67401864,200,800,0.257154707
"D2","9",27.144250512,200,800,0.260376484
"D2","10",27.619494912,200,800,0.264612949
"D2","11",28.091902032,200,800,0.267564355
"D2","12",28.56270136,200,800,0.272271328
"D2","13",29.038796944,200,800,0.276726113
"D2","14",29.510542032,200,800,0.281092051
"D2","15",29.982570848,200,800,0.285488418
"D2","16",30.448263072,200,800,0.291195703
"D2","17",30.925871872,200,800,0.296645078
"D2","18",31.397238656,200,800,0.30251959
"D2","19",31.877401008,200,800,0.308082012
"D2","20",32.346781696,200,800,0.314660312
"D2","21",32.820418304,200,800,0.322519688
"D2","22",33.301337264,200,800,0.329229648
"D2","23",33.762773568,200,800,0.338677344
"D2","24",34.235180688,200,800,0.347047812
"D2","25",34.709479328,200,800,0.355482656
"D2","26",35.184061696,200,800,0.366976562
"D2","27",35.656468816,200,800,0.376521016
"D2","28",36.130105424,200,800,0.388562344
"D2","29",36.603269152,200,800,0.402069844
"D2","30",37.076527456,200,800,0.415937461
"D2","31",37.549596608,200,800,0.431352188
"D2","32",38.021814576,200,800,0.449489492
"D2","33",38.494789152,200,800,0.470612031
"D2","34",38.96606136,200,800,0.4908175
"D2","35",39.441400336,200,800,0.515714102
"D2","36",39.912105088,200,800,0.541566055
"D2","37",40.386782032,200,800,0.569615117
"D2","38",40.86041864,200,800,0.599658047
"D2","39",41.331974576,200,800,0.633775469
"D2","40",41.804192544,200,800,0.670379141
"D2","41",42.275464752,200,800,0.711002109
"D2","42",42.749668816,200,800,0.752731953
"D2","43",43.22387288,200,800,0.797599531
"D2","44",43.69628,200,800,0.849011797
"D2","45",44.170200336,200,800,0.900165078
"D2","46",44.640810512,200,800,0.95476625
"D2","47",45.115298304,200,800,1.015539922
