"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.362156272,200,1000,0.237052344
"A1","2",23.835225424,200,1000,0.238496152
"A1","3",24.308956608,200,1000,0.240911777
"A1","4",24.78108,200,1000,0.242766465
"A1","5",25.252919664,200,1000,0.244573242
"A1","6",25.726272544,200,1000,0.246152715
"A1","7",26.198679664,200,1000,0.248172871
"A1","8",26.67307288,200,1000,0.250590176
"A1","9",27.14548,200,1000,0.252797305
"A1","10",27.617981696,200,1000,0.255263555
"A1","11",28.090956272,200,1000,0.25723623
"A1","12",28.56459288,200,1000,0.259753066
"A1","13",29.040877616,200,1000,0.262195527
"A1","14",29.507326448,200,1000,0.264252168
"A1","15",29.986921344,200,1000,0.266952051
"A1","16",30.454126784,200,1000,0.269857207
"A1","17",30.925020688,200,1000,0.272278633
"A1","18",31.402629488,200,1000,0.275017852
"A1","19",31.87428,200,1000,0.277484453
"A1","20",32.340350528,200,1000,0.280031797
"A1","21",32.82098576,200,1000,0.282676836
"A1","22",33.280908848,200,1000,0.285254531
"A1","23",33.765610848,200,1000,0.288415098
"A1","24",34.23915288,200,1000,0.291263672
"A1","25",34.710708816,200,1000,0.294309883
"A1","26",35.18491288,200,1000,0.29704627
"A1","27",35.65684712,200,1000,0.29978959
"A1","28",36.131240336,200,1000,0.30312541
"A1","29",36.603836608,200,1000,0.30610375
"A1","30",37.07737864,200,1000,0.309646582
"A1","31",37.54978576,200,1000,0.312877344
"A1","32",38.023422368,200,1000,0.316283438
"A1","33",38.493559664,200,1000,0.319673594
"A1","34",38.967669152,200,1000,0.323429727
"A1","35",39.439603392,200,1000,0.327472422
"A1","36",39.913523728,200,1000,0.33143582
"A1","37",40.384512208,200,1000,0.335834805
"A1","38",40.85852712,200,1000,0.34124168
"A1","39",41.332163728,200,1000,0.346643672
"A1","40",41.804192544,200,1000,0.352195898
"A1","41",42.276788816,200,1000,0.359192422
"A1","42",42.751087456,200,1000,0.366344688
"A1","43",43.225196944,200,1000,0.374859883
"A1","44",43.696090848,200,1000,0.38344832
"A1","45",44.16963288,200,1000,0.394478789
"A1","46",44.641472544,200,1000,0.406224297
"A1","47",45.113879664,200,1000,0.420241133
"A1","48",45.587232544,200,1000,0.43587625
"A1","49",46.061720336,200,1000,0.453534766
"A1","50",46.532803392,200,1000,0.473409766
"A1","51",47.006723728,200,1000,0.496392852
"A1","52",47.479036272,200,1000,0.521233555
"A1","53",47.952105424,200,1000,0.54921418
"A1","54",48.423566784,200,1000,0.581861523
"A1","55",48.896635936,200,1000,0.615859805
"A1","56",49.368097296,200,1000,0.654457266
"A1","57",49.842963392,200,1000,0.695151719
"A1","58",50.31470848,200,1000,0.741288125
"A1","59",50.788439664,200,1000,0.788748516
"A1","60",51.26094136,200,1000,0.840132656
"A1","61",51.732781024,200,1000,0.893495547
"A1","62",52.205471872,200,1000,0.947838906
"A1","63",52.680432544,200,1000,1.004418125
"A1","64",53.153501696,200,1000,1.061160781
"A1","65",53.626381696,200,1000,1.118976719
"A1","66",54.09964,200,1000,1.176408984
"A1","67",54.571668816,200,1000,1.232124922
"A1","68",55.045683728,200,1000,1.2850275
"A1","69",55.51733424,200,1000,1.337292344
"A1","70",55.989646784,200,1000,1.389043906
"A1","71",56.462905088,200,1000,1.434627812
"A1","72",56.939189824,200,1000,1.477479062
"A1","73",57.410083728,200,1000,1.514785781
"A1","74",57.881166784,200,1000,1.551820312
"A1","75",58.35556,200,1000,1.584164375
"A1","76",58.828061696,200,1000,1.614185625
"A1","77",59.29848272,200,1000,1.640524375
"A1","78",59.772970512,200,1000,1.665061406
"A1","79",60.246417968,200,1000,1.686871875
"A1","80",60.71996,200,1000,1.706880938
"A1","81",61.191799664,200,1000,1.721592656
"A1","82",61.665152544,200,1000,1.737880469
"A1","83",62.137843392,200,1000,1.751482812
"A1","84",62.61242576,200,1000,1.762015156
"A1","85",63.083603392,200,1000,1.773315469
"A1","86",63.557050848,200,1000,1.781972344
"A1","87",64.028795936,200,1000,1.791437344
"A1","88",64.502810848,200,1000,1.79188125
"A1","89",64.974745088,200,1000,1.786949062
"A1","90",65.447530512,200,1000,1.78224375
"A1","91",65.92211288,200,1000,1.780429375
"A1","92",66.395560336,200,1000,1.776586094
"A1","93",66.866643392,200,1000,1.776027812
"A1","94",67.339428816,200,1000,1.777190469
"A1","95",67.812119664,200,1000,1.775098125
"A1","96",68.286607456,200,1000,1.777101719
"A1","97",68.757879664,200,1000,1.775907969
"A1","98",69.233029488,200,1000,1.775734688
"A1","99",69.703923392,200,1000,1.778424375
"A1","100",70.178316608,200,1000,1.775233281
"A1","101",70.650345424,200,1000,1.77711125
"A1","102",71.122468816,200,1000,1.776603438
"A1","103",71.59478136,200,1000,1.776585625
"A1","104",72.068512544,200,1000,1.778655625
"A1","105",72.54148712,200,1000,1.775922969
"A1","106",73.015691184,200,1000,1.775368281
"A1","107",73.488287456,200,1000,1.775473125
"A1","108",73.960032544,200,1000,1.772769375
"A1","109",74.433858304,200,1000,1.77294875
"A1","110",74.90636,200,1000,1.771779375
"A1","111",75.378483392,200,1000,1.770453438
"A1","112",75.851363392,200,1000,1.768259375
"A1","113",76.323770512,200,1000,1.76835875
"A1","114",76.798542032,200,1000,1.762763594
"A1","115",77.270192544,200,1000,1.762182188
"A1","116",77.742505088,200,1000,1.759710312
"A1","117",78.218033216,200,1000,1.757761094
"A1","118",78.690062032,200,1000,1.755661875
"A1","119",79.16133424,200,1000,1.752677812
"A1","120",79.634025088,200,1000,1.748438594
"A1","121",80.107472544,200,1000,1.744800781
"A2","1",23.362156272,200,800,0.28507834
"A2","2",23.835225424,200,800,0.288327988
"A2","3",24.308956608,200,800,0.29099627
"A2","4",24.78108,200,800,0.292625586
"A2","5",25.252919664,200,800,0.294393672
"A2","6",25.726272544,200,800,0.296066172
"A2","7",26.198679664,200,800,0.298132227
"A2","8",26.67307288,200,800,0.300265312
"A2","9",27.14548,200,800,0.302647109
"A2","10",27.617981696,200,800,0.304722793
"A2","11",28.090956272,200,800,0.307080273
"A2","12",28.56459288,200,800,0.309216406
"A2","13",29.040877616,200,800,0.311919277
"A2","14",29.507326448,200,800,0.314642793
"A2","15",29.986921344,200,800,0.317202969
"A2","16",30.454126784,200,800,0.319469199
"A2","17",30.925020688,200,800,0.322061035
"A2","18",31.402629488,200,800,0.324726211
"A2","19",31.87428,200,800,0.327402441
"A2","20",32.340350528,200,800,0.330462578
"A2","21",32.82098576,200,800,0.333313242
"A2","22",33.280908848,200,800,0.336039414
"A2","23",33.765610848,200,800,0.338797383
"A2","24",34.23915288,200,800,0.341738828
"A2","25",34.710708816,200,800,0.344759297
"A2","26",35.18491288,200,800,0.347764648
"A2","27",35.65684712,200,800,0.350988789
"A2","28",36.131240336,200,800,0.354279609
"A2","29",36.603836608,200,800,0.357915664
"A2","30",37.07737864,200,800,0.361248281
"A2","31",37.54978576,200,800,0.364692578
"A2","32",38.023422368,200,800,0.368601875
"A2","33",38.493559664,200,800,0.372723594
"A2","34",38.967669152,200,800,0.376767461
"A2","35",39.439603392,200,800,0.381421172
"A2","36",39.913523728,200,800,0.386560508
"A2","37",40.384512208,200,800,0.391737852
"A2","38",40.85852712,200,800,0.398190547
"A2","39",41.332163728,200,800,0.404768594
"A2","40",41.804192544,200,800,0.411639219
"A2","41",42.276788816,200,800,0.420049297
"A2","42",42.751087456,200,800,0.429431367
"A2","43",43.225196944,200,800,0.439851758
"A2","44",43.696090848,200,800,0.45116543
"A2","45",44.16963288,200,800,0.464126914
"A2","46",44.641472544,200,800,0.479168203
"A2","47",45.113879664,200,800,0.496215469
"A2","48",45.587232544,200,800,0.515537305
"A2","49",46.061720336,200,800,0.536940938
"A2","50",46.532803392,200,800,0.56165293
"A2","51",47.006723728,200,800,0.589575703
"A2","52",47.479036272,200,800,0.618976484
"A2","53",47.952105424,200,800,0.652515859
"A2","54",48.423566784,200,800,0.689890312
"A2","55",48.896635936,200,800,0.729160781
"A2","56",49.368097296,200,800,0.773201953
"A2","57",49.842963392,200,800,0.818932578
"A2","58",50.31470848,200,800,0.869533516
"A2","59",50.788439664,200,800,0.921813438
"A2","60",51.26094136,200,800,0.976523203
"A2","61",51.732781024,200,800,1.032051875
"A2","62",52.205471872,200,800,1.087598125
"A2","63",52.680432544,200,800,1.143894297
"A2","64",53.153501696,200,800,1.200913594
"A2","65",53.626381696,200,800,1.257612188
"A2","66",54.09964,200,800,1.312812656
"A2","67",54.571668816,200,800,1.364931562
"A2","68",55.045683728,200,800,1.4152075
"A2","69",55.51733424,200,800,1.462731406
"A2","70",55.989646784,200,800,1.509622031
"A2","71",56.462905088,200,800,1.5512675
"A2","72",56.939189824,200,800,1.588397188
"A2","73",57.410083728,200,800,1.621752969
"A2","74",57.881166784,200,800,1.652366875
"A2","75",58.35556,200,800,1.682071406
"A2","76",58.828061696,200,800,1.708285469
"A2","77",59.29848272,200,800,1.733071875
"A2","78",59.772970512,200,800,1.75259875
"A2","79",60.246417968,200,800,1.770048906
"A2","80",60.71996,200,800,1.787816406
"A2","81",61.191799664,200,800,1.799805625
"A2","82",61.665152544,200,800,1.805925469
"A2","83",62.137843392,200,800,1.803063594
"A2","84",62.61242576,200,800,1.803360625
"A2","85",63.083603392,200,800,1.803880312
"A2","86",63.557050848,200,800,1.807504062
"A2","87",64.028795936,200,800,1.810812188
"A2","88",64.502810848,200,800,1.812615781
"A2","89",64.974745088,200,800,1.815175
"A2","90",65.447530512,200,800,1.817048438
"A2","91",65.92211288,200,800,1.819101406
"A2","92",66.395560336,200,800,1.820821719
"A2","93",66.866643392,200,800,1.82314125
"A2","94",67.339428816,200,800,1.826442344
"A2","95",67.812119664,200,800,1.827527812
"A2","96",68.286607456,200,800,1.828266719
"A2","97",68.757879664,200,800,1.830065781
"A2","98",69.233029488,200,800,1.830756094
"A2","99",69.703923392,200,800,1.831930938
"A2","100",70.178316608,200,800,1.832456406
"A2","101",70.650345424,200,800,1.832201094
"A2","102",71.122468816,200,800,1.835785
"A2","103",71.59478136,200,800,1.835949688
"A2","104",72.068512544,200,800,1.833953438
"A2","105",72.54148712,200,800,1.833011406
"A2","106",73.015691184,200,800,1.832899062
"A2","107",73.488287456,200,800,1.833116094
"A2","108",73.960032544,200,800,1.830761094
"A2","109",74.433858304,200,800,1.830046875
"A2","110",74.90636,200,800,1.828469688
