"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.362156272,200,1000,0.481497461
"D1","2",23.835225424,200,1000,0.480943164
"D1","3",24.308956608,200,1000,0.485801445
"D1","4",24.78108,200,1000,0.492415781
"D1","5",25.252919664,200,1000,0.496543398
"D1","6",25.726272544,200,1000,0.497615352
"D1","7",26.198679664,200,1000,0.503684023
"D1","8",26.67307288,200,1000,0.510857812
"D1","9",27.14548,200,1000,0.514650625
"D1","10",27.617981696,200,1000,0.521583164
"D1","11",28.090956272,200,1000,0.526910469
"D1","12",28.56459288,200,1000,0.528859414
"D1","13",29.040877616,200,1000,0.533305547
"D1","14",29.507326448,200,1000,0.541906523
"D1","15",29.986921344,200,1000,0.549153555
"D1","16",30.454126784,200,1000,0.552077812
"D1","17",30.925020688,200,1000,0.562452383
"D1","18",31.402629488,200,1000,0.568168711
"D1","19",31.87428,200,1000,0.573391875
"D1","20",32.340350528,200,1000,0.581904336
"D1","21",32.82098576,200,1000,0.591336641
"D1","22",33.280908848,200,1000,0.597755234
"D1","23",33.765610848,200,1000,0.607564219
"D1","24",34.23915288,200,1000,0.623578555
"D1","25",34.710708816,200,1000,0.632694648
"D1","26",35.18491288,200,1000,0.642501094
"D1","27",35.65684712,200,1000,0.655572188
"D1","28",36.131240336,200,1000,0.669108438
"D1","29",36.603836608,200,1000,0.684678359
"D1","30",37.07737864,200,1000,0.7014325
"D1","31",37.54978576,200,1000,0.718815156
"D1","32",38.023422368,200,1000,0.736985312
"D1","33",38.493559664,200,1000,0.756742812
"D1","34",38.967669152,200,1000,0.779294062
"D1","35",39.439603392,200,1000,0.800134922
"D1","36",39.913523728,200,1000,0.823330547
"D1","37",40.384512208,200,1000,0.847095
"D1","38",40.85852712,200,1000,0.868875469
"D1","39",41.332163728,200,1000,0.893846016
"D1","40",41.804192544,200,1000,0.921226406
"D1","41",42.276788816,200,1000,0.947353203
"D1","42",42.751087456,200,1000,0.972675938
"D1","43",43.225196944,200,1000,0.998831406
"D1","44",43.696090848,200,1000,1.025256484
"D1","45",44.16963288,200,1000,1.051465
"D1","46",44.641472544,200,1000,1.074797734
"D1","47",45.113879664,200,1000,1.101093984
"D1","48",45.587232544,200,1000,1.126414922
"D1","49",46.061720336,200,1000,1.151762812
"D1","50",46.532803392,200,1000,1.173847578
"D1","51",47.006723728,200,1000,1.196012969
"D1","52",47.479036272,200,1000,1.211277344
"D1","53",47.952105424,200,1000,1.235545859
"D1","54",48.423566784,200,1000,1.253796719
"D1","55",48.896635936,200,1000,1.270551719
"D1","56",49.368097296,200,1000,1.288169688
"D1","57",49.842963392,200,1000,1.299547891
"D1","58",50.31470848,200,1000,1.315848125
"D1","59",50.788439664,200,1000,1.325402031
"D1","60",51.26094136,200,1000,1.341579375
"D1","61",51.732781024,200,1000,1.3566425
"D1","62",52.205471872,200,1000,1.365919219
"D1","63",52.680432544,200,1000,1.372949844
"D1","64",53.153501696,200,1000,1.38485375
"D1","65",53.626381696,200,1000,1.394267812
"D1","66",54.09964,200,1000,1.405771719
"D1","67",54.571668816,200,1000,1.412171875
"D1","68",55.045683728,200,1000,1.415333906
