"Estimate","Std..Error","t.value","Pr...t..","Parameter","Condition"
2.16887442678006,1.3690818160781,1.58418174962916,0.137167514542807,"Initiation","1 M NaCl"
-0.755458189544566,0.187854161559025,-4.02151426018421,0.0014520792699674,"AA.UU","1 M NaCl"
-1.38179312632466,0.430457171573012,-3.2100594846061,0.00683395548358868,"AU.AU","1 M NaCl"
-1.3284829460928,0.339845570070477,-3.90907830817774,0.00179508423652207,"UA.UA","1 M NaCl"
-2.43026199190987,0.28047281184847,-8.66487548612329,9.23281920098726e-07,"CU.AG","1 M NaCl"
-1.69664373207095,0.431797705740727,-3.92925601390225,0.0017279150991993,"CA.UG","1 M NaCl"
-1.47269775372003,0.423347971649811,-3.47869330277134,0.00407731187670958,"GU.AC","1 M NaCl"
-1.30631676567635,0.354830030016853,-3.68152821116721,0.00276578119153918,"GA.UC","1 M NaCl"
-2.68196028423061,0.336773621563111,-7.96368869919943,2.35027893523878e-06,"CG.CG","1 M NaCl"
-2.48208983657452,0.386661028078231,-6.41929146288911,2.27337611636232e-05,"GG.CC","1 M NaCl"
-1.62474339566186,0.433222882488368,-3.75036375347853,0.00242579831275222,"GC.GC","1 M NaCl"
0.829830878397697,0.312886593486888,2.65217780394439,0.0199290139841753,"Term.AU","1 M NaCl"
1.8299816546793,1.28498089410183,1.42413141166462,0.177967640531885,"Initiation","Eco80"
-0.677689098234457,0.17438267411414,-3.88621806424922,0.00187442051973607,"AA.UU","Eco80"
-0.678429747804258,0.32909026280408,-2.06153090651653,0.0598384726038321,"AU.AU","Eco80"
-1.31347292293588,0.268121840565783,-4.8987912367162,0.000290721838545656,"UA.UA","Eco80"
-1.95357547432395,0.234189635531518,-8.34185283174511,1.41016084527303e-06,"CU.AG","Eco80"
-1.70980313127054,0.390830386207118,-4.37479579790002,0.000751786232011229,"CA.UG","Eco80"
-0.959602496151822,0.366206816728716,-2.62038403523955,0.0211706771602055,"GU.AC","Eco80"
-1.25241204548668,0.332622865592197,-3.76526142680211,0.00235800666080176,"GA.UC","Eco80"
-2.59847442377109,0.291479777614529,-8.91476741555453,6.7054067779599e-07,"CG.CG","Eco80"
-2.30295498060798,0.368733102755945,-6.24558783411493,2.9927482659645e-05,"GG.CC","Eco80"
-1.44043707403684,0.442086732739113,-3.25826804417332,0.00622832760712519,"GC.GC","Eco80"
0.870520099022697,0.251995304707295,3.45450920220061,0.00427099127409764,"Term.AU","Eco80"
