"AA.UU","AU.AU","UA.UA","CU.AG","CA.UG","GU.AC","GA.UC","CG.CG","GG.CC","GC.GC","Term.AU","FAMC.GBHQ1","FAMU.ABHQ1","FAMG.CBHQ1","FAMA.UBHQ1","Initiation","dG","dG.error","Helix"
2,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,-12.6478186750031,0.195551306182465,"A"
1,0,0,2,0,1,2,1,0,0,1,1,0,0,0,1,-12.5664049304672,0.378165955371012,"B"
0,0,0,2,1,1,2,0,0,0,0,1,0,0,0,1,-12.9254940675351,0.323554098821032,"C"
1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,-10.6389723444586,0.195907720133699,"D"
0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,1,-11.3089652763178,0.0971693115664133,"E"
0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,-13.8704128635396,0.640829063312531,"f"
0,2,1,0,2,0,1,0,1,0,1,1,0,0,0,1,-12.4676724416751,0.431369721025712,"G"
1,2,2,0,1,0,0,0,1,0,1,1,0,0,0,1,-11.6213102024346,0.0990833592149142,"H"
0,1,0,0,1,0,1,1,2,1,0,1,0,0,0,1,-15.4179428669082,0.803031109138936,"I"
0,1,2,0,1,2,0,1,0,0,1,1,0,0,0,1,-11.6481990953698,0.28268619259869,"J"
1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,1,-11.0442289411269,0.107292044518822,"L"
0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,-11.9597732083494,0.0972693804557407,"M"
0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,-11.9709580604481,0.258787227802055,"N"
0,0,1,2,1,0,1,0,0,1,1,0,1,0,0,1,-12.1650961727682,0.550382142136525,"O"
0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,-13.5012639494327,0.408923039825315,"P"
0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,-10.8360183719523,0.0776812354350186,"U"
0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,-12.5501420612867,0.161888573785332,"V"
0,1,1,2,2,0,0,0,0,1,0,1,0,0,0,1,-13.5532689769642,0.346074491530087,"X"
3,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,-10.6599329857003,0.0858660977134836,"Y"
0,0,1,1,0,0,0,1,1,2,0,0,1,0,0,1,-14.6121661979552,0.552103740251762,"Z"
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,-10.2923293678587,0.0900933324180603,"AA"
1,0,0,1,1,0,0,1,0,2,0,1,0,0,0,1,-12.8411152377843,0.53396335992685,"CC"
0,2,1,0,2,0,0,0,0,1,1,0,1,0,0,1,-10.4005749749061,0.0496041343258694,"DD"
2,0,0,0,1,1,0,2,0,1,0,1,0,0,0,1,-12.8832947977287,0.375021185221225,"EE"
0,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,-10.4970343029831,0.126172182351114,"FF"
