"AA.UU","AU.AU","UA.UA","CU.AG","CA.UG","GU.AC","GA.UC","CG.CG","GG.CC","GC.GC","Term.AU","FAMC.GBHQ1","FAMU.ABHQ1","FAMG.CBHQ1","FAMA.UBHQ1","Initiation","dG","dG.error","Helix"
2,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,-11.6074267854558,0.146213020612628,"A"
1,0,0,2,0,1,2,1,0,0,1,1,0,0,0,1,-11.4250888937171,0.0766905507015903,"B"
0,0,0,2,1,1,2,0,0,0,0,1,0,0,0,1,-11.3723786067107,0.0975111850199255,"C"
1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,-9.87814774738741,0.0448811336320673,"D"
0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,1,-10.5488903680867,0.0925830169077456,"E"
0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,-12.488586646274,0.312280215052898,"f"
0,2,1,0,2,0,1,0,1,0,1,1,0,0,0,1,-11.0155899250631,0.259969926040059,"G"
1,2,2,0,1,0,0,0,1,0,1,1,0,0,0,1,-10.1454226996663,0.0574430446911618,"H"
0,1,0,0,1,0,1,1,2,1,0,1,0,0,0,1,-15.031983980125,0.598636533731804,"I"
0,1,2,0,1,2,0,1,0,0,1,1,0,0,0,1,-10.43099327056,0.0540140475019804,"J"
1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,1,-10.222402633556,0.0486609767902921,"L"
0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,-11.3414882619834,0.0841335922049652,"M"
0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,-11.223197759305,0.0485136585955803,"N"
0,0,1,2,1,0,1,0,0,1,1,0,1,0,0,1,-11.1455756785123,0.0632143132787048,"O"
0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,-13.0897164464584,0.148742360005274,"P"
0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,-10.2249632255029,0.0671558670536382,"U"
0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,-11.9712237649185,0.0950493910042073,"V"
0,1,1,2,2,0,0,0,0,1,0,1,0,0,0,1,-12.3963781243958,0.102831734152269,"X"
3,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,-9.95748209088833,0.0444000171252641,"Y"
0,0,1,1,0,0,0,1,1,2,0,0,1,0,0,1,-13.9901660322837,0.26246188794059,"Z"
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,-9.59300385785763,0.0355076853950555,"AA"
1,0,0,1,1,0,0,1,0,2,0,1,0,0,0,1,-11.6011742460235,0.19807351909762,"CC"
0,2,1,0,2,0,0,0,0,1,1,0,1,0,0,1,-9.09834821330369,0.0591357642632495,"DD"
2,0,0,0,1,1,0,2,0,1,0,1,0,0,0,1,-12.0317871771131,0.161252111285062,"EE"
0,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,-9.41632794852983,0.0412210715205736,"FF"
